,Latitude,Longitude
0,37.11113,-87.886709
1,37.117465,-87.897163
2,37.117466,-87.897386
3,37.117043,-87.898051
4,37.112986,-87.901384
5,37.10908,-87.90527
6,37.108383,-87.906302
7,37.107645,-87.907844
8,37.106965,-87.910577
9,37.106689,-87.913986
10,37.10673,-87.915169
11,37.106994,-87.91629
12,37.108559,-87.920245
13,37.108957,-87.92504
14,37.108527,-87.93033
15,37.108035,-87.941864
16,37.106579,-87.950788
17,37.104572,-87.970542
18,37.104276,-87.997769
19,37.104031,-88.010793
20,37.105156,-88.022018
21,37.10503,-88.028835
