,Latitude,Longitude
0,40.758557,-81.516237
1,40.760799,-81.515996
2,40.762285,-81.493007
3,40.765491,-81.472599
4,40.766221,-81.469555
5,40.767436,-81.46639
6,40.774249,-81.454612
7,40.775106,-81.452663
8,40.775673,-81.450728
9,40.776043,-81.448471
10,40.778446,-81.427446
11,40.778891,-81.419059
12,40.779148,-81.41712
13,40.78014,-81.413749
14,40.783738,-81.40624
15,40.784562,-81.403311
16,40.784718,-81.400776
17,40.784328,-81.388042
18,40.784532,-81.386222
19,40.785082,-81.384558
20,40.785948,-81.385124
21,40.797122,-81.390777
22,40.798145,-81.391963
23,40.800768,-81.396765
24,40.801459,-81.397409
25,40.802179,-81.397758
26,40.803116,-81.397869
27,40.806628,-81.397402
28,40.811799,-81.397531
29,40.817935,-81.396234
30,40.819819,-81.396067
31,40.828401,-81.396956
32,40.830182,-81.392414
33,40.830559,-81.390313
34,40.830407,-81.387367
35,40.828787,-81.369761
36,40.829005,-81.368235
37,40.830835,-81.361221
38,40.83074,-81.362533
39,40.829133,-81.368499
40,40.828972,-81.370043
41,40.830587,-81.387282
42,40.830737,-81.390467
43,40.830326,-81.392607
44,40.828473,-81.397229
45,40.820955,-81.39638
46,40.819378,-81.396353
47,40.81745,-81.396599
48,40.811807,-81.397796
49,40.807058,-81.397606
50,40.803241,-81.398099
51,40.80234,-81.398026
52,40.801253,-81.397457
53,40.800585,-81.396717
54,40.798172,-81.392212
55,40.797022,-81.390876
56,40.78515,-81.384731
57,40.784622,-81.386421
58,40.784452,-81.388075
59,40.784854,-81.400647
60,40.784698,-81.403351
61,40.783958,-81.406086
62,40.780327,-81.413657
63,40.779409,-81.416793
64,40.779122,-81.419027
65,40.778645,-81.427758
66,40.775959,-81.450516
67,40.775281,-81.452893
68,40.774471,-81.454734
69,40.768366,-81.465138
70,40.7675,-81.466846
71,40.766473,-81.469569
72,40.765745,-81.472495
73,40.762558,-81.492725
74,40.761022,-81.516128
75,40.758557,-81.516237
76,40.737571,-81.517539
77,40.736687,-81.517837
78,40.729419,-81.521724
79,40.724625,-81.52209
80,40.719599,-81.522912
81,40.719786,-81.525459
82,40.720271,-81.526933
83,40.720595,-81.527385
84,40.717675,-81.532833
85,40.713023,-81.545522
86,40.710347,-81.553606
87,40.70921,-81.561712
88,40.706285,-81.572213
89,40.705442,-81.578599
90,40.705512,-81.580673
91,40.691719,-81.59516
92,40.691474,-81.595826
93,40.691529,-81.598931
94,40.687024,-81.5992
95,40.686419,-81.599331
96,40.685998,-81.599635
97,40.685583,-81.600258
98,40.684246,-81.603256
99,40.677236,-81.611926
100,40.67485,-81.615225
101,40.670681,-81.620437
102,40.65603,-81.632079
103,40.655954,-81.632212
104,40.656465,-81.63327
105,40.656056,-81.633784
106,40.65628,-81.634608
107,40.656467,-81.641235
108,40.655319,-81.648579
109,40.65526,-81.650048
110,40.65536,-81.654235
111,40.655164,-81.65592
112,40.653897,-81.662077
113,40.653265,-81.66363
114,40.652446,-81.664818
115,40.651302,-81.665812
116,40.644465,-81.669754
117,40.642055,-81.672035
118,40.64038,-81.674268
119,40.635625,-81.682867
120,40.632402,-81.686336
121,40.61861,-81.69409
122,40.617856,-81.694286
123,40.616829,-81.693995
124,40.616691,-81.694079
125,40.616095,-81.696319
126,40.614767,-81.697311
127,40.611414,-81.702357
128,40.61021,-81.707059
129,40.608434,-81.712989
130,40.605781,-81.718315
131,40.604815,-81.722291
132,40.605395,-81.725449
133,40.605484,-81.726791
