,Latitude,Longitude
0,31.755077,-106.488145
1,31.756943,-106.480591
2,31.757404,-106.479587
3,31.758422,-106.478032
4,31.760105,-106.471468
5,31.761147,-106.469823
6,31.763017,-106.468049
7,31.763847,-106.466917
8,31.769044,-106.455896
9,31.769451,-106.454722
10,31.769642,-106.453251
11,31.769477,-106.451596
12,31.767454,-106.445551
13,31.767208,-106.443698
14,31.768316,-106.431178
15,31.768435,-106.427056
16,31.768755,-106.426326
17,31.769602,-106.425936
18,31.781155,-106.420508
19,31.782117,-106.419828
20,31.783794,-106.418008
21,31.78501,-106.414185
22,31.78786,-106.409526
23,31.788517,-106.40571
24,31.794462,-106.360737
25,31.795504,-106.351904
26,31.794547,-106.357486
27,31.794319,-106.360737
28,31.793691,-106.365558
29,31.788103,-106.407679
30,31.787766,-106.409247
31,31.784998,-106.413855
32,31.78362,-106.417543
33,31.782864,-106.418825
34,31.782226,-106.419571
35,31.781221,-106.420325
36,31.769562,-106.425807
37,31.769602,-106.425936
