,Latitude,Longitude
0,37.8092,-85.467265
1,37.808756,-85.466947
2,37.809014,-85.46637
3,37.809139,-85.466557
4,37.809352,-85.466679
5,37.80944,-85.466703
6,37.809483,-85.466704
7,37.80941,-85.466776
8,37.809345,-85.466868
9,37.809243,-85.467064
10,37.8092,-85.467265
11,37.810083,-85.47162
12,37.810729,-85.475339
13,37.810642,-85.480077
14,37.811013,-85.482133
15,37.810145,-85.484212
16,37.808283,-85.487387
17,37.808041,-85.488169
18,37.808115,-85.488633
19,37.808829,-85.489886
20,37.810265,-85.490976
21,37.810685,-85.491608
22,37.810879,-85.492459
23,37.810862,-85.494933
24,37.810595,-85.495964
25,37.810098,-85.497008
26,37.806765,-85.502327
27,37.806286,-85.50364
28,37.806099,-85.505085
29,37.807167,-85.514161
30,37.808668,-85.518892
31,37.810809,-85.530521
32,37.810883,-85.536844
33,37.810727,-85.538304
34,37.809056,-85.542171
35,37.808624,-85.544122
36,37.808575,-85.554672
37,37.80956,-85.558201
38,37.809858,-85.560727
39,37.809574,-85.565365
40,37.809844,-85.569635
41,37.809512,-85.573232
42,37.809598,-85.576947
43,37.809372,-85.578088
44,37.808167,-85.580796
45,37.807393,-85.583889
46,37.80742,-85.590689
47,37.807796,-85.594877
48,37.805674,-85.60627
49,37.805794,-85.60917
50,37.805677,-85.610431
51,37.804581,-85.613863
52,37.803118,-85.620332
53,37.799982,-85.630845
54,37.799333,-85.632576
55,37.79856,-85.633788
56,37.793275,-85.640615
57,37.792155,-85.641683
58,37.788817,-85.644223
59,37.78725,-85.645801
60,37.786806,-85.646629
61,37.786694,-85.647327
62,37.786821,-85.648243
63,37.787511,-85.649902
64,37.788946,-85.654759
65,37.791147,-85.659825
66,37.791576,-85.661477
67,37.791666,-85.662805
68,37.791488,-85.664382
69,37.789919,-85.668989
70,37.789115,-85.670602
71,37.787371,-85.673215
72,37.786039,-85.674721
73,37.784625,-85.675205
74,37.782226,-85.675009
75,37.781162,-85.675185
76,37.780003,-85.675813
77,37.778926,-85.677017
78,37.777791,-85.679462
79,37.771369,-85.695056
80,37.767062,-85.703687
81,37.758057,-85.721482
82,37.750284,-85.733667
83,37.749729,-85.735007
84,37.748628,-85.73943
85,37.747034,-85.741781
86,37.746187,-85.745039
87,37.745683,-85.746228
88,37.743782,-85.748893
89,37.742875,-85.751366
90,37.742574,-85.753011
91,37.743283,-85.757469
92,37.742714,-85.76528
93,37.74304,-85.767393
94,37.742912,-85.768545
95,37.741343,-85.771157
96,37.739294,-85.775457
97,37.7366,-85.78532
98,37.73615,-85.785988
99,37.734185,-85.787745
100,37.732769,-85.789419
101,37.731178,-85.792817
102,37.728283,-85.798285
103,37.727858,-85.799855
104,37.726672,-85.807579
105,37.72598,-85.809789
106,37.724885,-85.811574
107,37.7213,-85.815806
108,37.718092,-85.819897
109,37.716758,-85.822668
