,Latitude,Longitude
0,31.833843,-106.059831
1,31.833728,-106.062126
2,31.829375,-106.106951
3,31.828959,-106.109971
4,31.822744,-106.145242
5,31.798322,-106.330527
6,31.798964,-106.323885
7,31.812277,-106.222603
8,31.815367,-106.200462
9,31.822508,-106.145571
10,31.829106,-106.107614
11,31.833413,-106.06305
12,31.833843,-106.059831
13,31.833997,-106.058311
14,31.834609,-106.056485
15,31.838352,-106.049536
16,31.838771,-106.048467
17,31.839064,-106.046809
18,31.839242,-106.041871
19,31.836873,-106.031046
20,31.834664,-106.025776
21,31.834407,-106.024739
22,31.834304,-106.023512
23,31.834511,-106.019656
24,31.834246,-106.017904
25,31.832298,-106.013671
26,31.830234,-106.010121
27,31.829751,-106.008376
28,31.829138,-105.99902
29,31.829123,-105.997464
30,31.829363,-105.996185
31,31.829889,-105.994972
32,31.831054,-105.993689
33,31.837128,-105.991205
34,31.837692,-105.990861
35,31.838577,-105.989889
36,31.839093,-105.988623
37,31.839265,-105.984967
38,31.839541,-105.983871
39,31.840048,-105.98291
40,31.841837,-105.980696
41,31.842149,-105.979095
42,31.839974,-105.971649
43,31.829037,-105.946189
44,31.828065,-105.942864
45,31.826844,-105.935919
46,31.826705,-105.932906
47,31.826699,-105.903541
48,31.827291,-105.889986
49,31.826767,-105.881273
50,31.826791,-105.879596
51,31.827384,-105.876994
52,31.830051,-105.868107
53,31.833103,-105.858995
54,31.836984,-105.844771
55,31.837606,-105.843324
56,31.838851,-105.84126
57,31.844464,-105.832379
58,31.845346,-105.829963
59,31.845467,-105.82345
60,31.848296,-105.79606
61,31.848439,-105.794079
62,31.848352,-105.79272
63,31.846039,-105.78062
64,31.843527,-105.772583
65,31.821717,-105.714691
66,31.797664,-105.575706
67,31.750204,-105.303855
68,31.746651,-105.282847
69,31.747205,-105.177101
70,31.747049,-105.175592
71,31.746558,-105.173437
72,31.739185,-105.143317
73,31.738839,-105.141387
74,31.738744,-105.139185
75,31.755263,-104.97894
76,31.76159,-104.946324
77,31.763747,-104.931283
78,31.763872,-104.91735
79,31.764045,-104.910078
80,31.764654,-104.907908
81,31.765298,-104.906611
82,31.782702,-104.881752
83,31.785078,-104.877936
84,31.798188,-104.84958
85,31.799028,-104.848367
86,31.800258,-104.846989
87,31.816244,-104.829477
88,31.817524,-104.828696
89,31.819239,-104.828338
90,31.83111,-104.82918
91,31.838677,-104.830593
92,31.840025,-104.83124
93,31.841274,-104.832205
94,31.846224,-104.838062
95,31.848951,-104.840652
96,31.850587,-104.841952
97,31.854312,-104.844384
98,31.855809,-104.844769
99,31.857011,-104.844717
100,31.860304,-104.843453
101,31.861551,-104.842308
102,31.862191,-104.840955
103,31.86319,-104.835591
104,31.863232,-104.833808
105,31.862952,-104.832155
106,31.861168,-104.826803
107,31.860856,-104.825167
108,31.860818,-104.823463
109,31.861312,-104.820365
110,31.862008,-104.817365
111,31.862603,-104.816335
112,31.863635,-104.81538
113,31.864991,-104.81482
114,31.866123,-104.814806
115,31.867096,-104.81513
116,31.87578,-104.822006
117,31.876997,-104.822692
118,31.878496,-104.823142
119,31.880033,-104.823272
120,31.888554,-104.822279
121,31.889814,-104.822285
122,31.890883,-104.82188
123,31.891487,-104.82128
124,31.892682,-104.819116
125,31.892923,-104.817948
126,31.892375,-104.813667
127,31.892496,-104.811537
128,31.892767,-104.81048
129,31.893442,-104.808727
130,31.897473,-104.800395
131,31.90013,-104.792986
132,31.900899,-104.791361
133,31.90759,-104.779965
134,31.908756,-104.778773
135,31.91189,-104.776321
136,31.912774,-104.775364
137,31.913771,-104.773756
138,31.914349,-104.77234
139,31.914706,-104.77095
140,31.914857,-104.769364
141,31.914589,-104.760107
142,31.915094,-104.757075
143,31.916052,-104.754598
144,31.917098,-104.75291
145,31.920125,-104.749321
146,31.921248,-104.747735
147,31.924642,-104.741775
148,31.931439,-104.731136
149,31.938719,-104.713387
150,31.939407,-104.7121
151,31.95052,-104.697698
152,31.958993,-104.683998
153,31.960318,-104.681454
154,31.961392,-104.677716
155,31.975714,-104.603712
156,31.976541,-104.601188
157,31.987786,-104.574919
158,31.989574,-104.570418
159,32.00031,-104.531916
160,32.000622,-104.530838
161,32.001427,-104.527196
162,32.010205,-104.495501
163,32.010968,-104.493384
164,32.012356,-104.491353
165,32.013467,-104.490277
166,32.172496,-104.378359
167,32.174021,-104.376687
168,32.175115,-104.374305
169,32.176667,-104.365088
170,32.17749,-104.362771
171,32.17824,-104.3613
172,32.180825,-104.357771
173,32.209862,-104.321141
174,32.210888,-104.319897
175,32.212654,-104.318249
176,32.214505,-104.31697
177,32.22063,-104.313811
178,32.332006,-104.258257
179,32.333573,-104.257368
180,32.341376,-104.252145
181,32.387881,-104.220671
182,32.388988,-104.219846
183,32.389806,-104.219561
184,32.390793,-104.219646
185,32.393284,-104.220511
186,32.403067,-104.223571
187,32.404049,-104.224174
188,32.406064,-104.226431
189,32.407049,-104.227315
190,32.408944,-104.228345
191,32.410447,-104.22878
192,32.412702,-104.228969
193,32.417901,-104.228954
194,32.417891,-104.221428
195,32.418253,-104.21941
196,32.439697,-104.171478
197,32.441223,-104.168368
198,32.509391,-104.075391
199,32.512256,-104.070248
200,32.529053,-104.037964
201,32.53018,-104.035105
202,32.530946,-104.031846
203,32.531166,-104.028106
204,32.531056,-104.026411
205,32.519151,-103.953707
206,32.518506,-103.949646
207,32.518253,-103.946573
208,32.518331,-103.944764
209,32.525055,-103.882915
210,32.529206,-103.813853
211,32.530203,-103.798186
212,32.530932,-103.794459
213,32.54551,-103.756409
214,32.546394,-103.753773
215,32.566962,-103.684571
216,32.610328,-103.570737
217,32.612865,-103.564808
218,32.690123,-103.394297
219,32.695181,-103.382846
220,32.696031,-103.38017
221,32.696597,-103.376245
222,32.69674,-103.351038
223,32.696806,-103.303301
224,32.696639,-103.214706
225,32.697026,-103.298843
226,32.696915,-103.352729
227,32.696779,-103.376262
228,32.696431,-103.37919
229,32.696055,-103.380764
230,32.69512,-103.383526
231,32.689787,-103.395647
232,32.61149,-103.568486
233,32.610303,-103.57153
234,32.567044,-103.684992
235,32.546093,-103.75539
236,32.531255,-103.794324
237,32.530675,-103.796736
238,32.530437,-103.798661
239,32.529523,-103.813853
240,32.526514,-103.865091
241,32.525084,-103.885955
242,32.518668,-103.944409
243,32.518547,-103.946668
244,32.518855,-103.950118
245,32.531073,-104.024923
246,32.531338,-104.026976
247,32.531405,-104.029735
248,32.531073,-104.032605
249,32.530457,-104.035205
250,32.529155,-104.038346
251,32.510739,-104.073734
252,32.509865,-104.075171
253,32.441246,-104.168845
254,32.438757,-104.174129
255,32.418327,-104.219905
256,32.41804,-104.221647
257,32.417994,-104.229063
258,32.412689,-104.229056
259,32.410447,-104.22878
