,Latitude,Longitude
0,41.220509,-80.518871
1,41.21782,-80.521372
2,41.216743,-80.522225
3,41.215874,-80.523708
4,41.211431,-80.537025
5,41.210706,-80.538596
6,41.209958,-80.539521
7,41.209219,-80.540105
8,41.205397,-80.541549
9,41.204478,-80.542144
10,41.203648,-80.542975
11,41.20256,-80.544839
12,41.198392,-80.554687
13,41.197653,-80.556125
14,41.188413,-80.566899
15,41.187128,-80.567809
16,41.186172,-80.56806
17,41.17479,-80.56837
18,41.170969,-80.568738
19,41.165624,-80.568968
20,41.156424,-80.568884
21,41.156345,-80.584398
22,41.148555,-80.597513
23,41.148379,-80.598693
24,41.148489,-80.604768
25,41.148295,-80.605636
26,41.145197,-80.609835
27,41.143159,-80.61487
28,41.139611,-80.620631
29,41.133516,-80.62419
