,Latitude,Longitude
0,35.917216,-94.943769
1,35.916141,-94.94533
2,35.915522,-94.94708
3,35.915367,-94.948167
4,35.915382,-94.955328
5,35.913139,-94.955261
6,35.911886,-94.955393
7,35.910491,-94.955833
8,35.902167,-94.960114
9,35.900127,-94.961472
10,35.898709,-94.962849
11,35.897652,-94.964231
12,35.893065,-94.972792
13,35.891883,-94.974485
14,35.890519,-94.976082
15,35.88997,-94.977145
16,35.881498,-94.976269
17,35.864247,-94.97626
18,35.862571,-94.97666
19,35.860729,-94.977447
20,35.858908,-94.97893
21,35.85736,-94.980821
22,35.85675,-94.981884
23,35.852547,-94.992588
24,35.850949,-94.997168
25,35.849702,-95.002984
26,35.849334,-95.006232
27,35.849194,-95.008654
28,35.8492,-95.016386
29,35.848884,-95.019496
30,35.848014,-95.022897
31,35.847342,-95.024684
32,35.846324,-95.026716
33,35.845393,-95.028216
34,35.843377,-95.030651
35,35.835488,-95.039345
36,35.833994,-95.040813
37,35.827021,-95.046727
38,35.821188,-95.052696
39,35.818914,-95.055596
40,35.814607,-95.0625
