,Latitude,Longitude
0,35.044051,-97.878721
1,35.044073,-97.828385
2,35.044288,-97.825693
3,35.044788,-97.823766
4,35.045466,-97.822123
5,35.048335,-97.817784
6,35.052181,-97.811493
7,35.053796,-97.808389
8,35.055126,-97.805241
9,35.056637,-97.800144
10,35.060709,-97.780878
11,35.062127,-97.776149
12,35.068403,-97.762364
13,35.070893,-97.758149
14,35.071193,-97.75862
15,35.086348,-97.751431
16,35.089879,-97.749564
17,35.092605,-97.74722
18,35.093106,-97.746606
19,35.09366,-97.745508
20,35.094579,-97.742197
21,35.095407,-97.740978
22,35.096108,-97.740406
23,35.107901,-97.734113
24,35.115838,-97.72517
25,35.116905,-97.723446
26,35.12157,-97.715402
27,35.122051,-97.713889
28,35.121932,-97.706815
29,35.122663,-97.703515
30,35.123143,-97.702353
31,35.122531,-97.70191
32,35.123596,-97.699211
33,35.124157,-97.696041
34,35.124221,-97.678639
35,35.124089,-97.674645
36,35.124299,-97.673565
37,35.124714,-97.672691
38,35.126936,-97.670519
39,35.133975,-97.664183
40,35.134955,-97.663762
41,35.136615,-97.663513
42,35.137463,-97.662762
43,35.137838,-97.66193
44,35.137912,-97.661363
45,35.137928,-97.655822
46,35.138059,-97.654587
