,Latitude,Longitude
0,41.23506,-80.238051
1,41.23572,-80.237552
2,41.237557,-80.235065
3,41.240631,-80.229182
4,41.246656,-80.219876
5,41.247033,-80.21826
6,41.24673,-80.215569
7,41.246791,-80.214976
8,41.247623,-80.213727
9,41.260681,-80.186726
10,41.264157,-80.17324
11,41.268602,-80.154887
12,41.270211,-80.147516
13,41.274123,-80.135148
14,41.276566,-80.125311
15,41.292903,-80.125713
16,41.295613,-80.126398
17,41.298871,-80.12616
18,41.313732,-80.126607
19,41.315484,-80.126482
20,41.3174,-80.1248
21,41.31827,-80.123478
22,41.319306,-80.121382
23,41.321511,-80.119182
24,41.322354,-80.117085
25,41.32333,-80.115518
26,41.325734,-80.111966
27,41.327499,-80.109824
28,41.329936,-80.105711
29,41.332347,-80.102266
30,41.336957,-80.09495
31,41.341118,-80.089468
32,41.342836,-80.086565
33,41.344039,-80.085294
34,41.346949,-80.083867
35,41.348676,-80.081979
36,41.350855,-80.082095
37,41.351064,-80.077116
38,41.351858,-80.073767
39,41.352806,-80.068453
40,41.352847,-80.067438
41,41.351763,-80.062863
42,41.351224,-80.062165
43,41.349924,-80.061175
44,41.348032,-80.057821
45,41.34752,-80.054266
46,41.347368,-80.049344
47,41.347437,-80.046056
48,41.348508,-80.041026
49,41.347676,-80.034629
50,41.348065,-80.013823
51,41.348745,-80.008757
52,41.350225,-80.000778
53,41.350265,-79.999778
54,41.350367,-79.997779
55,41.351284,-79.989884
56,41.351815,-79.988776
57,41.352673,-79.988016
58,41.353744,-79.986605
59,41.354305,-79.983114
60,41.353895,-79.979971
61,41.352996,-79.977191
62,41.353314,-79.97308
63,41.353889,-79.972002
64,41.356445,-79.969589
65,41.357538,-79.96733
66,41.358088,-79.965159
67,41.357982,-79.962977
68,41.35755,-79.960828
69,41.355581,-79.95593
70,41.35502,-79.953474
71,41.354234,-79.951496
72,41.353615,-79.949122
73,41.353251,-79.94694
74,41.353721,-79.944028
75,41.355483,-79.938845
76,41.35591,-79.938082
77,41.361584,-79.934871
78,41.362577,-79.934027
79,41.363845,-79.933541
80,41.365115,-79.932743
81,41.369103,-79.925519
82,41.37223,-79.922812
83,41.375342,-79.917517
84,41.375615,-79.91582
85,41.375484,-79.907249
86,41.375635,-79.90652
87,41.376336,-79.904973
88,41.376503,-79.90324
89,41.375827,-79.898873
90,41.375033,-79.895381
91,41.374929,-79.893933
92,41.375118,-79.891477
93,41.376388,-79.886424
94,41.376955,-79.885703
95,41.379697,-79.883538
96,41.380096,-79.88297
97,41.380387,-79.882074
98,41.386159,-79.851552
99,41.386074,-79.850383
100,41.385146,-79.848904
101,41.386278,-79.846792
102,41.387556,-79.845358
103,41.388048,-79.844558
104,41.388795,-79.840506
105,41.389229,-79.839821
106,41.392769,-79.837493
107,41.398515,-79.836196
108,41.397462,-79.82804
109,41.393996,-79.825835
110,41.395589,-79.821292
111,41.398291,-79.817173
112,41.400726,-79.813027
113,41.403,-79.806001
114,41.404499,-79.802298
115,41.413409,-79.785423
116,41.416793,-79.778574
117,41.416976,-79.777256
118,41.417018,-79.774264
119,41.416631,-79.770489
120,41.41315,-79.758208
121,41.412684,-79.757192
122,41.410994,-79.754683
123,41.407969,-79.749456
124,41.407437,-79.748261
125,41.406616,-79.745419
126,41.406366,-79.743439
127,41.40645,-79.741449
128,41.40685,-79.739898
129,41.407543,-79.738343
130,41.408022,-79.737398
131,41.409212,-79.73597
132,41.410676,-79.734671
133,41.411994,-79.733802
134,41.413433,-79.73309
135,41.417548,-79.731731
136,41.419743,-79.730692
137,41.423017,-79.729473
138,41.424775,-79.728489
139,41.426331,-79.72724
140,41.427325,-79.72587
141,41.43065,-79.719949
142,41.431812,-79.716354
143,41.432404,-79.713328
144,41.432378,-79.714114
145,41.431882,-79.716329
146,41.430749,-79.719894
147,41.427165,-79.726272
148,41.426104,-79.727589
149,41.42496,-79.728477
150,41.422987,-79.729579
151,41.419807,-79.73076
152,41.416977,-79.732033
153,41.413129,-79.733311
154,41.411793,-79.734022
155,41.410535,-79.734906
156,41.409073,-79.736224
157,41.407543,-79.738343
