,Latitude,Longitude
0,33.979067,-101.340463
1,33.964967,-101.356737
2,33.96371,-101.357808
3,33.962011,-101.358716
4,33.960205,-101.359093
5,33.934363,-101.358824
6,33.930129,-101.359048
7,33.960187,-101.359333
8,33.962024,-101.358944
9,33.963482,-101.358217
10,33.965003,-101.35695
11,33.979248,-101.34047
12,33.97917,-101.340364
13,33.978881,-101.339624
14,33.978841,-101.33804
15,33.978934,-101.326974
16,33.978529,-101.325456
17,33.977841,-101.324242
18,33.977602,-101.322917
19,33.978109,-101.253918
20,33.978402,-101.250351
21,33.979859,-101.073164
22,33.979613,-101.071288
23,33.979101,-101.069659
24,33.969057,-101.04817
25,33.968792,-101.047143
26,33.968728,-101.045888
27,33.969059,-101.041592
28,33.969222,-101.038766
29,33.969002,-101.03723
30,33.965816,-101.027559
31,33.965643,-101.025588
32,33.965973,-101.023756
33,33.966525,-101.022439
34,33.967219,-101.021434
35,33.972566,-101.016297
36,33.97387,-101.014189
37,33.991076,-100.976676
38,33.992615,-100.973257
39,33.992932,-100.972126
40,33.992971,-100.969661
41,33.986219,-100.940905
42,33.985335,-100.921848
43,33.985218,-100.918235
44,33.985324,-100.917156
45,33.987316,-100.910969
46,33.989925,-100.905087
47,33.99693,-100.886779
48,33.998681,-100.880998
49,34.003517,-100.869349
50,34.00449,-100.865766
51,34.009319,-100.84427
52,34.009841,-100.842851
53,34.011822,-100.839113
54,34.012105,-100.837951
55,34.012288,-100.817603
56,34.01334,-100.814597
57,34.01333,-100.811312
58,34.01011,-100.800629
59,34.009995,-100.792312
60,34.009683,-100.789185
61,34.010019,-100.780824
62,34.01003,-100.708531
63,34.01228,-100.658394
64,34.012238,-100.656834
65,34.011693,-100.654338
66,34.009124,-100.648593
67,34.007946,-100.643499
68,34.007048,-100.641135
69,34.006399,-100.64006
70,33.997407,-100.628408
71,33.996942,-100.62738
72,33.996735,-100.626466
73,33.996708,-100.591466
74,33.997133,-100.587399
75,33.997616,-100.585434
76,33.999432,-100.573919
77,34.003863,-100.520594
78,34.003886,-100.518088
79,34.003504,-100.516013
80,34.00308,-100.514838
81,34.001359,-100.511305
82,34.000351,-100.510027
83,33.997488,-100.507585
84,33.996573,-100.506571
85,33.995439,-100.504743
86,33.994729,-100.502927
87,33.9781,-100.434437
88,33.977648,-100.432145
89,33.977608,-100.43033
90,33.977811,-100.428543
91,33.991508,-100.38449
92,34.000597,-100.366912
93,34.001828,-100.363456
94,34.005296,-100.342531
95,34.012248,-100.320639
96,34.01247,-100.319428
97,34.012524,-100.301838
98,34.041797,-100.30179
99,34.043618,-100.301571
100,34.046214,-100.300668
101,34.048302,-100.30048
102,34.10363,-100.299205
103,34.106072,-100.29909
104,34.111547,-100.298297
105,34.133223,-100.298449
106,34.135793,-100.29804
107,34.151199,-100.292975
108,34.165589,-100.291626
109,34.170674,-100.290307
110,34.172359,-100.290044
111,34.175452,-100.289986
112,34.178785,-100.29048
113,34.18434,-100.292662
114,34.212417,-100.302643
115,34.215496,-100.303191
116,34.222787,-100.30378
117,34.224716,-100.303341
118,34.247242,-100.295481
119,34.249512,-100.294178
120,34.255331,-100.289295
121,34.256418,-100.288685
122,34.276445,-100.285114
123,34.278251,-100.285207
124,34.291706,-100.289413
125,34.294666,-100.290101
126,34.29946,-100.290234
127,34.304907,-100.290171
128,34.312376,-100.288573
129,34.329946,-100.283398
130,34.339088,-100.281982
131,34.341644,-100.281757
132,34.364356,-100.281228
133,34.36528,-100.281167
134,34.366119,-100.280892
135,34.367253,-100.280222
136,34.368017,-100.279528
137,34.376505,-100.269821
138,34.377265,-100.26861
139,34.383514,-100.256151
140,34.385179,-100.253885
141,34.393477,-100.246551
142,34.409112,-100.237387
143,34.413098,-100.233169
144,34.41484,-100.23185
145,34.417018,-100.231103
146,34.426172,-100.228693
147,34.429733,-100.226825
148,34.430973,-100.226355
149,34.437802,-100.225784
150,34.451403,-100.225081
151,34.455724,-100.223917
152,34.471551,-100.219074
153,34.474424,-100.21782
154,34.486561,-100.209897
155,34.488206,-100.209254
156,34.513012,-100.207548
157,34.526888,-100.20482
158,34.54504,-100.204035
159,34.56097,-100.200614
160,34.562387,-100.200005
161,34.563478,-100.199206
162,34.568628,-100.19431
163,34.572243,-100.191276
164,34.574516,-100.1898
165,34.576776,-100.189195
166,34.637429,-100.189165
167,34.663578,-100.188936
168,34.667829,-100.18895
169,34.667826,-100.188635
170,34.667796,-100.176742
171,34.668612,-100.163437
172,34.669017,-100.159128
173,34.670541,-100.145012
174,34.673826,-100.131307
175,34.674242,-100.127366
176,34.674191,-100.048132
177,34.674473,-100.046716
178,34.67518,-100.044555
179,34.679832,-100.032619
180,34.681168,-100.028936
181,34.681568,-100.027328
182,34.681731,-100.024517
183,34.681798,-100.000231
184,34.681801,-99.916868
185,34.681377,-99.790163
186,34.68073,-99.787888
187,34.679905,-99.786528
188,34.678881,-99.785518
189,34.672746,-99.780835
190,34.671676,-99.779419
191,34.671069,-99.777958
192,34.670758,-99.776148
193,34.670802,-99.764251
194,34.670599,-99.761924
195,34.670214,-99.759975
196,34.666976,-99.748335
197,34.666464,-99.66658
