,Latitude,Longitude
0,35.403076,-97.494987
1,35.401145,-97.495182
2,35.391836,-97.495179
3,35.392078,-97.497482
4,35.392037,-97.512657
5,35.39198,-97.515406
6,35.391475,-97.521281
7,35.391491,-97.552594
8,35.391711,-97.554388
9,35.395357,-97.571957
10,35.396334,-97.574358
11,35.396085,-97.57432
12,35.395352,-97.572454
13,35.394637,-97.569258
14,35.391601,-97.554432
15,35.391371,-97.552666
16,35.391333,-97.521282
17,35.391882,-97.514362
18,35.391985,-97.501613
19,35.391722,-97.495177
20,35.391693,-97.494947
21,35.391815,-97.494948
22,35.391836,-97.495179
23,35.391722,-97.495177
