,Latitude,Longitude
0,36.49915,-91.5368
1,36.50124,-91.53704
2,36.5035,-91.53742
3,36.50444,-91.53763
4,36.51499,-91.54066
5,36.51548,-91.54075
6,36.51603,-91.54076
7,36.51661,-91.54068
8,36.51704,-91.54055
9,36.51744,-91.54036
10,36.51807,-91.53992
11,36.51835,-91.53965
12,36.51885,-91.53901
13,36.5195,-91.53794
14,36.52011,-91.53711
15,36.52076,-91.53638
16,36.52137,-91.53591
17,36.52236,-91.5354
18,36.52307,-91.53521
19,36.52375,-91.53513
20,36.52465,-91.53523
21,36.52571,-91.53565
22,36.52635,-91.53599
23,36.52681,-91.53632
24,36.53048,-91.53983
25,36.53335,-91.54267
26,36.53395,-91.54314
27,36.53495,-91.54373
28,36.53953,-91.54567
29,36.5408,-91.54616
30,36.54232,-91.54685
31,36.54736,-91.54895
32,36.54865,-91.54945
33,36.55685,-91.55287
34,36.5581,-91.55334
35,36.55908,-91.55386
36,36.55965,-91.55432
37,36.55999,-91.55464
38,36.56077,-91.55552
39,36.56107,-91.55595
40,36.56191,-91.5574
41,36.57684,-91.58414
42,36.57752,-91.58553
43,36.57819,-91.58727
44,36.57854,-91.58835
45,36.57892,-91.58986
46,36.5889,-91.63867
47,36.58906,-91.6393
48,36.58947,-91.64032
49,36.58991,-91.64116
50,36.59029,-91.64173
51,36.59103,-91.64258
52,36.59197,-91.64334
53,36.59249,-91.64361
54,36.59333,-91.64386
55,36.60256,-91.64394
56,36.60352,-91.64406
57,36.60446,-91.64428
58,36.60519,-91.64452
59,36.60642,-91.64505
60,36.60711,-91.64542
61,36.60798,-91.646
62,36.60877,-91.6466
63,36.60946,-91.64722
64,36.61009,-91.64788
65,36.61743,-91.6565
66,36.61798,-91.65707
67,36.61853,-91.65753
68,36.61986,-91.65848
69,36.62112,-91.65912
70,36.622,-91.65945
71,36.62295,-91.65971
72,36.6238,-91.65985
73,36.62539,-91.65992
74,36.62909,-91.65957
75,36.6304,-91.65954
76,36.63186,-91.6597
77,36.63343,-91.66013
78,36.6342,-91.66044
79,36.63486,-91.66079
80,36.63568,-91.66129
81,36.63643,-91.66183
82,36.63696,-91.66228
83,36.63784,-91.66315
84,36.63845,-91.66387
85,36.63917,-91.66485
86,36.63992,-91.66612
87,36.64066,-91.66759
88,36.65759,-91.70233
89,36.65947,-91.70623
90,36.66059,-91.70864
91,36.66081,-91.70928
92,36.66098,-91.71
93,36.66105,-91.71052
94,36.6611,-91.71146
95,36.66097,-91.71317
96,36.66061,-91.71638
97,36.66063,-91.71785
98,36.66078,-91.7188
99,36.66088,-91.71923
100,36.66116,-91.72004
101,36.66134,-91.72043
102,36.66201,-91.7215
103,36.66258,-91.72216
104,36.66299,-91.72253
105,36.66403,-91.72326
106,36.66785,-91.72574
107,36.66844,-91.72623
108,36.66898,-91.72683
109,36.66943,-91.72751
110,36.66983,-91.72827
111,36.6702,-91.72927
112,36.67042,-91.73038
113,36.67049,-91.73146
114,36.67054,-91.73678
115,36.6711,-91.76533
116,36.67121,-91.76657
117,36.67139,-91.76752
118,36.67164,-91.76841
119,36.67216,-91.76974
120,36.67258,-91.77054
121,36.67304,-91.77126
122,36.69658,-91.80431
123,36.70306,-91.81435
124,36.70382,-91.81535
125,36.70528,-91.81702
126,36.71174,-91.82365
127,36.71392,-91.82596
128,36.71436,-91.82651
129,36.7147,-91.82703
130,36.71509,-91.8278
131,36.71533,-91.82842
132,36.71563,-91.82939
133,36.71591,-91.83066
134,36.71605,-91.8317
135,36.71615,-91.83304
136,36.71632,-91.84143
137,36.71653,-91.84794
138,36.71657,-91.84806
139,36.71664,-91.84994
140,36.7167,-91.85276
141,36.71666,-91.85288
142,36.71686,-91.8599
143,36.71696,-91.86546
144,36.71707,-91.86849
145,36.71719,-91.86954
146,36.71736,-91.8704
147,36.71782,-91.87176
148,36.71846,-91.87413
149,36.7187,-91.87473
150,36.71904,-91.87531
151,36.71946,-91.87589
152,36.71997,-91.87642
153,36.72061,-91.8769
154,36.72105,-91.87713
155,36.72175,-91.87736
156,36.72247,-91.87744
157,36.74632,-91.87683
158,36.74736,-91.87663
159,36.74826,-91.8763
160,36.74903,-91.87591
161,36.75113,-91.87447
162,36.75188,-91.87406
163,36.75248,-91.8738
164,36.75556,-91.87274
165,36.75664,-91.87255
166,36.75756,-91.87254
167,36.7584,-91.87264
168,36.75986,-91.87305
169,36.76005,-91.87318
170,36.76097,-91.87355
171,36.76201,-91.87406
172,36.76301,-91.87469
173,36.76424,-91.87561
174,36.77893,-91.88879
175,36.78033,-91.88992
176,36.7814,-91.89069
177,36.78306,-91.89177
178,36.78451,-91.89262
179,36.78669,-91.89365
180,36.78883,-91.89451
181,36.79086,-91.89511
182,36.79289,-91.89555
183,36.79528,-91.89591
184,36.79859,-91.8961
185,36.79875,-91.89602
186,36.80253,-91.89587
187,36.8032,-91.89588
188,36.80429,-91.89607
189,36.80536,-91.89644
190,36.80623,-91.89691
191,36.80699,-91.89742
192,36.80783,-91.89821
193,36.81411,-91.90583
194,36.8154,-91.90722
195,36.81654,-91.90828
196,36.81717,-91.90879
197,36.81837,-91.90969
198,36.81961,-91.91047
199,36.82129,-91.91135
200,36.82289,-91.912
201,36.8431,-91.91887
202,36.84481,-91.91937
203,36.84582,-91.91955
204,36.8469,-91.91966
205,36.8478,-91.91967
206,36.84904,-91.91959
207,36.86741,-91.91736
208,36.86875,-91.91716
209,36.86935,-91.91699
210,36.87009,-91.9167
211,36.87073,-91.91636
212,36.87131,-91.91597
213,36.8718,-91.91559
214,36.87494,-91.91275
215,36.87608,-91.912
216,36.87692,-91.91162
217,36.87794,-91.91133
218,36.87906,-91.91122
219,36.87991,-91.91125
220,36.88086,-91.91143
221,36.88181,-91.91175
222,36.91176,-91.9254
223,36.91308,-91.92606
224,36.92103,-91.93035
225,36.92235,-91.93098
226,36.92472,-91.93193
227,36.9261,-91.93235
228,36.92746,-91.93269
229,36.9286,-91.93292
230,36.93078,-91.9332
231,36.93546,-91.93361
232,36.93761,-91.93367
233,36.94597,-91.93345
234,36.94932,-91.93311
235,36.95826,-91.93296
236,36.95902,-91.93288
237,36.96007,-91.93256
238,36.96074,-91.93221
239,36.96298,-91.93084
240,36.96362,-91.93059
241,36.96406,-91.93047
242,36.96484,-91.93036
243,36.96564,-91.93038
244,36.96671,-91.93063
245,36.96743,-91.93094
246,36.96822,-91.93146
247,36.96889,-91.93206
248,36.96961,-91.93295
249,36.97006,-91.93371
250,36.97599,-91.94701
251,36.97638,-91.94799
252,36.97664,-91.94882
253,36.9768,-91.94951
254,36.97808,-91.95698
255,36.97849,-91.95894
256,36.98216,-91.97327
257,36.98242,-91.9741
258,36.98278,-91.97502
259,36.9833,-91.97602
260,36.98377,-91.97673
261,36.99216,-91.98849
262,36.99278,-91.98925
263,36.99357,-91.98993
264,36.99417,-91.99028
265,36.99479,-91.99053
266,36.99553,-91.99071
267,37.01839,-91.99397
268,37.01934,-91.99418
269,37.02008,-91.99445
270,37.02215,-91.99559
271,37.02572,-91.9972
272,37.02739,-91.99818
273,37.03079,-92.00066
274,37.03183,-92.00134
275,37.03654,-92.00465
276,37.05517,-92.01729
277,37.05602,-92.01808
278,37.05659,-92.01875
279,37.06125,-92.02554
280,37.06206,-92.02681
281,37.06248,-92.0279
282,37.06271,-92.02912
283,37.06274,-92.03006
284,37.06257,-92.03225
285,37.06262,-92.03305
286,37.06272,-92.03359
287,37.06295,-92.03435
288,37.06366,-92.03587
289,37.0642,-92.03688
290,37.06484,-92.03781
291,37.06547,-92.03852
292,37.06619,-92.03917
293,37.06684,-92.03964
294,37.06776,-92.04014
295,37.0688,-92.04051
296,37.0731,-92.04156
297,37.07414,-92.0419
298,37.07487,-92.04221
299,37.07569,-92.04262
300,37.07675,-92.04325
301,37.07745,-92.04375
302,37.07869,-92.0448
303,37.07954,-92.04567
304,37.0804,-92.04671
305,37.08117,-92.04779
306,37.08203,-92.04927
307,37.08277,-92.05081
308,37.08336,-92.05241
309,37.08414,-92.05497
310,37.08433,-92.05545
311,37.08457,-92.05589
312,37.08534,-92.05685
313,37.08849,-92.06042
314,37.08886,-92.06073
315,37.08925,-92.06095
316,37.09159,-92.0621
317,37.10158,-92.06686
318,37.10208,-92.06715
319,37.10263,-92.06763
320,37.10315,-92.06833
321,37.10347,-92.06904
322,37.10698,-92.08061
323,37.10698,-92.08061
324,37.10763,-92.08182
325,37.10813,-92.08249
326,37.10879,-92.08314
327,37.10946,-92.08362
328,37.11092,-92.08427
329,37.11634,-92.08643
330,37.11722,-92.08685
331,37.11818,-92.0874
332,37.11931,-92.08817
333,37.12611,-92.09338
334,37.12642,-92.0935
335,37.12681,-92.09354
336,37.12717,-92.09346
337,37.12749,-92.0933
338,37.12775,-92.09308
339,37.12798,-92.09278
340,37.13218,-92.08586
341,37.13297,-92.08491
342,37.13381,-92.0842
343,37.14113,-92.07858
344,37.14252,-92.07746
345,37.14452,-92.07567
346,37.14669,-92.07343
347,37.14921,-92.07035
348,37.15017,-92.069
349,37.15174,-92.06664
350,37.155,-92.06132
351,37.15557,-92.06055
352,37.15624,-92.05983
353,37.15671,-92.05941
354,37.15736,-92.05893
355,37.15824,-92.05844
356,37.15887,-92.05818
357,37.15976,-92.05794
358,37.16604,-92.05665
359,37.16683,-92.05644
360,37.16756,-92.0562
361,37.16844,-92.05581
362,37.16913,-92.05544
363,37.17003,-92.05484
364,37.17077,-92.05426
365,37.17138,-92.0537
366,37.17205,-92.05298
367,37.17271,-92.05215
368,37.17347,-92.05103
369,37.17574,-92.04723
370,37.17624,-92.0465
371,37.17681,-92.04582
372,37.18264,-92.04059
373,37.18364,-92.03978
374,37.18436,-92.0393
375,37.18507,-92.0389
376,37.18604,-92.03844
377,37.18677,-92.03817
378,37.18778,-92.0379
379,37.18854,-92.03776
380,37.18948,-92.03768
381,37.19034,-92.03767
382,37.19135,-92.03777
383,37.19231,-92.03795
384,37.19379,-92.03842
385,37.19526,-92.03914
386,37.19776,-92.04069
387,37.19874,-92.04112
388,37.19946,-92.04132
389,37.20062,-92.04147
390,37.20189,-92.04141
391,37.20308,-92.04112
392,37.2042,-92.04062
393,37.20529,-92.03991
394,37.20614,-92.03915
395,37.20695,-92.0382
396,37.2076,-92.03722
397,37.20811,-92.03624
398,37.20845,-92.03539
399,37.20996,-92.03064
400,37.21035,-92.0297
401,37.21077,-92.02893
402,37.21125,-92.02823
403,37.2118,-92.02762
404,37.21244,-92.02705
405,37.21299,-92.02667
406,37.21378,-92.02627
407,37.21979,-92.02408
408,37.22036,-92.02384
409,37.22105,-92.02345
410,37.22188,-92.02286
411,37.22264,-92.02214
412,37.22336,-92.02126
413,37.22551,-92.01828
414,37.22611,-92.01766
415,37.22664,-92.01726
416,37.22728,-92.0169
417,37.22989,-92.01568
418,37.23413,-92.01381
419,37.23882,-92.01166
420,37.23949,-92.01123
421,37.24007,-92.01078
422,37.24783,-92.00393
423,37.24876,-92.00321
424,37.24974,-92.00266
425,37.25183,-92.00174
426,37.25658,-91.99977
427,37.25734,-91.99935
428,37.25798,-91.99889
429,37.25871,-91.99826
430,37.25922,-91.99773
431,37.26128,-91.99542
432,37.26288,-91.99352
433,37.26389,-91.99252
434,37.26477,-91.99183
435,37.26552,-91.99136
436,37.26779,-91.99028
437,37.26852,-91.98986
438,37.2693,-91.98921
439,37.26967,-91.98879
440,37.27004,-91.98829
441,37.27044,-91.98759
442,37.27078,-91.98681
443,37.27234,-91.98234
444,37.27295,-91.98032
445,37.27407,-91.97592
446,37.27445,-91.97474
447,37.27492,-91.97378
448,37.27546,-91.97293
449,37.27619,-91.97208
450,37.27687,-91.97151
451,37.27745,-91.97114
452,37.27808,-91.97082
453,37.28306,-91.96905
454,37.2944,-91.96585
455,37.30549,-91.9632
456,37.30686,-91.96276
457,37.30802,-91.9623
458,37.31103,-91.96093
459,37.31245,-91.96039
460,37.31433,-91.95982
461,37.31517,-91.95962
462,37.31991,-91.95867
463,37.32037,-91.95853
464,37.32076,-91.95826
465,37.32119,-91.95785
466,37.32154,-91.95737
467,37.32297,-91.95438
468,37.32357,-91.95357
469,37.32386,-91.95331
470,37.3243,-91.95303
471,37.32604,-91.95238
472,37.32664,-91.95188
473,37.3286,-91.94967
474,37.33266,-91.94527
475,37.33973,-91.93741
476,37.33975,-91.93732
477,37.34047,-91.9366
478,37.3413,-91.93587
479,37.34472,-91.93322
480,37.34556,-91.93251
481,37.34638,-91.93187
482,37.34654,-91.93179
483,37.34975,-91.92927
484,37.35082,-91.92831
485,37.36642,-91.9113
486,37.36717,-91.9105
487,37.36769,-91.91002
488,37.36856,-91.9094
489,37.36922,-91.90902
490,37.36991,-91.90872
491,37.37888,-91.90563
492,37.3828,-91.90421
493,37.3905,-91.90153
494,37.39143,-91.90108
495,37.39236,-91.90034
496,37.39286,-91.89981
497,37.39315,-91.89941
498,37.39372,-91.89829
499,37.39394,-91.89771
500,37.39848,-91.88253
501,37.39888,-91.88144
502,37.39943,-91.88043
503,37.39986,-91.87987
504,37.40022,-91.87949
505,37.40076,-91.87902
506,37.40113,-91.87877
507,37.40175,-91.87844
508,37.40216,-91.87829
509,37.40927,-91.87617
510,37.41216,-91.87524
511,37.41708,-91.87385
512,37.43219,-91.86933
513,37.43732,-91.86778
