,Latitude,Longitude
0,40.58047,-93.52394
1,40.58234,-93.52388
2,40.58261,-93.52388
3,40.58312,-93.52387
4,40.58319,-93.52385
5,40.58335,-93.52382
6,40.58359,-93.52375
7,40.58421,-93.52349
8,40.58436,-93.52342
9,40.58461,-93.52332
10,40.58469,-93.5233
11,40.58478,-93.52327
12,40.58483,-93.52325
13,40.58486,-93.52325
14,40.58489,-93.52323
15,40.58498,-93.52321
16,40.58512,-93.5232
17,40.58515,-93.5232
18,40.58522,-93.52318
19,40.58644,-93.52318
20,40.5885,-93.52314
21,40.58935,-93.52314
22,40.58958,-93.52313
23,40.59164,-93.5231
24,40.59231,-93.5231
25,40.59264,-93.52308
26,40.59269,-93.52307
27,40.5928,-93.52306
28,40.59289,-93.52306
29,40.59324,-93.523
30,40.59328,-93.52299
31,40.59331,-93.52299
32,40.59352,-93.5229
33,40.5936,-93.52293
34,40.5937,-93.52289
35,40.59383,-93.52287
36,40.594,-93.52282
37,40.59427,-93.52272
38,40.59435,-93.5227
39,40.59468,-93.52256
40,40.59472,-93.52255
41,40.59497,-93.52243
42,40.59524,-93.52229
43,40.59566,-93.52203
44,40.59575,-93.52198
45,40.59585,-93.52191
46,40.5959,-93.52188
47,40.59607,-93.52176
48,40.59615,-93.52169
49,40.59653,-93.52137
50,40.59742,-93.52056
51,40.59778,-93.52023
52,40.59802,-93.52001
53,40.59879,-93.51929
54,40.59895,-93.51916
55,40.59916,-93.51895
56,40.5998,-93.51837
57,40.60032,-93.51788
58,40.60057,-93.51767
59,40.60111,-93.51716
60,40.60118,-93.51711
61,40.60162,-93.5167
62,40.60186,-93.51649
63,40.60204,-93.51631
64,40.60223,-93.51613
65,40.60234,-93.51605
66,40.60241,-93.51598
67,40.6035,-93.51497
68,40.60388,-93.51461
69,40.60458,-93.51399
70,40.60547,-93.51316
71,40.60638,-93.51233
72,40.60644,-93.51228
73,40.60664,-93.51211
74,40.60693,-93.51188
75,40.60724,-93.51166
76,40.60734,-93.5116
77,40.60752,-93.51148
78,40.60775,-93.51135
79,40.60795,-93.51125
80,40.60806,-93.51119
81,40.60829,-93.51108
82,40.60861,-93.5109
83,40.60894,-93.51083
84,40.60916,-93.51077
85,40.60933,-93.51073
86,40.60938,-93.51071
87,40.60981,-93.51063
88,40.61001,-93.5106
89,40.61234,-93.51018
90,40.61267,-93.51014
91,40.61289,-93.51009
92,40.61314,-93.51003
93,40.61327,-93.51
94,40.61346,-93.50994
95,40.61352,-93.50991
96,40.61363,-93.50987
97,40.61403,-93.50967
98,40.61413,-93.50962
99,40.61417,-93.5096
100,40.61429,-93.50953
101,40.61455,-93.50936
102,40.61466,-93.50928
103,40.61496,-93.50904
104,40.61514,-93.50888
105,40.61519,-93.50883
106,40.61525,-93.50878
107,40.61543,-93.50857
108,40.61549,-93.50852
109,40.61554,-93.50845
110,40.61559,-93.5084
111,40.61576,-93.50819
112,40.6159,-93.508
113,40.61593,-93.5079
114,40.616,-93.50785
115,40.61627,-93.50742
116,40.61641,-93.50716
117,40.6165,-93.50696
118,40.61687,-93.50624
119,40.61711,-93.50573
120,40.61725,-93.50545
121,40.61736,-93.50521
122,40.6175,-93.50495
123,40.6181,-93.50373
124,40.61823,-93.50346
125,40.61851,-93.50288
126,40.61878,-93.50237
127,40.6188,-93.50233
128,40.61881,-93.5023
129,40.619,-93.50198
130,40.61914,-93.50176
131,40.61923,-93.50165
132,40.61929,-93.50156
133,40.61938,-93.50144
134,40.61947,-93.50134
135,40.61954,-93.50125
136,40.61961,-93.50117
137,40.61968,-93.50108
138,40.61977,-93.50098
139,40.61998,-93.50077
140,40.62003,-93.50072
141,40.62008,-93.50068
142,40.62018,-93.5006
143,40.62022,-93.50055
144,40.62027,-93.50053
145,40.62035,-93.50046
146,40.62067,-93.50022
147,40.62072,-93.50019
148,40.62086,-93.5001
149,40.62094,-93.50005
150,40.62103,-93.5
151,40.6211,-93.49997
152,40.6212,-93.49992
153,40.62129,-93.49987
154,40.62143,-93.49981
