,Latitude,Longitude
0,43.4995,-93.24725
1,43.50065,-93.24766
2,43.50104,-93.2478
3,43.50128,-93.24789
4,43.50145,-93.24795
5,43.50186,-93.2481
6,43.50221,-93.24823
7,43.50267,-93.24839
8,43.50277,-93.24843
9,43.50302,-93.24852
10,43.50354,-93.2487
11,43.50358,-93.24872
12,43.50439,-93.249
13,43.50483,-93.24915
14,43.50533,-93.24932
15,43.50552,-93.24939
16,43.50616,-93.2496
17,43.50633,-93.24966
18,43.50654,-93.24972
19,43.5074,-93.25001
20,43.50803,-93.25022
21,43.50808,-93.25024
22,43.50861,-93.25042
23,43.50951,-93.25072
24,43.51117,-93.25131
25,43.51192,-93.25158
26,43.51298,-93.25196
27,43.51314,-93.25202
28,43.51364,-93.2522
29,43.51409,-93.25236
30,43.51497,-93.25268
31,43.51631,-93.25316
32,43.51666,-93.25329
33,43.51859,-93.25398
34,43.52059,-93.2547
35,43.52219,-93.25528
36,43.52263,-93.25544
37,43.52365,-93.25581
38,43.5239,-93.2559
39,43.52432,-93.25603
40,43.5246,-93.2561
41,43.52476,-93.25614
42,43.52501,-93.25619
43,43.52556,-93.25628
44,43.52611,-93.25634
45,43.52653,-93.2564
46,43.52867,-93.25668
47,43.52894,-93.2567
48,43.52946,-93.25678
49,43.53002,-93.25685
50,43.53059,-93.25692
51,43.531,-93.25697
52,43.53118,-93.25699
53,43.53128,-93.257
54,43.53171,-93.25706
55,43.53215,-93.25711
56,43.53303,-93.25723
57,43.53332,-93.25727
58,43.5335,-93.25729
59,43.53384,-93.25733
60,43.53447,-93.25741
61,43.53562,-93.25756
62,43.53601,-93.25761
63,43.53668,-93.25769
64,43.53984,-93.2581
65,43.54009,-93.25813
66,43.54048,-93.25818
67,43.54081,-93.25822
68,43.54118,-93.25827
69,43.54138,-93.25829
70,43.54163,-93.25833
71,43.54201,-93.25837
72,43.54223,-93.2584
73,43.54234,-93.25842
74,43.54249,-93.25843
75,43.54278,-93.25847
76,43.54314,-93.25852
77,43.54342,-93.25855
78,43.54354,-93.25857
79,43.54364,-93.25858
80,43.54376,-93.2586
81,43.54395,-93.25862
82,43.54412,-93.25864
83,43.54422,-93.25866
84,43.54442,-93.25868
85,43.54472,-93.25872
86,43.5454,-93.25881
87,43.54561,-93.25883
88,43.54598,-93.25888
89,43.54626,-93.25892
90,43.5464,-93.25894
91,43.54666,-93.259
92,43.54691,-93.25906
93,43.54712,-93.25912
94,43.54733,-93.25919
95,43.5475,-93.25926
96,43.54774,-93.25935
97,43.54793,-93.25943
98,43.54817,-93.25955
99,43.54853,-93.25976
100,43.54868,-93.25984
101,43.54893,-93.26001
102,43.5491,-93.26013
103,43.54931,-93.26029
104,43.54942,-93.26038
105,43.54949,-93.26044
106,43.54957,-93.26051
107,43.54968,-93.2606
108,43.54976,-93.26068
109,43.5499,-93.26081
110,43.54992,-93.26083
111,43.55002,-93.26092
112,43.55013,-93.26103
113,43.5503,-93.2612
114,43.55036,-93.26126
115,43.55049,-93.26139
116,43.55092,-93.26183
117,43.55162,-93.26254
118,43.55176,-93.26267
119,43.55196,-93.26288
120,43.55202,-93.26293
121,43.55228,-93.26319
122,43.55257,-93.26348
123,43.55278,-93.2637
124,43.55295,-93.26386
125,43.55304,-93.26396
126,43.55314,-93.26407
127,43.55325,-93.26417
128,43.55344,-93.26437
129,43.55357,-93.2645
130,43.55367,-93.26459
131,43.5538,-93.26473
132,43.55396,-93.26489
133,43.5541,-93.26502
134,43.55416,-93.26508
135,43.55424,-93.26517
136,43.55434,-93.26527
137,43.55438,-93.2653
138,43.55442,-93.26535
139,43.55449,-93.26542
140,43.55459,-93.26552
141,43.55472,-93.26565
142,43.55491,-93.26584
143,43.55496,-93.2659
144,43.55602,-93.26696
145,43.55628,-93.26721
146,43.55651,-93.26745
147,43.55677,-93.26771
148,43.55704,-93.26799
149,43.55721,-93.26817
150,43.55773,-93.26873
151,43.55811,-93.26915
152,43.55821,-93.26927
153,43.55915,-93.27035
154,43.56009,-93.27141
155,43.56088,-93.27231
156,43.56153,-93.27305
157,43.56162,-93.27315
158,43.56177,-93.27333
159,43.56192,-93.2735
160,43.56206,-93.27366
161,43.56227,-93.2739
162,43.56249,-93.27414
163,43.56273,-93.27442
164,43.56302,-93.27475
165,43.5633,-93.27507
166,43.56336,-93.27513
167,43.56376,-93.2756
168,43.56397,-93.27584
169,43.56425,-93.27616
170,43.56446,-93.27639
171,43.56467,-93.27662
172,43.56469,-93.27665
173,43.56489,-93.27688
174,43.565,-93.277
175,43.56512,-93.27713
176,43.56534,-93.27739
177,43.56558,-93.27767
178,43.56564,-93.27774
179,43.56593,-93.27806
180,43.56619,-93.27836
181,43.5665,-93.27872
182,43.56668,-93.27892
183,43.56684,-93.2791
184,43.56698,-93.27926
185,43.56712,-93.27942
186,43.56717,-93.27947
187,43.56845,-93.28093
188,43.56857,-93.28107
189,43.5687,-93.28122
190,43.56894,-93.28148
191,43.5691,-93.28166
192,43.5692,-93.28176
193,43.56932,-93.28189
194,43.56951,-93.28209
195,43.56963,-93.2822
196,43.56975,-93.28232
197,43.56996,-93.28252
198,43.57005,-93.28261
199,43.57014,-93.28269
200,43.57036,-93.28289
201,43.57053,-93.28304
202,43.57065,-93.28316
203,43.57084,-93.28334
204,43.57102,-93.28351
205,43.57113,-93.28362
206,43.57126,-93.28375
207,43.57136,-93.28385
208,43.57139,-93.28388
209,43.57144,-93.28394
210,43.57157,-93.28409
211,43.57162,-93.28413
212,43.57169,-93.2842
213,43.57171,-93.28422
214,43.57184,-93.28436
215,43.57196,-93.28449
216,43.57212,-93.28467
217,43.5723,-93.28488
218,43.57254,-93.28515
219,43.57273,-93.28537
220,43.57294,-93.28561
221,43.57305,-93.28573
222,43.57318,-93.28587
223,43.57326,-93.28597
224,43.57334,-93.28606
225,43.57345,-93.2862
226,43.57359,-93.28635
227,43.57374,-93.28651
228,43.57389,-93.28668
229,43.57405,-93.28685
230,43.57429,-93.28714
231,43.57467,-93.28758
232,43.57474,-93.28766
233,43.57481,-93.28775
234,43.57494,-93.28788
235,43.5753,-93.28829
236,43.57538,-93.28839
237,43.57543,-93.28845
238,43.57554,-93.28858
239,43.57567,-93.28875
240,43.57571,-93.2888
241,43.57576,-93.28886
242,43.57584,-93.28896
243,43.576,-93.28917
244,43.57611,-93.28933
245,43.57614,-93.28938
246,43.57632,-93.28965
247,43.57661,-93.2901
248,43.57679,-93.29041
249,43.5769,-93.2906
250,43.57708,-93.29094
251,43.57716,-93.29111
252,43.57723,-93.29123
253,43.57743,-93.29163
254,43.57756,-93.29187
255,43.57765,-93.29205
256,43.57766,-93.29207
257,43.57773,-93.29221
258,43.57794,-93.29264
259,43.57802,-93.29279
260,43.57816,-93.29307
261,43.57839,-93.29352
262,43.57855,-93.29383
263,43.57874,-93.2942
264,43.57881,-93.29435
265,43.57896,-93.29463
266,43.57931,-93.29533
267,43.57957,-93.29583
268,43.57975,-93.29618
269,43.57993,-93.29655
270,43.57995,-93.29658
271,43.5801,-93.29687
272,43.58031,-93.29728
273,43.5805,-93.2976
274,43.58059,-93.29776
275,43.58065,-93.29785
276,43.58083,-93.29813
277,43.5811,-93.29851
278,43.58126,-93.29872
279,43.58132,-93.29881
280,43.58145,-93.29899
281,43.58155,-93.29912
282,43.5817,-93.29933
283,43.582,-93.29974
284,43.5822,-93.30001
285,43.58259,-93.30056
286,43.58291,-93.30099
287,43.58309,-93.30124
288,43.58332,-93.30155
289,43.58354,-93.30185
290,43.5838,-93.30222
291,43.58395,-93.30243
292,43.58409,-93.30262
293,43.58428,-93.30288
294,43.58438,-93.30301
295,43.58465,-93.30338
296,43.5847,-93.30345
297,43.58477,-93.30354
298,43.58489,-93.30372
299,43.58491,-93.30374
300,43.58505,-93.30393
301,43.58518,-93.3041
302,43.58534,-93.30434
303,43.58555,-93.30462
304,43.58578,-93.30495
305,43.58587,-93.30506
306,43.58613,-93.30541
307,43.58625,-93.30558
308,43.58648,-93.30589
309,43.58673,-93.30623
310,43.58689,-93.30645
311,43.58711,-93.30676
312,43.58723,-93.30693
313,43.58738,-93.30714
314,43.58753,-93.30734
315,43.58761,-93.30745
316,43.58772,-93.3076
317,43.5879,-93.30786
318,43.58809,-93.30811
319,43.58831,-93.30841
320,43.58862,-93.30885
321,43.58864,-93.30887
322,43.58872,-93.30898
323,43.58898,-93.30934
324,43.58936,-93.30985
325,43.58953,-93.3101
326,43.58956,-93.31013
327,43.58959,-93.31017
328,43.58966,-93.31027
329,43.59002,-93.31078
330,43.59022,-93.31104
331,43.59062,-93.3116
332,43.59118,-93.31236
333,43.59152,-93.31283
334,43.59216,-93.31371
335,43.59308,-93.31498
336,43.5931,-93.315
337,43.59323,-93.31518
338,43.59403,-93.31628
339,43.59415,-93.31645
340,43.59438,-93.31675
341,43.59523,-93.31792
342,43.59599,-93.31899
343,43.59782,-93.32148
344,43.59789,-93.32159
345,43.59865,-93.32263
346,43.59871,-93.32271
347,43.5995,-93.32381
348,43.5996,-93.32394
349,43.60036,-93.32498
350,43.60055,-93.32525
351,43.60096,-93.32581
352,43.60105,-93.32594
353,43.60128,-93.32626
354,43.60163,-93.32673
355,43.60195,-93.32718
356,43.60208,-93.32736
357,43.60297,-93.32858
358,43.60305,-93.32869
359,43.60356,-93.32939
360,43.60379,-93.32969
361,43.6041,-93.33012
362,43.60429,-93.33039
363,43.60469,-93.33094
364,43.60484,-93.33113
365,43.60506,-93.33143
366,43.6054,-93.33191
367,43.60592,-93.33262
368,43.60639,-93.33327
369,43.60779,-93.3352
370,43.60829,-93.33592
371,43.60997,-93.33855
372,43.61076,-93.33988
373,43.61235,-93.34298
374,43.61256,-93.34336
375,43.61285,-93.3438
376,43.61322,-93.34427
377,43.61395,-93.34508
378,43.61458,-93.34564
379,43.615,-93.34594
380,43.61577,-93.3464
381,43.61655,-93.34672
382,43.61699,-93.34687
383,43.62019,-93.34754
384,43.62129,-93.34798
385,43.62233,-93.34855
386,43.62336,-93.3494
387,43.62531,-93.35119
388,43.62737,-93.35306
389,43.62809,-93.35377
390,43.62881,-93.35473
391,43.62938,-93.35565
392,43.63028,-93.35746
393,43.63183,-93.36078
394,43.63207,-93.36131
395,43.6324,-93.36196
396,43.63288,-93.36278
397,43.63668,-93.36803
398,43.63709,-93.36838
399,43.63746,-93.36857
400,43.63798,-93.36867
401,43.64784,-93.36871
402,43.64785,-93.36735
403,43.64786,-93.36669
404,43.64794,-93.36607
405,43.64804,-93.3656
406,43.64843,-93.36442
407,43.64883,-93.36348
408,43.65142,-93.35974
409,43.65181,-93.35919
410,43.65207,-93.35873
411,43.65224,-93.3582
412,43.65234,-93.35769
413,43.65236,-93.35721
414,43.65234,-93.35684
415,43.65222,-93.35474
416,43.65219,-93.35379
417,43.65219,-93.34799
418,43.65223,-93.34691
419,43.6524,-93.34545
420,43.65263,-93.34436
421,43.653,-93.34301
422,43.65434,-93.33975
423,43.65569,-93.33682
424,43.65656,-93.33544
425,43.65846,-93.33325
426,43.66016,-93.33173
427,43.6611,-93.3313
428,43.66197,-93.33098
429,43.66295,-93.33057
430,43.66416,-93.32979
431,43.66536,-93.32867
432,43.66783,-93.32597
433,43.67053,-93.32354
