,Latitude,Longitude
0,35.40225,-106.43614
1,35.40186,-106.43651
2,35.40099,-106.43736
3,35.40065,-106.43786
4,35.39151,-106.45902
5,35.39007,-106.46153
6,35.38909,-106.46288
7,35.38589,-106.46663
8,35.38549,-106.46736
9,35.38369,-106.47133
10,35.38332,-106.47253
11,35.38244,-106.4762
12,35.38195,-106.47723
13,35.38089,-106.47869
14,35.37973,-106.48024
15,35.37877,-106.48127
16,35.37842,-106.48204
17,35.37818,-106.48296
18,35.37818,-106.48399
19,35.37805,-106.48479
20,35.3777,-106.48558
21,35.37504,-106.48901
22,35.37487,-106.48964
23,35.37482,-106.49109
24,35.37464,-106.49187
25,35.37415,-106.49337
26,35.37378,-106.49397
27,35.36614,-106.50184
28,35.36372,-106.50399
29,35.35721,-106.50901
30,35.35084,-106.5138
31,35.3326,-106.52837
32,35.3315,-106.52925
33,35.33066,-106.52968
34,35.32861,-106.53038
35,35.32809,-106.53081
36,35.32282,-106.54238
37,35.32079,-106.5442
38,35.31711,-106.54515
39,35.31573,-106.54592
40,35.31273,-106.54725
41,35.31189,-106.54736
42,35.31093,-106.54731
43,35.30872,-106.54699
44,35.30801,-106.54708
45,35.30717,-106.54757
46,35.30425,-106.54926
47,35.30008,-106.5511
48,35.29817,-106.55226
49,35.29742,-106.55235
50,35.29605,-106.55248
51,35.29502,-106.55297
52,35.29082,-106.55591
53,35.26797,-106.5714
54,35.26594,-106.57252
55,35.26433,-106.57329
56,35.26247,-106.57398
57,35.23875,-106.58166
58,35.23692,-106.58248
59,35.21245,-106.59668
60,35.21158,-106.59763
61,35.21123,-106.59887
62,35.21018,-106.60168
63,35.20755,-106.61101
64,35.20687,-106.61247
65,35.20626,-106.61301
66,35.20561,-106.61338
67,35.20501,-106.61361
68,35.18888,-106.61724
69,35.18832,-106.61758
70,35.1726,-106.63455
71,35.17217,-106.63481
72,35.10723,-106.64726
73,35.10523,-106.64752
74,35.09118,-106.65035
75,35.08454,-106.6516
76,35.07006,-106.65434
77,35.07008,-106.65554
78,35.06961,-106.66234
79,35.06943,-106.66329
80,35.06837,-106.66656
81,35.06801,-106.66652
82,35.06628,-106.66728
83,35.06598,-106.66734
84,35.06439,-106.66746
85,35.06282,-106.66781
86,35.06225,-106.6678
87,35.06072,-106.66748
88,35.06032,-106.66746
89,35.05951,-106.66765
90,35.05664,-106.6684
91,35.05599,-106.66874
92,35.05569,-106.66945
93,35.05567,-106.67043
94,35.05545,-106.67209
95,35.05515,-106.67271
96,35.05446,-106.67372
97,35.05399,-106.67541
98,35.05357,-106.6767
99,35.05343,-106.67726
100,35.05301,-106.67751
101,35.0523,-106.67762
102,35.05088,-106.67803
103,35.04751,-106.67841
104,35.04379,-106.67938
105,35.04284,-106.67948
106,35.03172,-106.67948
107,35.02558,-106.68064
108,35.02421,-106.68112
109,35.01529,-106.68517
110,35.01114,-106.68745
111,35.00711,-106.68882
112,35.00209,-106.69103
113,35.00077,-106.69144
114,35.00003,-106.69152
115,34.99753,-106.69249
116,34.9969,-106.69307
117,34.99641,-106.69337
118,34.98672,-106.69663
119,34.98461,-106.69672
120,34.98331,-106.69702
121,34.98219,-106.69712
122,34.98062,-106.69708
123,34.97959,-106.69663
124,34.9789,-106.69657
125,34.97552,-106.69678
126,34.97408,-106.69663
127,34.97092,-106.69592
128,34.96487,-106.69536
129,34.96417,-106.69541
130,34.96114,-106.69579
131,34.95882,-106.69588
132,34.95542,-106.69564
133,34.9517,-106.69442
134,34.94937,-106.69403
135,34.94398,-106.69249
136,34.93805,-106.69163
137,34.93738,-106.69167
138,34.93346,-106.69232
139,34.9163,-106.69306
140,34.91463,-106.69351
141,34.91417,-106.69381
142,34.91401,-106.69349
143,34.91357,-106.6934
144,34.91193,-106.69355
145,34.91132,-106.69336
146,34.90822,-106.68935
147,34.90773,-106.6889
148,34.9069,-106.68857
149,34.90641,-106.68817
150,34.90616,-106.68767
151,34.90614,-106.68707
152,34.90648,-106.68205
153,34.90646,-106.68156
154,34.90616,-106.68119
155,34.90576,-106.68111
156,34.90479,-106.68132
157,34.90352,-106.68119
158,34.9025,-106.68126
159,34.89205,-106.68285
160,34.8914,-106.68306
161,34.88687,-106.68521
162,34.88585,-106.68559
163,34.88214,-106.68641
164,34.88077,-106.68705
165,34.87527,-106.69027
166,34.8739,-106.69087
167,34.87313,-106.69113
168,34.87092,-106.69134
169,34.8653,-106.69095
170,34.85673,-106.69063
171,34.853,-106.69113
172,34.84704,-106.69098
173,34.84586,-106.69136
174,34.84516,-106.69138
175,34.84254,-106.69125
176,34.84167,-106.69125
177,34.8403,-106.6914
178,34.8394,-106.6914
179,34.83766,-106.69119
180,34.83648,-106.69065
181,34.836,-106.69048
182,34.83299,-106.69055
183,34.83015,-106.69053
184,34.82897,-106.69044
185,34.82656,-106.68977
186,34.82595,-106.6898
187,34.82524,-106.68997
188,34.82343,-106.6916
189,34.82078,-106.69308
190,34.81492,-106.69622
191,34.81203,-106.69729
192,34.81118,-106.69806
193,34.80674,-106.70287
194,34.80286,-106.70742
195,34.80248,-106.70823
196,34.80237,-106.70913
197,34.80248,-106.71021
198,34.80516,-106.72055
199,34.80547,-106.72789
200,34.8054,-106.73051
201,34.80561,-106.73145
202,34.80723,-106.73458
203,34.80776,-106.73643
204,34.81393,-106.7463
205,34.81467,-106.74789
206,34.81492,-106.74922
207,34.81474,-106.75046
208,34.81358,-106.75561
209,34.81354,-106.75703
210,34.81379,-106.75883
211,34.8202,-106.78085
212,34.82029,-106.792
213,34.82036,-106.79367
214,34.82082,-106.79543
215,34.82353,-106.80333
216,34.82378,-106.80487
217,34.82371,-106.80719
218,34.82188,-106.82504
219,34.81825,-106.84152
220,34.81818,-106.84307
221,34.81842,-106.8486
222,34.81832,-106.85006
223,34.80658,-106.89345
224,34.80577,-106.89577
225,34.78332,-106.93444
226,34.78107,-106.93971
227,34.78001,-106.94413
228,34.77959,-106.94834
229,34.77959,-106.95143
230,34.78001,-106.96113
231,34.78006,-106.96364
232,34.78019,-106.96495
233,34.78035,-106.96636
234,34.78077,-106.96776
235,34.7814,-106.96909
236,34.78247,-106.97087
237,34.78283,-106.9713
238,34.78319,-106.97145
239,34.78347,-106.97149
240,34.78548,-106.97139
241,34.78609,-106.9714
242,34.78647,-106.97169
243,34.79547,-106.98064
244,34.79629,-106.98208
245,34.79677,-106.98376
246,34.79684,-106.98434
247,34.79651,-106.99189
248,34.7966,-106.99311
249,34.79686,-106.99418
250,34.79825,-106.99779
251,34.79859,-106.99891
252,34.79896,-107.00056
253,34.79954,-107.00249
254,34.81013,-107.02929
255,34.81071,-107.0303
256,34.81543,-107.03642
257,34.81651,-107.03738
258,34.83971,-107.05315
259,34.84094,-107.05365
260,34.84193,-107.05367
261,34.86878,-107.053
262,34.86954,-107.05313
263,34.87408,-107.05504
264,34.87586,-107.05605
265,34.88313,-107.06169
266,34.8839,-107.06262
267,34.8907,-107.07907
268,34.89145,-107.08055
269,34.89242,-107.0818
270,34.8933,-107.08266
271,34.90296,-107.08862
272,34.90425,-107.08976
273,34.92531,-107.11812
274,34.92587,-107.11907
275,34.93083,-107.1293
276,34.93152,-107.13027
277,34.93335,-107.13209
278,34.93379,-107.13276
279,34.95387,-107.17415
280,34.95475,-107.176
281,34.95516,-107.17715
282,34.95535,-107.17823
283,34.95532,-107.17932
284,34.95481,-107.18205
285,34.95473,-107.18339
286,34.95492,-107.1856
287,34.96095,-107.25646
288,34.96122,-107.25842
289,34.96173,-107.2602
290,34.96266,-107.26193
291,34.99776,-107.30463
