,Latitude,Longitude
0,35.53686,-98.11419
1,35.53675,-98.16709
2,35.53675,-98.16967
3,35.53647,-98.17224
4,35.53671,-98.17911
5,35.53654,-98.23721
6,35.53663,-98.23834
7,35.5369,-98.23946
8,35.54631,-98.2592
9,35.5505,-98.27158
10,35.551,-98.27289
11,35.55112,-98.27375
12,35.5511,-98.27477
13,35.55088,-98.27573
14,35.55069,-98.27631
15,35.54999,-98.28055
16,35.54989,-98.28125
17,35.54937,-98.29618
18,35.54939,-98.29705
19,35.54953,-98.2979
20,35.5497,-98.29857
21,35.54998,-98.29938
22,35.5505,-98.30044
23,35.55081,-98.30122
24,35.55105,-98.30222
25,35.55117,-98.30318
26,35.55127,-98.30422
27,35.55115,-98.30524
28,35.55095,-98.30617
29,35.55075,-98.30686
30,35.55028,-98.30795
31,35.54998,-98.30858
