,Latitude,Longitude
0,35.80646,-96.50365
1,35.80298,-96.50377
2,35.80294,-96.50984
3,35.80636,-96.50982
4,35.80606,-96.51475
5,35.80604,-96.52645
6,35.80596,-96.52713
7,35.79468,-96.55608
8,35.79443,-96.55638
9,35.794,-96.55681
10,35.79342,-96.55698
11,35.79262,-96.55703
12,35.792,-96.55722
13,35.79148,-96.55769
14,35.78963,-96.55917
15,35.78813,-96.56065
16,35.78785,-96.56095
17,35.78755,-96.5611
18,35.78658,-96.56133
19,35.78613,-96.56163
20,35.78594,-96.56185
21,35.78365,-96.56607
22,35.78349,-96.56655
23,35.78333,-96.56734
24,35.78309,-96.56891
25,35.78297,-96.56943
26,35.78279,-96.56987
27,35.77941,-96.57411
28,35.77917,-96.57434
29,35.77893,-96.57451
30,35.77853,-96.57464
31,35.77653,-96.57506
32,35.77571,-96.57519
33,35.77534,-96.57535
34,35.77503,-96.57555
35,35.77303,-96.57762
36,35.77012,-96.58059
37,35.76992,-96.5809
38,35.76967,-96.58142
39,35.76964,-96.58283
40,35.76954,-96.58703
41,35.76959,-96.5878
42,35.76963,-96.5899
43,35.76978,-96.59136
44,35.76996,-96.59232
45,35.77018,-96.59397
46,35.77015,-96.5945
47,35.77005,-96.59485
48,35.76981,-96.59528
49,35.76925,-96.59588
50,35.76891,-96.59628
51,35.76878,-96.59658
52,35.76869,-96.59693
53,35.76865,-96.59731
54,35.76869,-96.5977
55,35.76882,-96.59812
56,35.76932,-96.59914
57,35.76949,-96.59972
58,35.76967,-96.60094
59,35.76969,-96.61523
60,35.76967,-96.6175
61,35.76967,-96.61812
62,35.76958,-96.61879
63,35.76936,-96.61932
64,35.76907,-96.61981
65,35.7686,-96.6204
66,35.7669,-96.62234
67,35.7627,-96.62705
68,35.75905,-96.63118
69,35.7587,-96.63163
70,35.75728,-96.63442
71,35.75698,-96.63483
72,35.75677,-96.63512
73,35.75644,-96.63541
74,35.75151,-96.6392
75,35.75125,-96.63959
76,35.751,-96.64002
77,35.7505,-96.64117
78,35.74896,-96.64534
