,Latitude,Longitude
0,38.48297,-90.82265
1,38.48273,-90.82429
2,38.48124,-90.82848
3,38.48105,-90.82929
4,38.48097,-90.83093
5,38.48104,-90.83203
6,38.48169,-90.83505
7,38.48172,-90.83548
8,38.48171,-90.83585
9,38.48125,-90.83938
10,38.48059,-90.84291
11,38.48059,-90.84352
12,38.48069,-90.8442
13,38.4815,-90.84776
14,38.48156,-90.84851
15,38.48143,-90.84924
16,38.48121,-90.84982
17,38.48078,-90.85044
18,38.48013,-90.85094
19,38.47692,-90.85158
20,38.47633,-90.85185
21,38.47581,-90.85227
22,38.4751,-90.85314
23,38.47397,-90.85573
24,38.47365,-90.85616
25,38.47319,-90.8565
26,38.4703,-90.85711
27,38.46967,-90.85749
28,38.46778,-90.85886
29,38.46702,-90.85978
30,38.46662,-90.86085
31,38.4665,-90.86165
32,38.46624,-90.8647
33,38.46608,-90.86531
34,38.46222,-90.87342
35,38.45761,-90.88144
36,38.45741,-90.88217
37,38.45732,-90.88275
38,38.45775,-90.88756
39,38.45769,-90.88817
40,38.45749,-90.88872
41,38.45722,-90.88912
42,38.45687,-90.88944
43,38.45513,-90.89063
44,38.4546,-90.89129
45,38.4542,-90.89219
46,38.45257,-90.89986
47,38.4523,-90.90069
48,38.45009,-90.90516
49,38.44973,-90.9056
50,38.44932,-90.90584
51,38.44716,-90.90655
52,38.44637,-90.90664
53,38.44216,-90.90679
54,38.44164,-90.90698
55,38.44121,-90.90731
56,38.44082,-90.90781
57,38.43883,-90.9109
58,38.43778,-90.91255
59,38.43696,-90.91323
60,38.4363,-90.91364
61,38.43519,-90.9142
62,38.43499,-90.91427
63,38.43417,-90.91443
64,38.43382,-90.91446
65,38.4297,-90.91448
66,38.42925,-90.91455
67,38.42871,-90.91472
68,38.42832,-90.91489
69,38.42574,-90.91627
70,38.42442,-90.91699
71,38.42408,-90.91721
72,38.42389,-90.91737
73,38.41809,-90.92304
74,38.41738,-90.92367
75,38.41633,-90.92445
76,38.41531,-90.92509
77,38.41469,-90.92545
78,38.41374,-90.92589
79,38.4129,-90.9262
