,Latitude,Longitude
0,37.7518,-92.31281
1,37.75187,-92.31364
2,37.7518,-92.31444
3,37.75172,-92.31497
4,37.75143,-92.31587
5,37.74609,-92.32653
6,37.74577,-92.3273
7,37.74375,-92.33552
8,37.74366,-92.33676
9,37.74373,-92.33766
10,37.74441,-92.34159
11,37.74441,-92.34241
12,37.74431,-92.34305
13,37.74278,-92.34805
14,37.74264,-92.34902
15,37.74275,-92.35011
16,37.74293,-92.35088
17,37.74405,-92.35425
18,37.74566,-92.35779
19,37.74626,-92.35861
20,37.74997,-92.36208
21,37.75055,-92.36299
22,37.75092,-92.36395
23,37.75218,-92.37017
24,37.75267,-92.37137
25,37.75332,-92.37245
26,37.75398,-92.37313
27,37.75464,-92.37365
28,37.7554,-92.37406
29,37.75618,-92.37427
30,37.75751,-92.37442
31,37.75834,-92.37477
32,37.75896,-92.37537
33,37.76433,-92.38135
34,37.76505,-92.38234
35,37.76544,-92.38329
36,37.76567,-92.38403
37,37.76626,-92.38656
38,37.76631,-92.38735
39,37.76621,-92.38824
40,37.76601,-92.38901
41,37.76415,-92.3929
42,37.76393,-92.39382
43,37.76386,-92.39497
44,37.76404,-92.39617
45,37.76448,-92.39756
46,37.76692,-92.40206
47,37.76716,-92.40285
48,37.76728,-92.4037
49,37.76699,-92.41007
50,37.76709,-92.41135
51,37.76737,-92.41401
52,37.76733,-92.4145
53,37.7671,-92.4178
54,37.76667,-92.41972
55,37.7666,-92.42051
56,37.76673,-92.42145
57,37.7675,-92.42478
58,37.76812,-92.43016
59,37.76829,-92.43277
60,37.76823,-92.43365
61,37.76709,-92.43743
62,37.76344,-92.44387
63,37.76198,-92.44781
64,37.76169,-92.44846
65,37.7582,-92.45316
66,37.75779,-92.45417
67,37.75774,-92.45513
68,37.75851,-92.45922
69,37.75882,-92.46355
70,37.75881,-92.46409
71,37.75826,-92.46737
72,37.75844,-92.47189
73,37.75845,-92.47264
74,37.75829,-92.4735
75,37.75478,-92.48623
76,37.75438,-92.48728
77,37.7541,-92.48776
78,37.75356,-92.48853
79,37.75306,-92.48884
80,37.75275,-92.48929
81,37.75245,-92.49017
82,37.75231,-92.49098
83,37.7523,-92.49391
84,37.75244,-92.49666
85,37.75241,-92.49732
86,37.75222,-92.49879
87,37.75224,-92.49953
88,37.75234,-92.50034
89,37.75273,-92.50226
90,37.75323,-92.50394
91,37.75399,-92.50591
92,37.75422,-92.5069
93,37.75493,-92.51387
94,37.75519,-92.51469
95,37.75554,-92.51539
96,37.75619,-92.5162
97,37.75786,-92.5175
98,37.75826,-92.51818
99,37.75851,-92.5188
100,37.75861,-92.51948
101,37.75861,-92.52017
102,37.75852,-92.52079
103,37.75778,-92.5225
104,37.75753,-92.5232
105,37.75605,-92.53202
106,37.75591,-92.53255
107,37.75568,-92.5332
108,37.75533,-92.53384
109,37.75481,-92.53461
110,37.7545,-92.53519
111,37.75424,-92.53606
112,37.7538,-92.53869
113,37.75361,-92.53943
114,37.75257,-92.54276
115,37.75246,-92.5434
116,37.75245,-92.54618
117,37.75309,-92.55616
118,37.75306,-92.5569
119,37.75294,-92.55768
120,37.75165,-92.56326
121,37.75093,-92.56574
122,37.7508,-92.56636
123,37.75054,-92.56985
124,37.7504,-92.57058
125,37.75021,-92.57115
126,37.7484,-92.57443
127,37.74812,-92.57511
128,37.7474,-92.57732
129,37.74715,-92.578
130,37.7467,-92.57882
131,37.74596,-92.57988
132,37.74234,-92.58397
133,37.74168,-92.58473
134,37.74004,-92.58732
135,37.73785,-92.59149
136,37.73624,-92.59461
137,37.7358,-92.59541
138,37.73003,-92.60174
139,37.72949,-92.60227
140,37.72909,-92.60261
141,37.71488,-92.61256
142,37.71434,-92.61297
143,37.70993,-92.61732
144,37.70416,-92.62179
145,37.69694,-92.62766
146,37.69224,-92.6317
147,37.69183,-92.6323
148,37.68436,-92.64307
149,37.68398,-92.64383
150,37.68382,-92.64436
151,37.68377,-92.64481
152,37.6838,-92.64873
153,37.68374,-92.64918
154,37.68354,-92.64971
155,37.67637,-92.65844
156,37.676,-92.65876
157,37.67534,-92.65919
158,37.67501,-92.65948
159,37.66887,-92.66701
160,37.66849,-92.66735
161,37.66814,-92.66751
162,37.66771,-92.66758
163,37.65079,-92.66767
164,37.64893,-92.66799
165,37.64838,-92.66816
166,37.64772,-92.66873
167,37.64586,-92.67047
168,37.64022,-92.6755
169,37.63962,-92.67622
170,37.63377,-92.6844
171,37.63348,-92.68479
172,37.63306,-92.68521
173,37.62744,-92.6895
174,37.62132,-92.6931
175,37.61737,-92.69494
176,37.61663,-92.69536
177,37.61603,-92.69583
178,37.61535,-92.69642
179,37.60654,-92.70589
180,37.60375,-92.70894
181,37.60333,-92.70952
182,37.60196,-92.71198
183,37.59784,-92.71931
184,37.59136,-92.73113
185,37.59118,-92.73161
186,37.58869,-92.74021
187,37.58849,-92.74067
188,37.5821,-92.75004
189,37.57475,-92.76378
190,37.57342,-92.76605
191,37.5674,-92.77545
192,37.56618,-92.77755
193,37.5652,-92.77984
194,37.56457,-92.78184
195,37.56364,-92.78615
196,37.56343,-92.78677
197,37.56311,-92.78733
198,37.55682,-92.79471
199,37.55376,-92.79815
200,37.54831,-92.80392
201,37.54773,-92.80458
202,37.54096,-92.81439
203,37.54047,-92.81492
204,37.53817,-92.81691
205,37.53751,-92.81757
206,37.5359,-92.81996
207,37.53569,-92.82021
208,37.53236,-92.82347
209,37.53216,-92.82364
210,37.53195,-92.82376
211,37.53177,-92.82378
212,37.51986,-92.82366
213,37.51259,-92.82391
214,37.5121,-92.82387
215,37.51104,-92.82401
216,37.5103,-92.82424
217,37.51012,-92.82435
218,37.50922,-92.82469
219,37.50869,-92.82484
220,37.50597,-92.8259
221,37.50206,-92.826
222,37.50138,-92.82619
223,37.48756,-92.83296
224,37.487,-92.83315
225,37.48014,-92.83438
226,37.47923,-92.83438
227,37.47302,-92.8339
228,37.4636,-92.83414
229,37.46312,-92.83427
230,37.45972,-92.83641
231,37.45851,-92.83747
232,37.45316,-92.84296
233,37.4506,-92.84525
234,37.45009,-92.84555
235,37.44965,-92.84555
236,37.44636,-92.84495
237,37.44551,-92.84461
238,37.44452,-92.84403
239,37.44411,-92.84392
240,37.44374,-92.84386
241,37.39404,-92.84511
242,37.39342,-92.84526
243,37.39056,-92.84691
244,37.39015,-92.84737
245,37.38841,-92.85181
246,37.38809,-92.85245
247,37.38758,-92.85314
248,37.38712,-92.85357
249,37.38638,-92.85391
250,37.3857,-92.85406
251,37.38091,-92.85404
252,37.38043,-92.85425
253,37.37994,-92.85473
254,37.37762,-92.85942
255,37.37716,-92.86033
256,37.37397,-92.86367
257,37.37341,-92.86404
258,37.37269,-92.86415
259,37.37208,-92.86445
260,37.36867,-92.86827
261,37.36848,-92.86865
262,37.36566,-92.88041
263,37.36546,-92.8809
264,37.36519,-92.88132
265,37.36134,-92.88349
266,37.36018,-92.88484
267,37.35423,-92.89304
268,37.35392,-92.8934
269,37.3529,-92.89677
270,37.35264,-92.8971
271,37.34812,-92.90235
272,37.34787,-92.90298
273,37.34781,-92.9037
274,37.34817,-92.90971
275,37.34812,-92.91036
276,37.34795,-92.91089
277,37.34761,-92.91141
278,37.3427,-92.91527
279,37.34219,-92.91555
280,37.33845,-92.91697
281,37.33807,-92.91735
282,37.33757,-92.91835
283,37.3352,-92.92346
284,37.3304,-92.93916
285,37.32412,-92.95023
286,37.31892,-92.96086
287,37.31853,-92.96131
288,37.30957,-92.9708
289,37.30935,-92.97125
290,37.30919,-92.97198
291,37.30899,-92.97239
292,37.306,-92.97608
293,37.30587,-92.97659
294,37.30583,-92.97721
295,37.30571,-92.97777
296,37.30367,-92.98211
297,37.30285,-92.98478
298,37.30236,-92.98762
299,37.30223,-92.99067
300,37.30216,-92.99279
301,37.30225,-92.99341
302,37.30218,-92.99386
303,37.3018,-92.99476
304,37.30139,-92.99556
305,37.30101,-92.99605
306,37.30061,-92.99637
307,37.29973,-92.9967
308,37.29927,-92.99715
309,37.299,-92.99773
310,37.29851,-93.00041
311,37.29856,-93.00116
312,37.29931,-93.00412
313,37.29973,-93.00502
314,37.30006,-93.00639
315,37.30018,-93.00865
316,37.30009,-93.00942
317,37.29932,-93.01251
318,37.2991,-93.013
319,37.28348,-93.04133
320,37.2829,-93.04201
321,37.28193,-93.04289
322,37.28111,-93.04328
323,37.28039,-93.04354
324,37.27759,-93.0442
325,37.27653,-93.04472
326,37.27556,-93.04555
327,37.27467,-93.04682
328,37.27421,-93.04802
329,37.26998,-93.06918
330,37.26993,-93.06995
331,37.27051,-93.09941
332,37.27042,-93.10104
333,37.26697,-93.12953
334,37.26321,-93.1418
335,37.26243,-93.14369
336,37.25536,-93.15721
337,37.24764,-93.17747
338,37.24729,-93.17936
339,37.24719,-93.18073
340,37.24747,-93.18571
341,37.24743,-93.18747
342,37.24706,-93.18948
343,37.24641,-93.19137
344,37.24502,-93.1938
345,37.24413,-93.19487
346,37.24061,-93.1977
347,37.23935,-93.19959
348,37.2386,-93.20131
349,37.23826,-93.2029
350,37.23994,-93.25737
351,37.23997,-93.25811
