,Latitude,Longitude
0,38.61875,-90.20173
1,38.62825,-90.24761
2,38.62536,-90.26832
3,38.62436,-90.27165
4,38.62201,-90.2916
5,38.61618,-90.31027
6,38.61561,-90.31151
7,38.6142,-90.31375
8,38.61224,-90.32115
9,38.61222,-90.32196
10,38.61363,-90.33076
11,38.61353,-90.33181
12,38.61323,-90.33269
13,38.61277,-90.33368
14,38.61214,-90.33473
15,38.61185,-90.3355
16,38.6118,-90.33638
17,38.61177,-90.33954
18,38.61189,-90.34059
19,38.6122,-90.34237
20,38.61234,-90.34381
21,38.61259,-90.34771
22,38.61254,-90.35413
23,38.61239,-90.35497
24,38.61076,-90.36014
25,38.60955,-90.36303
26,38.60811,-90.36988
27,38.60716,-90.37297
28,38.60498,-90.37866
29,38.60288,-90.38629
30,38.60241,-90.38874
31,38.60078,-90.39432
32,38.60053,-90.40361
33,38.59879,-90.41543
34,38.59879,-90.4167
35,38.59942,-90.42457
36,38.59958,-90.42533
37,38.60353,-90.44295
38,38.60363,-90.4467
39,38.60337,-90.44834
40,38.60162,-90.45334
41,38.6015,-90.45424
42,38.60147,-90.45516
43,38.60159,-90.45595
44,38.60231,-90.45838
45,38.60254,-90.4605
46,38.60249,-90.46207
47,38.60206,-90.46404
48,38.6001,-90.4675
49,38.59954,-90.46821
50,38.59828,-90.46949
51,38.59746,-90.47039
52,38.59701,-90.47172
53,38.596,-90.47945
54,38.59661,-90.48514
55,38.59661,-90.48617
56,38.59647,-90.4873
57,38.59265,-90.50123
58,38.5926,-90.50249
59,38.59324,-90.51947
60,38.59297,-90.52704
61,38.5926,-90.58749
62,38.587,-90.60877
63,38.58638,-90.61026
64,38.58294,-90.61637
65,38.58242,-90.61798
66,38.58212,-90.61993
67,38.5829,-90.63199
68,38.58545,-90.6527
69,38.587,-90.67602
70,38.58678,-90.6778
71,38.58618,-90.67961
72,38.58567,-90.68044
73,38.58183,-90.68456
74,38.58111,-90.6851
75,38.58042,-90.6854
76,38.57502,-90.68641
77,38.56673,-90.6878
78,38.56524,-90.68838
79,38.56423,-90.68911
80,38.55257,-90.69793
81,38.55155,-90.69915
82,38.55098,-90.70044
83,38.55069,-90.70186
84,38.54997,-90.70733
85,38.54964,-90.70945
86,38.5491,-90.71106
87,38.54848,-90.71214
88,38.54084,-90.71999
89,38.53975,-90.72158
90,38.53858,-90.72347
91,38.53755,-90.72548
92,38.53599,-90.72966
93,38.53528,-90.73257
94,38.53351,-90.74305
95,38.5334,-90.74498
96,38.53344,-90.74933
97,38.53334,-90.7509
98,38.53277,-90.75289
99,38.53136,-90.755
100,38.52981,-90.75646
101,38.52936,-90.75661
102,38.52879,-90.75656
103,38.52535,-90.75592
104,38.52471,-90.75603
105,38.52421,-90.7565
106,38.52382,-90.75719
107,38.52363,-90.7588
108,38.52347,-90.75942
109,38.52305,-90.76
110,38.52238,-90.76073
111,38.52165,-90.7609
112,38.52107,-90.76066
113,38.52039,-90.76025
114,38.51986,-90.76023
115,38.51915,-90.76049
116,38.51863,-90.76098
117,38.51656,-90.7657
118,38.51641,-90.76641
119,38.51636,-90.76708
120,38.51617,-90.76774
121,38.51579,-90.7683
122,38.51498,-90.76884
123,38.51443,-90.76946
124,38.51389,-90.77049
125,38.51377,-90.77094
126,38.51374,-90.7715
127,38.51357,-90.77212
128,38.51288,-90.77324
129,38.51211,-90.77618
130,38.51211,-90.77701
131,38.51221,-90.77785
132,38.51216,-90.77845
133,38.51196,-90.77901
134,38.51078,-90.78049
135,38.50978,-90.78276
136,38.50969,-90.78356
137,38.50971,-90.78484
138,38.50952,-90.78545
139,38.50902,-90.7862
140,38.50784,-90.78772
141,38.50754,-90.78864
142,38.50746,-90.79004
143,38.50736,-90.79064
144,38.50575,-90.79349
145,38.50538,-90.79386
146,38.50455,-90.79431
147,38.50398,-90.79469
148,38.50255,-90.7963
149,38.5023,-90.79693
150,38.502,-90.7989
151,38.50166,-90.79965
152,38.49913,-90.80313
153,38.49884,-90.80381
154,38.49772,-90.80819
155,38.49701,-90.8098
156,38.49611,-90.81132
157,38.49575,-90.8116
158,38.49297,-90.81319
159,38.48685,-90.82027
160,38.48558,-90.82171
161,38.48467,-90.82235
162,38.48435,-90.82254
163,38.48405,-90.82262
164,38.48297,-90.82265
