,Latitude,Longitude
0,35.16137,-114.07489
1,35.16019,-114.07924
2,35.15843,-114.08289
3,35.15629,-114.08637
4,35.15543,-114.08751
5,35.15333,-114.09002
6,35.14922,-114.09394
7,35.14501,-114.09686
8,35.14405,-114.09793
9,35.14362,-114.09869
10,35.13806,-114.10941
11,35.12246,-114.13441
12,35.1216,-114.13561
13,35.11965,-114.1372
14,35.11892,-114.138
15,35.11016,-114.14885
16,35.10711,-114.15271
17,35.10472,-114.1564
18,35.10065,-114.16464
19,35.09685,-114.16928
20,35.0932,-114.1755
21,35.09043,-114.18073
22,35.09008,-114.18211
23,35.08973,-114.18395
24,35.0893,-114.18507
25,35.05025,-114.24798
26,35.04888,-114.2497
27,35.04522,-114.25219
28,35.04424,-114.25326
29,35.04318,-114.25472
30,35.03289,-114.2745
31,35.03187,-114.27596
32,35.03078,-114.27682
33,35.02878,-114.27764
34,35.02793,-114.27832
35,35.02723,-114.27935
36,35.02702,-114.28026
37,35.02526,-114.30253
38,35.02537,-114.30403
39,35.02579,-114.30527
40,35.02728,-114.30881
41,35.02739,-114.30923
42,35.0275,-114.30988
43,35.02761,-114.3102
44,35.02776,-114.31043
45,35.02815,-114.31078
46,35.02857,-114.3116
47,35.02879,-114.31263
48,35.02895,-114.31308
49,35.02928,-114.3139
50,35.02938,-114.31428
51,35.02945,-114.31469
52,35.02967,-114.31545
53,35.03003,-114.31629
54,35.03065,-114.31852
55,35.03065,-114.31888
56,35.03054,-114.31949
57,35.03056,-114.31998
58,35.03066,-114.3204
59,35.03081,-114.32054
60,35.03099,-114.32054
61,35.03139,-114.32029
62,35.03155,-114.32033
63,35.03171,-114.3205
64,35.03196,-114.32104
65,35.03209,-114.32171
66,35.03209,-114.32203
67,35.03191,-114.32276
68,35.03189,-114.32304
69,35.03201,-114.32329
70,35.03276,-114.32381
71,35.03291,-114.32404
72,35.03294,-114.3243
73,35.03288,-114.32469
74,35.03292,-114.32495
75,35.03347,-114.32603
76,35.03474,-114.32758
77,35.03492,-114.32781
78,35.03509,-114.32788
79,35.03536,-114.32783
80,35.03553,-114.32793
81,35.03563,-114.32815
82,35.03565,-114.32904
83,35.03573,-114.32942
84,35.03577,-114.32974
85,35.03584,-114.32994
86,35.03594,-114.33008
87,35.03602,-114.33048
88,35.03636,-114.3317
89,35.03644,-114.33204
90,35.03657,-114.33249
91,35.03657,-114.33272
92,35.03652,-114.33313
93,35.03636,-114.33361
94,35.03606,-114.3342
95,35.03596,-114.33467
96,35.03603,-114.33497
97,35.03622,-114.33519
98,35.03673,-114.33562
99,35.03697,-114.33575
100,35.03709,-114.33592
101,35.0372,-114.33622
102,35.03733,-114.33659
103,35.03745,-114.33677
104,35.03751,-114.33698
105,35.03754,-114.33755
106,35.03773,-114.3384
107,35.03775,-114.33869
108,35.03766,-114.33894
109,35.03748,-114.33924
110,35.03741,-114.33955
111,35.03724,-114.34081
112,35.03708,-114.34161
113,35.03705,-114.34206
114,35.03712,-114.34232
115,35.03729,-114.34248
116,35.03747,-114.34254
117,35.0378,-114.34246
118,35.03798,-114.34258
119,35.03806,-114.34279
120,35.038,-114.34302
121,35.03763,-114.34434
122,35.03749,-114.34451
123,35.03733,-114.34457
124,35.03717,-114.3446
125,35.03702,-114.34478
126,35.03697,-114.34496
127,35.03704,-114.34527
128,35.03713,-114.34557
129,35.03718,-114.34581
130,35.03717,-114.34617
131,35.03726,-114.34641
132,35.03738,-114.34656
133,35.03755,-114.34665
134,35.03794,-114.34683
135,35.03813,-114.34702
136,35.03833,-114.34766
137,35.03839,-114.34791
138,35.03836,-114.34809
139,35.03826,-114.3483
140,35.03799,-114.34868
141,35.03788,-114.34877
142,35.03775,-114.34879
143,35.03743,-114.34881
144,35.0373,-114.34887
145,35.03725,-114.34897
146,35.03726,-114.34908
147,35.03733,-114.34914
148,35.03762,-114.34927
149,35.03773,-114.34941
150,35.03783,-114.34964
151,35.03797,-114.3499
152,35.03815,-114.35011
153,35.03824,-114.35029
154,35.0383,-114.35054
155,35.03828,-114.35073
156,35.03813,-114.35115
157,35.0382,-114.35173
158,35.03817,-114.35214
159,35.03802,-114.35243
160,35.0376,-114.35296
161,35.03734,-114.35316
162,35.03727,-114.35338
163,35.03737,-114.35359
164,35.03757,-114.35364
165,35.03793,-114.35326
166,35.0382,-114.35316
167,35.03844,-114.35323
168,35.03896,-114.35382
169,35.03895,-114.35414
170,35.03881,-114.35434
171,35.03845,-114.35444
172,35.03826,-114.35457
173,35.03817,-114.35479
174,35.03826,-114.35523
175,35.0385,-114.3557
176,35.03868,-114.35616
177,35.03879,-114.35628
178,35.03894,-114.35627
179,35.0391,-114.35599
180,35.03934,-114.3559
181,35.03966,-114.35601
182,35.03993,-114.35649
183,35.04002,-114.35682
184,35.04042,-114.35722
185,35.0406,-114.35728
186,35.04075,-114.35718
187,35.04102,-114.35634
188,35.04119,-114.35611
189,35.04135,-114.35609
190,35.04197,-114.35632
191,35.04233,-114.3566
192,35.04278,-114.35731
193,35.04292,-114.35778
194,35.04295,-114.35836
195,35.04304,-114.35865
196,35.0432,-114.35879
197,35.04363,-114.35894
198,35.04377,-114.35907
199,35.04399,-114.35987
200,35.04414,-114.36025
201,35.04435,-114.3604
202,35.04456,-114.36032
203,35.04512,-114.36006
204,35.04535,-114.36007
205,35.04555,-114.36023
206,35.04575,-114.36051
207,35.0467,-114.36121
208,35.04684,-114.36137
209,35.04689,-114.36159
210,35.04686,-114.36207
211,35.04695,-114.36237
212,35.04718,-114.36287
213,35.04721,-114.36306
214,35.04707,-114.3632
215,35.04693,-114.36306
216,35.04681,-114.36287
217,35.04608,-114.36231
218,35.04588,-114.36227
219,35.04572,-114.36236
220,35.04568,-114.36267
221,35.04574,-114.36301
222,35.04586,-114.3633
223,35.04585,-114.36357
224,35.04575,-114.36394
225,35.04543,-114.36445
226,35.04522,-114.36462
227,35.04503,-114.3647
228,35.04443,-114.36619
229,35.04438,-114.36699
230,35.04434,-114.36735
231,35.0441,-114.36805
232,35.04394,-114.36823
233,35.04365,-114.36824
234,35.04339,-114.36817
235,35.04319,-114.36826
236,35.0431,-114.36845
237,35.0429,-114.36895
238,35.04273,-114.36919
239,35.04254,-114.36939
240,35.04242,-114.36978
241,35.04217,-114.3703
242,35.04154,-114.37117
243,35.04133,-114.37182
244,35.04124,-114.37199
245,35.04108,-114.37202
246,35.04092,-114.37204
247,35.04082,-114.37216
248,35.04079,-114.37234
249,35.04077,-114.3726
250,35.04065,-114.37293
251,35.04064,-114.37313
252,35.04075,-114.37344
253,35.0411,-114.37412
254,35.04125,-114.3743
255,35.0414,-114.37442
256,35.04172,-114.37456
257,35.04204,-114.37475
258,35.04227,-114.37498
259,35.04245,-114.37533
260,35.04248,-114.37552
261,35.04246,-114.37574
262,35.04252,-114.37582
263,35.04261,-114.37581
264,35.04265,-114.3757
265,35.04262,-114.37531
266,35.04234,-114.37449
267,35.04232,-114.37423
268,35.0424,-114.37407
269,35.04255,-114.37404
270,35.04266,-114.37412
271,35.0427,-114.37427
272,35.04267,-114.37456
273,35.04273,-114.37476
274,35.04293,-114.37499
275,35.04313,-114.37513
276,35.04354,-114.3753
277,35.0437,-114.37537
278,35.04378,-114.37549
279,35.04381,-114.37564
280,35.04385,-114.37594
281,35.04412,-114.37663
282,35.04425,-114.3768
283,35.04442,-114.37683
284,35.04464,-114.37674
285,35.04486,-114.37662
286,35.04505,-114.37665
287,35.04526,-114.37684
288,35.04543,-114.37705
289,35.04548,-114.37727
290,35.04542,-114.37752
291,35.04521,-114.37796
292,35.04517,-114.37821
293,35.0452,-114.37841
294,35.0453,-114.37851
295,35.04566,-114.37871
296,35.0458,-114.37892
297,35.04588,-114.37915
298,35.04586,-114.37939
299,35.04577,-114.37962
300,35.04565,-114.3797
301,35.04541,-114.37973
302,35.04528,-114.37988
303,35.04523,-114.38007
304,35.0453,-114.38024
305,35.04556,-114.38052
306,35.04564,-114.3807
307,35.04565,-114.38147
308,35.04569,-114.38192
309,35.04577,-114.38208
310,35.04604,-114.38224
311,35.04613,-114.38239
312,35.04633,-114.38293
313,35.04635,-114.38313
314,35.0463,-114.3833
315,35.04596,-114.38393
316,35.04582,-114.38406
317,35.04567,-114.38414
318,35.04477,-114.38423
319,35.04458,-114.38432
320,35.04401,-114.38481
321,35.04393,-114.38498
322,35.04395,-114.38521
323,35.04405,-114.38536
324,35.04461,-114.38612
325,35.04466,-114.38635
326,35.04465,-114.38651
327,35.04454,-114.38665
328,35.04438,-114.38674
329,35.04414,-114.38684
330,35.04397,-114.387
331,35.04379,-114.3873
332,35.04369,-114.38773
333,35.0436,-114.38794
334,35.04342,-114.38816
335,35.04306,-114.38843
336,35.04242,-114.38871
337,35.04227,-114.38883
338,35.04219,-114.38902
339,35.0422,-114.3892
340,35.04228,-114.3893
341,35.04275,-114.3897
342,35.04312,-114.39021
343,35.04323,-114.3904
344,35.04333,-114.39051
345,35.04369,-114.39075
346,35.04381,-114.39093
347,35.04395,-114.39133
348,35.04399,-114.39163
349,35.04393,-114.39184
350,35.04381,-114.39197
351,35.04312,-114.39206
352,35.04297,-114.39201
353,35.04271,-114.39187
354,35.0425,-114.39187
355,35.04187,-114.39177
356,35.04171,-114.39177
357,35.04158,-114.39184
358,35.04133,-114.39204
359,35.04114,-114.39211
360,35.04084,-114.39213
361,35.04062,-114.39227
362,35.04006,-114.39266
363,35.03987,-114.39275
364,35.03964,-114.39281
365,35.03827,-114.39298
366,35.03799,-114.39308
367,35.03776,-114.39322
368,35.03758,-114.39339
369,35.03734,-114.39349
370,35.0368,-114.39362
371,35.03657,-114.3936
372,35.03636,-114.39349
373,35.03598,-114.39312
374,35.0357,-114.39296
375,35.03384,-114.39203
376,35.03367,-114.39189
377,35.03356,-114.39176
378,35.03339,-114.39149
379,35.03323,-114.39129
380,35.03251,-114.39058
381,35.03238,-114.39039
382,35.03225,-114.38992
383,35.03157,-114.38886
384,35.03111,-114.38838
385,35.03068,-114.38811
386,35.03014,-114.38792
387,35.02987,-114.38765
388,35.02892,-114.3861
389,35.02863,-114.38574
390,35.02833,-114.38561
391,35.02747,-114.38527
392,35.02719,-114.38508
393,35.02703,-114.38477
394,35.02684,-114.38418
395,35.02667,-114.38396
396,35.02615,-114.38343
397,35.0256,-114.38274
398,35.02543,-114.38267
399,35.02436,-114.38243
400,35.02346,-114.3826
401,35.02296,-114.38266
402,35.02242,-114.38265
403,35.02208,-114.3827
404,35.02161,-114.38287
405,35.02137,-114.38303
406,35.02059,-114.38337
407,35.01977,-114.384
408,35.01923,-114.38434
409,35.01761,-114.38515
410,35.01697,-114.38568
411,35.01626,-114.38633
412,35.01574,-114.38668
413,35.0153,-114.38697
414,35.01383,-114.38761
415,35.01347,-114.38785
416,35.01226,-114.38896
417,35.01193,-114.38926
418,35.01162,-114.38972
419,35.01132,-114.39003
420,35.01049,-114.39059
421,35.00923,-114.39135
422,35.00858,-114.39167
423,35.00832,-114.3919
424,35.00815,-114.3922
425,35.00796,-114.39272
426,35.00755,-114.39332
427,35.00715,-114.39381
428,35.00682,-114.39405
429,35.006,-114.39452
430,35.0056,-114.39491
431,35.00538,-114.39547
432,35.00522,-114.39641
433,35.00517,-114.39712
434,35.00505,-114.39766
435,35.00462,-114.39875
436,35.00397,-114.3999
437,35.00271,-114.40283
438,35.00213,-114.40397
439,35.00089,-114.40603
440,34.99957,-114.40789
441,34.99837,-114.41036
442,34.99806,-114.41081
443,34.99758,-114.41124
444,34.99698,-114.4116
445,34.99654,-114.41203
446,34.99512,-114.41394
447,34.99444,-114.41454
448,34.99291,-114.41534
449,34.99248,-114.41585
450,34.99206,-114.41656
451,34.99169,-114.41701
452,34.99052,-114.41776
453,34.98983,-114.41845
454,34.98941,-114.41899
455,34.9874,-114.42341
456,34.98712,-114.42386
457,34.98674,-114.42411
458,34.9863,-114.42407
459,34.986,-114.42416
460,34.98582,-114.42439
461,34.98561,-114.42476
462,34.98514,-114.42512
463,34.9848,-114.42514
464,34.98398,-114.42446
465,34.98362,-114.42429
466,34.9829,-114.42431
467,34.98255,-114.42411
468,34.98199,-114.42405
469,34.9816,-114.42392
470,34.98093,-114.4239
471,34.9806,-114.42375
472,34.97965,-114.42253
473,34.97826,-114.42075
474,34.97722,-114.41984
475,34.97499,-114.41847
476,34.97466,-114.41839
477,34.97402,-114.41843
478,34.97376,-114.41823
479,34.97364,-114.41787
480,34.97355,-114.41611
481,34.97341,-114.41568
482,34.973,-114.41527
483,34.97258,-114.41519
484,34.97067,-114.4151
485,34.97017,-114.41495
486,34.96938,-114.41429
487,34.96859,-114.41394
488,34.96813,-114.41364
489,34.96725,-114.41274
490,34.96689,-114.41251
491,34.9653,-114.41167
492,34.96478,-114.41124
493,34.96439,-114.41075
494,34.96377,-114.40978
495,34.96342,-114.40937
496,34.96307,-114.40916
497,34.96112,-114.40858
498,34.96066,-114.40862
499,34.96026,-114.40884
500,34.95874,-114.40984
501,34.95832,-114.40997
502,34.95793,-114.40989
503,34.95749,-114.40961
504,34.95716,-114.40959
505,34.95581,-114.40993
506,34.95438,-114.40991
507,34.95385,-114.41006
508,34.95345,-114.41027
509,34.95208,-114.41171
510,34.95097,-114.41281
511,34.95055,-114.41313
512,34.94722,-114.41476
513,34.9462,-114.41536
514,34.94525,-114.41577
515,34.94485,-114.4163
516,34.9445,-114.41673
517,34.94358,-114.41725
518,34.93118,-114.42336
519,34.93062,-114.42358
520,34.92955,-114.42364
521,34.92879,-114.42369
522,34.92335,-114.42525
523,34.92242,-114.42536
524,34.92163,-114.42544
525,34.92029,-114.4254
526,34.91985,-114.42542
527,34.91846,-114.42592
528,34.91695,-114.426
529,34.91489,-114.42628
530,34.90562,-114.42995
531,34.90511,-114.43004
532,34.90463,-114.4298
533,34.90356,-114.42817
534,34.9031,-114.42776
535,34.90254,-114.42757
536,34.90196,-114.42763
537,34.9003,-114.42793
538,34.89993,-114.42813
539,34.89925,-114.42888
540,34.89879,-114.42924
541,34.89787,-114.42974
542,34.89738,-114.43008
543,34.89548,-114.43154
544,34.89486,-114.43184
545,34.89298,-114.43235
546,34.89229,-114.43242
547,34.89182,-114.4327
548,34.89152,-114.43274
549,34.89112,-114.43242
550,34.89075,-114.4324
551,34.89041,-114.43261
552,34.89006,-114.43298
553,34.8898,-114.43313
554,34.87636,-114.4366
555,34.87563,-114.43686
556,34.87034,-114.43989
557,34.85827,-114.44544
558,34.85793,-114.44575
559,34.85759,-114.44725
560,34.85726,-114.44779
561,34.8568,-114.44817
562,34.85603,-114.44867
563,34.8533,-114.44991
564,34.85168,-114.45114
565,34.84981,-114.45251
566,34.84842,-114.45343
567,34.84747,-114.45388
568,34.84196,-114.45691
569,34.8412,-114.45738
570,34.83245,-114.46429
571,34.83193,-114.46459
572,34.83077,-114.46489
573,34.83042,-114.46519
574,34.82996,-114.46613
575,34.82968,-114.46646
576,34.82924,-114.46669
577,34.82307,-114.46671
578,34.82232,-114.46682
579,34.81686,-114.46813
580,34.81309,-114.46931
581,34.8127,-114.46955
582,34.81132,-114.47051
583,34.81073,-114.47086
584,34.81007,-114.47096
585,34.80577,-114.47088
586,34.80266,-114.47
587,34.802,-114.47
588,34.80123,-114.4701
589,34.79846,-114.47113
590,34.79786,-114.47159
591,34.79721,-114.47255
592,34.79696,-114.47364
593,34.79711,-114.47676
594,34.79704,-114.47749
595,34.79654,-114.47869
596,34.79593,-114.4795
597,34.79508,-114.48032
598,34.79434,-114.4806
599,34.79369,-114.48073
600,34.78341,-114.48135
601,34.78251,-114.48135
602,34.76709,-114.47794
603,34.76586,-114.47783
604,34.76455,-114.47774
605,34.75888,-114.47834
606,34.75831,-114.47857
607,34.7566,-114.47932
608,34.74765,-114.48184
609,34.74692,-114.48209
610,34.7462,-114.4827
611,34.74338,-114.48441
612,34.74267,-114.48471
613,34.74213,-114.48465
614,34.74117,-114.48407
615,34.7407,-114.48388
616,34.74013,-114.48383
617,34.73982,-114.4836
618,34.73853,-114.48257
619,34.73802,-114.48224
620,34.73759,-114.48209
621,34.73532,-114.48149
622,34.73467,-114.48117
623,34.73414,-114.48059
624,34.73373,-114.47969
625,34.7331,-114.47802
626,34.73271,-114.47761
627,34.73206,-114.47729
628,34.73119,-114.47712
629,34.7307,-114.47714
630,34.72209,-114.47815
631,34.72098,-114.4787
632,34.71991,-114.47954
633,34.71913,-114.48034
634,34.71871,-114.48128
635,34.71872,-114.48216
636,34.71876,-114.48304
637,34.71855,-114.48362
638,34.71825,-114.48403
639,34.71767,-114.48424
640,34.71737,-114.48473
