,Latitude,Longitude
0,41.8023,-87.82521
1,41.79997,-87.83002
2,41.79949,-87.83092
3,41.79909,-87.83154
4,41.78911,-87.84465
5,41.78556,-87.85235
6,41.78285,-87.85856
7,41.77853,-87.86817
8,41.76989,-87.88738
9,41.76818,-87.89167
10,41.76734,-87.89433
11,41.76394,-87.90025
12,41.76211,-87.90407
13,41.75845,-87.91201
14,41.756,-87.91746
15,41.75434,-87.92224
16,41.75171,-87.92832
17,41.75087,-87.93014
18,41.74843,-87.93486
19,41.74699,-87.93763
20,41.74656,-87.93844
21,41.74614,-87.939
22,41.74515,-87.94008
23,41.74324,-87.94158
24,41.74265,-87.94209
25,41.74219,-87.94274
26,41.7379,-87.95389
27,41.73577,-87.96012
28,41.735,-87.96248
29,41.7314,-87.97291
30,41.72677,-87.98645
31,41.72599,-87.98882
32,41.70443,-88.03066
33,41.69921,-88.04052
