,Latitude,Longitude
0,35.53448,-97.49574
1,35.53215,-97.49808
2,35.53078,-97.50057
3,35.52987,-97.5025
4,35.52876,-97.50332
5,35.52781,-97.50345
6,35.52415,-97.50297
7,35.52306,-97.50293
8,35.52083,-97.50319
9,35.49795,-97.50323
10,35.49709,-97.50368
11,35.4965,-97.50443
12,35.49597,-97.50497
13,35.4955,-97.50523
14,35.49428,-97.5054
15,35.49408,-97.50559
16,35.49403,-97.50602
17,35.49393,-97.50633
18,35.49369,-97.50647
19,35.49347,-97.50647
20,35.49335,-97.50667
21,35.49321,-97.50706
22,35.49312,-97.50785
23,35.49325,-97.52099
24,35.49325,-97.52991
25,35.49313,-97.56561
26,35.51132,-97.56565
27,35.5113,-97.57981
28,35.51125,-97.62749
29,35.51142,-97.62841
30,35.51488,-97.64491
31,35.5151,-97.64737
32,35.51469,-97.66071
33,35.51455,-97.67113
34,35.51436,-97.67203
35,35.51409,-97.67267
36,35.51366,-97.67316
37,35.51277,-97.67391
38,35.51242,-97.6746
39,35.51222,-97.6752
40,35.51215,-97.67587
41,35.51222,-97.69095
42,35.51211,-97.69165
43,35.5117,-97.69255
44,35.51128,-97.69307
45,35.51084,-97.69343
46,35.5104,-97.69368
47,35.50919,-97.6941
48,35.50886,-97.69441
49,35.50851,-97.6948
50,35.50817,-97.69535
51,35.50794,-97.696
52,35.50782,-97.69654
53,35.50787,-97.72328
54,35.50782,-97.72596
55,35.50777,-97.74096
56,35.50787,-97.7465
57,35.50794,-97.84904
58,35.50798,-97.9371
59,35.508,-97.9403
60,35.50824,-97.94181
61,35.50861,-97.94317
62,35.50958,-97.94495
63,35.51068,-97.94621
64,35.5116,-97.9469
65,35.52234,-97.95263
66,35.53137,-97.95269
67,35.53139,-97.9549
68,35.53228,-97.9549
69,35.53226,-97.9723
70,35.53231,-97.97331
71,35.5328,-97.97475
72,35.5334,-97.97563
73,35.53638,-97.97943
74,35.5367,-97.98012
75,35.53687,-97.98082
76,35.53705,-97.99005
77,35.53709,-98.0343
78,35.53686,-98.11419
