,Latitude,Longitude
0,34.14579,-118.14753
1,34.14577,-118.15047
2,34.10502,-118.15042
3,34.10449,-118.15077
4,34.10422,-118.15128
5,34.1041,-118.15242
6,34.10369,-118.15347
7,34.10317,-118.1542
8,34.10251,-118.15478
9,34.10179,-118.15512
10,34.10095,-118.15527
11,34.09797,-118.15536
12,34.0972,-118.15564
13,34.09663,-118.15613
14,34.09143,-118.16336
15,34.09032,-118.16516
16,34.08997,-118.166
17,34.08974,-118.16712
18,34.08931,-118.17019
19,34.08915,-118.17115
20,34.08551,-118.17952
21,34.08538,-118.18079
22,34.08567,-118.18246
23,34.08611,-118.18415
24,34.08618,-118.18546
25,34.08602,-118.18677
26,34.08563,-118.18791
27,34.08512,-118.18868
28,34.08078,-118.19291
29,34.08041,-118.19308
30,34.07865,-118.1934
31,34.07806,-118.19366
32,34.07397,-118.19645
33,34.07361,-118.21788
34,34.07164,-118.22247
35,34.07188,-118.22322
36,34.07201,-118.22494
