,Latitude,Longitude
0,37.85986,-92.03209
1,37.85939,-92.03328
2,37.85865,-92.03549
3,37.85709,-92.04031
4,37.85678,-92.04182
5,37.85651,-92.04349
6,37.85648,-92.045
7,37.8566,-92.04654
8,37.85728,-92.05324
9,37.85733,-92.055
10,37.85721,-92.05677
11,37.85692,-92.05846
12,37.85641,-92.06037
13,37.85579,-92.06196
14,37.85299,-92.06802
15,37.85241,-92.06907
16,37.85174,-92.06991
17,37.84572,-92.07482
18,37.84479,-92.07637
19,37.8443,-92.07781
20,37.84409,-92.0792
21,37.84403,-92.08083
22,37.84377,-92.08242
23,37.84306,-92.08421
24,37.8419,-92.08655
25,37.84009,-92.09176
26,37.83982,-92.09243
27,37.83934,-92.0932
28,37.83846,-92.09434
29,37.83651,-92.09636
30,37.83588,-92.09687
31,37.835,-92.09752
