,Latitude,Longitude
0,35.64008,-106.01624
1,35.63915,-106.01722
2,35.63814,-106.01794
3,35.61092,-106.03462
4,35.6086,-106.03662
5,35.60767,-106.03739
6,35.60598,-106.03911
7,35.60455,-106.04085
8,35.60326,-106.04269
9,35.59931,-106.04874
10,35.59155,-106.06043
11,35.58828,-106.06535
12,35.53869,-106.14024
13,35.53777,-106.14139
14,35.53717,-106.14174
15,35.53565,-106.14294
16,35.53433,-106.14596
17,35.53258,-106.1489
18,35.53153,-106.15038
19,35.53,-106.15176
20,35.52946,-106.15281
21,35.52919,-106.15326
22,35.52816,-106.15422
23,35.52712,-106.15545
24,35.52635,-106.15674
25,35.52575,-106.15807
26,35.52525,-106.15965
27,35.52488,-106.16043
28,35.52423,-106.16197
29,35.52231,-106.16493
30,35.5212,-106.1677
31,35.52083,-106.1698
32,35.52062,-106.17188
33,35.52168,-106.19148
34,35.52182,-106.19476
35,35.52174,-106.19712
36,35.52147,-106.20186
37,35.521,-106.20879
38,35.52074,-106.21083
39,35.52006,-106.21566
40,35.51934,-106.2183
41,35.51802,-106.22147
42,35.51704,-106.22353
43,35.51363,-106.22987
44,35.51334,-106.23057
45,35.50897,-106.23989
46,35.50832,-106.24113
47,35.50759,-106.24235
48,35.50696,-106.24332
49,35.50621,-106.24422
50,35.50397,-106.24693
51,35.48874,-106.26203
52,35.48692,-106.26452
53,35.4856,-106.2671
54,35.44687,-106.36108
55,35.44568,-106.3634
56,35.42575,-106.39052
57,35.42442,-106.39258
58,35.41302,-106.4137
59,35.41183,-106.41558
60,35.40784,-106.42039
61,35.40428,-106.42881
62,35.40413,-106.4295
63,35.40422,-106.4299
64,35.4042,-106.43016
65,35.40406,-106.43042
66,35.40377,-106.43077
67,35.40274,-106.43293
68,35.4026,-106.43379
69,35.40258,-106.43522
70,35.40249,-106.43559
71,35.40225,-106.43614
