,Latitude,Longitude
0,34.94959,-104.6388
1,34.94536,-104.66343
2,34.9452,-104.66481
3,34.94414,-104.68253
4,34.94402,-104.68347
5,34.94374,-104.68427
6,34.94015,-104.68983
7,34.93867,-104.69208
8,34.93837,-104.69281
9,34.93827,-104.69367
10,34.93828,-104.69452
11,34.93857,-104.69551
12,34.94361,-104.70515
13,34.94984,-104.71581
14,34.95549,-104.72547
15,34.959,-104.731
16,34.961,-104.7346
17,34.96228,-104.73757
18,34.96333,-104.74055
19,34.96413,-104.74334
20,34.96486,-104.74647
21,34.96566,-104.75439
22,34.966,-104.75902
23,34.96634,-104.76254
24,34.96649,-104.76329
25,34.96693,-104.76797
26,34.96707,-104.76872
27,34.96838,-104.77342
28,34.96862,-104.77475
29,34.96882,-104.77619
30,34.96896,-104.78417
31,34.96904,-104.78535
32,34.96929,-104.79503
33,34.96991,-104.8561
34,34.96998,-104.85867
35,34.97013,-104.86168
36,34.97031,-104.86515
37,34.97061,-104.87097
38,34.97304,-104.91618
39,34.97579,-104.9723
40,34.97658,-104.98712
41,34.97665,-104.98885
