,Latitude,Longitude
0,37.21224,-93.34917
1,37.21262,-93.38727
2,37.21377,-93.3907
3,37.21392,-93.39173
4,37.21406,-93.39909
5,37.21391,-93.39997
6,37.21314,-93.40184
7,37.21293,-93.40267
8,37.21339,-93.45198
9,37.21397,-93.47696
10,37.21377,-93.47803
11,37.2083,-93.48726
12,37.20779,-93.48885
13,37.20526,-93.50752
14,37.20451,-93.50936
15,37.2016,-93.51593
16,37.20123,-93.5173
17,37.20044,-93.52142
18,37.19299,-93.54151
19,37.19275,-93.54258
20,37.19295,-93.59863
21,37.19326,-93.62296
22,37.19343,-93.62802
23,37.19371,-93.64811
24,37.19432,-93.68471
25,37.19422,-93.68544
26,37.1935,-93.68686
27,37.18914,-93.69182
28,37.18861,-93.69271
29,37.18831,-93.69338
30,37.18735,-93.69784
31,37.18715,-93.69934
32,37.1871,-93.7009
33,37.18777,-93.74824
34,37.18821,-93.75618
35,37.18983,-93.90276
36,37.19024,-93.90748
37,37.19085,-93.94713
38,37.19297,-94.03708
39,37.19612,-94.15476
40,37.19796,-94.23621
41,37.19833,-94.26819
42,37.19806,-94.26861
43,37.19731,-94.26981
44,37.19326,-94.27721
45,37.18971,-94.28414
46,37.18931,-94.28496
47,37.18919,-94.28545
48,37.18921,-94.28609
49,37.18962,-94.29026
50,37.1896,-94.2905
51,37.18942,-94.29082
52,37.18919,-94.29105
53,37.18626,-94.29118
54,37.18597,-94.29138
55,37.18579,-94.2917
56,37.18578,-94.29203
57,37.18612,-94.29293
58,37.18618,-94.29324
59,37.18619,-94.29435
60,37.18615,-94.2947
61,37.18451,-94.29862
62,37.18416,-94.29954
63,37.18403,-94.29974
64,37.17875,-94.30375
65,37.17851,-94.30414
66,37.17845,-94.30456
67,37.17864,-94.31391
68,37.17638,-94.31395
69,37.17653,-94.34309
70,37.17366,-94.34848
71,37.17323,-94.35004
72,37.17315,-94.35168
73,37.17333,-94.3957
74,37.17254,-94.40205
75,37.17268,-94.40364
76,37.17285,-94.40626
77,37.17316,-94.40871
78,37.17313,-94.40935
79,37.17282,-94.40999
80,37.16953,-94.41368
81,37.168,-94.41527
82,37.16738,-94.41609
83,37.1667,-94.41746
84,37.16642,-94.41853
85,37.16655,-94.43646
86,37.16641,-94.43685
87,37.16607,-94.43711
88,37.14905,-94.43788
89,37.14936,-94.44937
90,37.14923,-94.44961
91,37.14903,-94.4497
92,37.14819,-94.44973
93,37.14794,-94.44986
94,37.14783,-94.4501
95,37.14722,-94.45779
96,37.14707,-94.45824
97,37.14664,-94.45898
98,37.14649,-94.45941
99,37.14643,-94.45988
100,37.14657,-94.46398
101,37.14606,-94.464
102,37.14632,-94.47454
103,37.13546,-94.47484
104,37.12629,-94.47552
105,37.11292,-94.47604
