,Latitude,Longitude
0,35.53686,-98.11419
1,35.57114,-98.11396
2,35.57257,-98.11439
3,35.57365,-98.11521
4,35.57595,-98.11757
5,35.57693,-98.11821
6,35.57847,-98.11864
7,35.60277,-98.11862
8,35.6031,-98.11909
9,35.60509,-98.12731
10,35.60563,-98.12868
11,35.62388,-98.20608
12,35.62388,-98.20709
13,35.62384,-98.31772
14,35.62094,-98.31772
15,35.6196,-98.31735
16,35.61876,-98.3169
17,35.61695,-98.31533
18,35.61582,-98.31381
19,35.61355,-98.30855
20,35.61299,-98.30774
21,35.61198,-98.30662
22,35.60423,-98.30128
23,35.603,-98.30079
24,35.6016,-98.30038
25,35.59576,-98.29951
26,35.59448,-98.29915
27,35.5881,-98.29685
28,35.5852,-98.29657
29,35.57853,-98.29528
30,35.5719,-98.29391
31,35.57144,-98.29395
32,35.57099,-98.29402
33,35.5694,-98.29475
34,35.56141,-98.30123
35,35.55956,-98.30241
36,35.55238,-98.3061
37,35.55177,-98.30657
38,35.55091,-98.30738
39,35.54998,-98.30858
