,Latitude,Longitude
0,35.67915,-97.09376
1,35.67429,-97.10967
2,35.6738,-97.11238
3,35.67371,-97.12373
4,35.67363,-97.1248
5,35.67328,-97.12577
6,35.67272,-97.1266
7,35.6722,-97.12705
8,35.67035,-97.12815
9,35.66928,-97.12911
10,35.66836,-97.13025
11,35.66747,-97.13177
12,35.66684,-97.13351
13,35.66655,-97.1354
14,35.66675,-97.18439
15,35.66709,-97.18944
16,35.66714,-97.19278
17,35.667,-97.19547
18,35.66655,-97.19987
19,35.66648,-97.20231
20,35.66646,-97.20396
21,35.66675,-97.20753
22,35.66679,-97.21001
23,35.66704,-97.24427
24,35.66701,-97.24492
25,35.6667,-97.24578
26,35.66638,-97.24633
27,35.66558,-97.24717
28,35.66356,-97.24876
29,35.663,-97.24959
30,35.66269,-97.25056
31,35.65978,-97.27662
32,35.65974,-97.28896
