,Latitude,Longitude
0,41.51517,-90.58169
1,41.51805,-90.58321
2,41.51851,-90.58341
3,41.51901,-90.58354
4,41.51952,-90.5836
5,41.51989,-90.58361
6,41.5202,-90.58359
7,41.52019,-90.57406
8,41.52024,-90.57131
9,41.52028,-90.57087
10,41.52055,-90.5697
11,41.52094,-90.56844
12,41.52123,-90.56765
13,41.5214,-90.56726
14,41.5216,-90.56691
15,41.5218,-90.56664
16,41.522,-90.56641
17,41.5222,-90.56613
18,41.52238,-90.5658
19,41.52313,-90.56423
20,41.52334,-90.56387
21,41.52396,-90.56312
22,41.52421,-90.56277
23,41.52564,-90.5606
24,41.52588,-90.56021
25,41.52613,-90.5597
26,41.5269,-90.55807
27,41.52701,-90.55776
28,41.52712,-90.55732
29,41.52795,-90.55336
30,41.52811,-90.55265
31,41.52869,-90.55035
32,41.52879,-90.55002
33,41.52895,-90.54962
34,41.52926,-90.5491
35,41.52946,-90.54866
36,41.52962,-90.54817
37,41.52991,-90.54715
38,41.53001,-90.54663
39,41.53006,-90.54613
40,41.53005,-90.54551
41,41.52997,-90.54391
42,41.52989,-90.54307
43,41.52975,-90.54219
44,41.5295,-90.54075
45,41.52935,-90.54002
46,41.52913,-90.53926
47,41.52884,-90.53849
48,41.52854,-90.53789
49,41.52821,-90.53731
50,41.52754,-90.53613
51,41.52726,-90.53553
52,41.52706,-90.53489
53,41.52692,-90.53421
54,41.52671,-90.53302
55,41.52562,-90.52591
56,41.52552,-90.52512
57,41.52547,-90.52449
58,41.52551,-90.52375
59,41.52562,-90.52227
60,41.52564,-90.51616
61,41.52572,-90.5086
62,41.52574,-90.50362
63,41.52591,-90.50165
64,41.52605,-90.50018
65,41.52605,-90.49923
66,41.52584,-90.49758
67,41.5258,-90.4969
68,41.5258,-90.49639
69,41.52587,-90.49576
70,41.52633,-90.49229
71,41.52645,-90.49159
72,41.52663,-90.49064
73,41.52777,-90.48501
74,41.52794,-90.48437
75,41.52811,-90.48381
76,41.52834,-90.48323
77,41.53103,-90.47772
78,41.53151,-90.4768
79,41.53188,-90.47616
80,41.53507,-90.47107
81,41.5402,-90.46294
82,41.54096,-90.46184
83,41.55367,-90.44388
84,41.55428,-90.44307
85,41.55497,-90.44224
86,41.55577,-90.44138
87,41.566,-90.43079
88,41.56654,-90.43014
89,41.56699,-90.42945
90,41.56736,-90.42872
91,41.56777,-90.42771
92,41.56802,-90.42677
93,41.57125,-90.41414
94,41.57156,-90.41311
95,41.57194,-90.41217
96,41.5723,-90.41141
97,41.57452,-90.40709
98,41.57494,-90.40637
99,41.5754,-90.40577
100,41.57586,-90.40527
101,41.57638,-90.40482
102,41.57692,-90.40447
103,41.57775,-90.404
104,41.57824,-90.40365
105,41.57871,-90.40323
106,41.57916,-90.40273
107,41.57963,-90.40205
108,41.57998,-90.40141
109,41.58116,-90.39902
110,41.5815,-90.39818
111,41.58191,-90.39697
112,41.58217,-90.39589
113,41.58263,-90.39355
114,41.58279,-90.39252
115,41.58284,-90.39154
116,41.5828,-90.3905
117,41.58267,-90.38935
118,41.582,-90.3832
119,41.58196,-90.38237
120,41.58201,-90.38141
121,41.58235,-90.37831
122,41.58292,-90.37209
123,41.58311,-90.37066
124,41.58337,-90.36938
125,41.58378,-90.36798
126,41.58645,-90.36066
127,41.58748,-90.35727
128,41.59014,-90.35009
129,41.59055,-90.34899
130,41.59075,-90.34851
131,41.59102,-90.34802
132,41.5914,-90.3475
133,41.59225,-90.34647
134,41.59268,-90.34605
135,41.59415,-90.34481
136,41.59547,-90.34379
137,41.59572,-90.34367
138,41.59602,-90.34362
139,41.60056,-90.3436
140,41.60222,-90.34364
141,41.6027,-90.34371
142,41.60473,-90.3441
143,41.60514,-90.34412
144,41.60877,-90.34404
145,41.6093,-90.34406
146,41.6104,-90.34416
147,41.61083,-90.34424
148,41.61127,-90.34439
149,41.61186,-90.34467
150,41.614,-90.34572
151,41.61477,-90.34612
152,41.61566,-90.34663
153,41.61756,-90.34776
154,41.61813,-90.34804
155,41.61871,-90.34823
156,41.61931,-90.34835
157,41.61995,-90.34838
158,41.6206,-90.34832
159,41.62146,-90.34821
160,41.62218,-90.34814
161,41.62492,-90.34791
162,41.6318,-90.34759
163,41.6327,-90.34758
164,41.63371,-90.34765
165,41.63468,-90.34782
166,41.6419,-90.34938
167,41.64254,-90.34955
168,41.64372,-90.34993
169,41.64429,-90.35005
170,41.64483,-90.35008
171,41.64532,-90.35003
172,41.6458,-90.34991
173,41.64627,-90.34971
174,41.64671,-90.34947
175,41.64801,-90.34847
176,41.64878,-90.34795
177,41.64946,-90.34757
178,41.65012,-90.34727
179,41.65598,-90.34481
180,41.65924,-90.34336
181,41.66353,-90.34157
182,41.66407,-90.34139
183,41.66468,-90.34123
184,41.66532,-90.34111
185,41.666,-90.34104
186,41.67415,-90.34094
187,41.67561,-90.34091
188,41.67647,-90.34091
189,41.67749,-90.34095
190,41.68246,-90.34132
191,41.68304,-90.3414
192,41.6836,-90.34156
193,41.68405,-90.34177
194,41.68455,-90.34209
195,41.68502,-90.3425
196,41.68544,-90.34295
197,41.68579,-90.34345
198,41.68612,-90.34402
199,41.68638,-90.34462
200,41.6866,-90.34527
201,41.68796,-90.34949
202,41.68821,-90.35013
203,41.68853,-90.35077
204,41.68883,-90.35124
205,41.69464,-90.35866
206,41.695,-90.35906
207,41.69538,-90.35937
208,41.69584,-90.35962
209,41.69628,-90.35976
210,41.69671,-90.35981
211,41.69731,-90.35982
212,41.72422,-90.35982
213,41.72509,-90.35978
214,41.73147,-90.35938
215,41.73199,-90.35928
216,41.73243,-90.35909
217,41.73285,-90.35883
218,41.73323,-90.3585
219,41.73627,-90.35565
220,41.73669,-90.35533
221,41.73706,-90.35511
222,41.7375,-90.35495
223,41.73791,-90.35489
224,41.74672,-90.35504
225,41.74774,-90.35502
226,41.75051,-90.3549
227,41.75093,-90.35481
228,41.75122,-90.35463
229,41.75147,-90.35442
230,41.7517,-90.35411
231,41.75186,-90.35377
232,41.75199,-90.35336
233,41.75205,-90.35295
234,41.75207,-90.35239
235,41.75219,-90.34609
236,41.75224,-90.34542
237,41.75236,-90.34472
238,41.753,-90.34142
239,41.75325,-90.34047
240,41.75355,-90.3396
241,41.75391,-90.33878
242,41.75426,-90.33811
243,41.75481,-90.33718
244,41.75509,-90.33663
245,41.75532,-90.33606
246,41.75554,-90.33536
247,41.75571,-90.33463
248,41.75708,-90.32722
249,41.75724,-90.32651
250,41.75747,-90.32587
251,41.75772,-90.32529
252,41.758,-90.32479
253,41.75837,-90.32428
254,41.75876,-90.32383
255,41.75958,-90.32297
256,41.76002,-90.32247
257,41.76045,-90.32191
258,41.76259,-90.31893
259,41.76314,-90.31824
260,41.76431,-90.31679
261,41.76485,-90.31611
262,41.76522,-90.31553
263,41.7656,-90.31485
264,41.76675,-90.31277
265,41.76714,-90.31213
266,41.76842,-90.3102
267,41.76966,-90.30836
268,41.77164,-90.30557
269,41.77207,-90.30498
270,41.77252,-90.30447
271,41.77463,-90.30229
272,41.77572,-90.30113
273,41.77754,-90.29917
274,41.77803,-90.2986
275,41.77841,-90.29803
276,41.77872,-90.29747
277,41.77899,-90.29687
278,41.77921,-90.29626
279,41.77938,-90.29566
280,41.77953,-90.29484
281,41.7796,-90.29413
282,41.77975,-90.29003
283,41.77983,-90.28905
284,41.77996,-90.28818
285,41.78015,-90.28742
286,41.7804,-90.28661
287,41.78072,-90.28583
288,41.78109,-90.28507
289,41.78146,-90.28446
290,41.78183,-90.28393
291,41.78231,-90.28336
292,41.79561,-90.26942
293,41.79614,-90.26877
294,41.79651,-90.26819
295,41.7968,-90.26757
296,41.79703,-90.26696
297,41.79719,-90.2663
298,41.79731,-90.26558
299,41.79735,-90.26494
300,41.79735,-90.26418
301,41.79723,-90.2582
302,41.79724,-90.25705
303,41.7974,-90.25269
304,41.79752,-90.25111
305,41.7976,-90.24967
306,41.79765,-90.24843
307,41.79949,-90.24779
308,41.80103,-90.24735
309,41.80627,-90.24589
310,41.80732,-90.24557
311,41.80846,-90.24514
312,41.81244,-90.24349
313,41.81428,-90.24277
314,41.81551,-90.24232
315,41.81558,-90.24061
316,41.81606,-90.22823
317,41.81614,-90.227
318,41.8163,-90.22584
319,41.81655,-90.22454
320,41.81688,-90.22328
321,41.81724,-90.2222
322,41.81765,-90.2212
323,41.81851,-90.21937
324,41.81904,-90.2182
325,41.82014,-90.21566
326,41.82047,-90.21507
327,41.82106,-90.21414
328,41.82142,-90.21337
329,41.8219,-90.2122
330,41.82243,-90.21113
331,41.82471,-90.20784
332,41.83314,-90.1968
333,41.83372,-90.19577
334,41.83401,-90.19501
335,41.83413,-90.19432
336,41.83421,-90.19343
337,41.83422,-90.19316
338,41.83573,-90.19191
339,41.83894,-90.19193
340,41.83895,-90.18823
341,41.84701,-90.18828
342,41.84736,-90.18826
343,41.84766,-90.18819
344,41.85834,-90.18499
345,41.85907,-90.18474
346,41.87263,-90.17982
347,41.87338,-90.18351
348,41.88294,-90.18008
349,41.88334,-90.17999
350,41.88372,-90.17996
351,41.88886,-90.18
352,41.8903,-90.18004
353,41.89075,-90.18013
354,41.89105,-90.18025
355,41.89138,-90.18044
356,41.8917,-90.18069
357,41.89212,-90.18109
358,41.89372,-90.18267
359,41.89418,-90.18302
360,41.89468,-90.18326
361,41.89523,-90.18338
362,41.90082,-90.18373
363,41.90154,-90.18384
364,41.90222,-90.18405
365,41.9029,-90.18436
366,41.90361,-90.18478
367,41.90446,-90.18541
368,41.91642,-90.1947
369,41.91753,-90.19552
370,41.91886,-90.19636
371,41.92015,-90.19707
372,41.92157,-90.19772
373,41.92292,-90.19823
374,41.92418,-90.19863
375,41.92563,-90.19897
376,41.92717,-90.19921
377,41.92893,-90.19933
378,41.9303,-90.1993
379,41.9358,-90.19895
380,41.93768,-90.19888
381,41.95653,-90.19882
382,41.9573,-90.19873
383,41.95804,-90.19858
384,41.95897,-90.1982
385,41.96124,-90.19706
386,41.96221,-90.19672
387,41.96301,-90.19656
388,41.96378,-90.1965
389,41.96455,-90.19655
390,41.96542,-90.19672
391,41.97232,-90.19862
392,41.97322,-90.19879
393,41.97428,-90.19884
394,41.98808,-90.19883
395,41.98868,-90.19878
396,41.98931,-90.19856
397,41.98995,-90.19819
398,41.99052,-90.19769
399,41.99104,-90.19703
400,41.99142,-90.1963
401,41.9947,-90.18806
402,41.99514,-90.18707
403,41.99566,-90.18624
404,41.9962,-90.1856
405,41.99677,-90.18508
406,41.99734,-90.18469
407,41.99801,-90.18439
408,41.99864,-90.1842
409,41.99937,-90.18413
410,42.00584,-90.18445
411,42.00659,-90.18444
412,42.00732,-90.18435
413,42.00829,-90.18407
414,42.01546,-90.18184
415,42.01632,-90.1817
416,42.0171,-90.18166
417,42.01786,-90.18175
418,42.01851,-90.1819
419,42.01919,-90.18213
420,42.02003,-90.18255
421,42.02074,-90.18303
422,42.033,-90.19294
423,42.03369,-90.19337
424,42.03429,-90.1936
425,42.03495,-90.19368
426,42.03544,-90.19367
427,42.03618,-90.1935
428,42.04078,-90.19204
429,42.04157,-90.19186
430,42.04236,-90.1918
431,42.04315,-90.19188
432,42.04377,-90.19204
433,42.04783,-90.19354
434,42.04865,-90.19377
435,42.04935,-90.19385
436,42.0501,-90.19387
437,42.0532,-90.19364
438,42.05381,-90.19368
439,42.05442,-90.19384
440,42.05836,-90.19542
441,42.05889,-90.19572
442,42.05939,-90.19611
443,42.06304,-90.19939
444,42.06368,-90.19987
445,42.06422,-90.20012
446,42.06481,-90.2003
447,42.06655,-90.20055
448,42.06679,-90.20001
449,42.0672,-90.19927
450,42.06933,-90.1958
451,42.06962,-90.19526
452,42.06984,-90.19479
453,42.0701,-90.1941
454,42.07027,-90.19354
455,42.07038,-90.19307
