,Latitude,Longitude
0,38.8000447,-90.3324228
1,38.8001296,-90.3326791
2,38.8001416,-90.3327562
3,38.8001636,-90.3329567
4,38.8001745,-90.3331599
5,38.8001743,-90.3333966
6,38.8001636,-90.3337151
7,38.800156,-90.3338666
8,38.8001348,-90.3340758
9,38.8000841,-90.334387
10,38.8000405,-90.3345969
11,38.7999911,-90.3348036
12,38.7999602,-90.334914
13,38.7998746,-90.3351896
14,38.7998187,-90.3353439
15,38.7997706,-90.3354646
16,38.7997162,-90.335594
17,38.7996634,-90.3357066
18,38.7995704,-90.3359011
19,38.7994983,-90.3360312
20,38.7994178,-90.3361673
21,38.7993274,-90.3363101
22,38.7992219,-90.336459
23,38.7991356,-90.3365736
24,38.799063,-90.3366622
25,38.7989997,-90.3367355
26,38.7988559,-90.3367943
