,Latitude,Longitude
0,36.655297,-90.520092
1,36.6567497,-90.5200031
2,36.6575419,-90.5198684
3,36.6581046,-90.5197001
4,36.6588204,-90.5194195
5,36.659365,-90.5191333
6,36.6598827,-90.5188079
7,36.6602833,-90.5185273
8,36.6607736,-90.5180857
9,36.6617219,-90.5172598
10,36.6624685,-90.5165626
11,36.6629983,-90.5160908
12,36.6633779,-90.5157231
13,36.6644062,-90.5147746
14,36.664963,-90.5142488
15,36.6655518,-90.5134958
16,36.6661909,-90.5125643
17,36.6665425,-90.511904
18,36.6667991,-90.5113092
19,36.6670331,-90.5106975
20,36.6672267,-90.5100747
21,36.6673887,-90.5094462
22,36.6675136,-90.5087281
23,36.6699245,-90.496185
24,36.6700653,-90.4954684
25,36.670234,-90.4948335
26,36.670425,-90.4942106
27,36.6706637,-90.4935797
28,36.6709246,-90.4929726
29,36.6712301,-90.4924052
30,36.6715707,-90.4918497
31,36.6719271,-90.4913418
32,36.6723154,-90.4908697
33,36.6727482,-90.4904015
34,36.6731905,-90.4899928
35,36.6736552,-90.4896198
36,36.6741453,-90.4893024
37,36.6746608,-90.4889969
38,36.6751509,-90.4887667
39,36.6756823,-90.4885882
40,36.6762329,-90.4884215
41,36.676777,-90.4883144
42,36.6773276,-90.4882588
43,36.6797971,-90.4881621
44,36.6803417,-90.4881341
45,36.6808907,-90.4880836
46,36.6814442,-90.4879882
47,36.6819707,-90.4878872
48,36.6825017,-90.48773
49,36.6830777,-90.4875336
50,36.6835323,-90.487326
51,36.6840273,-90.4870567
52,36.6845358,-90.4867537
53,36.6849947,-90.4864394
54,36.6854717,-90.4860578
55,36.6874568,-90.4844433
56,36.688289,-90.483715
57,36.688542,-90.48351
58,36.689825,-90.482412
59,36.690249,-90.482067
60,36.6908362,-90.4815875
61,36.6913339,-90.4811722
62,36.691696,-90.48087
63,36.6929454,-90.479828
64,36.6935265,-90.4793433
65,36.693901,-90.479031
66,36.694086,-90.478877
67,36.69672,-90.47669
68,36.697538,-90.475967
69,36.699329,-90.474517
70,36.699578,-90.474295
71,36.699906,-90.474056
72,36.7000087,-90.4739877
73,36.700285,-90.473804
74,36.700736,-90.473529
75,36.701018,-90.473378
76,36.704298,-90.471872
77,36.708548,-90.469957
78,36.710179,-90.469207
79,36.710301,-90.469151
80,36.711835,-90.468478
81,36.712316,-90.468254
82,36.712947,-90.467977
83,36.713654,-90.467654
84,36.714249,-90.467422
85,36.715407,-90.466998
86,36.717116,-90.466403
87,36.719669,-90.465507
88,36.719727,-90.465487
89,36.721021,-90.465032
90,36.721861,-90.464736
91,36.722302,-90.464589
92,36.724692,-90.463726
93,36.7257817,-90.4633569
94,36.728462,-90.4624728
95,36.7291316,-90.4622397
96,36.7321215,-90.4611313
97,36.735135,-90.460081
98,36.738356,-90.458958
99,36.740808,-90.458108
100,36.741062,-90.45802
101,36.743684,-90.457112
102,36.744479,-90.4569
103,36.745069,-90.456778
104,36.745373,-90.456732
105,36.745658,-90.456688
106,36.746693,-90.456595
107,36.749305,-90.456487
108,36.750558,-90.456435
109,36.755356,-90.456252
110,36.757972,-90.456152
111,36.760763,-90.456036
112,36.7620771,-90.455966
113,36.764265,-90.455906
114,36.7665404,-90.45586
115,36.7672214,-90.4558505
116,36.768645,-90.4557149
117,36.770188,-90.455672
118,36.7710163,-90.4556298
119,36.772573,-90.455589
120,36.7732117,-90.4555623
121,36.773489,-90.455547
122,36.774159,-90.455496
123,36.774277,-90.455471
124,36.775269,-90.455265
125,36.775885,-90.455098
126,36.776111,-90.455026
127,36.776201,-90.454998
128,36.776467,-90.454914
129,36.777062,-90.454707
130,36.778142,-90.454233
131,36.778851,-90.453931
132,36.779529,-90.453621
133,36.7801,-90.45337
134,36.780643,-90.453132
135,36.781585,-90.452748
136,36.782475,-90.452354
137,36.78335,-90.451991
138,36.784545,-90.451463
139,36.7856289,-90.4509757
140,36.78612,-90.450768
141,36.788201,-90.449871
