,Latitude,Longitude
0,38.8184967,-90.2325805
1,38.8184089,-90.2321982
2,38.8183328,-90.2318714
3,38.8181574,-90.2310708
4,38.8182218,-90.2309932
5,38.8182887,-90.2309469
6,38.8183752,-90.2309339
7,38.8185217,-90.2309871
8,38.8188451,-90.231128
9,38.8191225,-90.2312426
10,38.8193174,-90.2312889
11,38.8195844,-90.2313402
12,38.8198242,-90.2313864
13,38.8205308,-90.2313629
14,38.8206549,-90.2313586
15,38.8208738,-90.2313519
16,38.8210942,-90.2313492
17,38.8213105,-90.2313553
18,38.8215331,-90.2313674
19,38.8217676,-90.2313888
20,38.8219803,-90.2314163
21,38.822183,-90.2314505
22,38.8224008,-90.2314934
23,38.8226155,-90.231543
24,38.8228329,-90.2316014
25,38.8230439,-90.2316657
26,38.8232539,-90.2317388
27,38.8234608,-90.2318193
28,38.8236645,-90.2319045
29,38.8238641,-90.231997
30,38.8240569,-90.2320929
31,38.8242643,-90.2322042
32,38.8244617,-90.2323175
33,38.8246697,-90.2324483
34,38.8248619,-90.232577
35,38.8250547,-90.2327091
36,38.825269,-90.2328595
37,38.8254282,-90.2329747
38,38.825611,-90.2331007
39,38.8257991,-90.2332328
40,38.8259955,-90.2333689
41,38.8261846,-90.2335024
42,38.8263769,-90.2336378
43,38.8265696,-90.2337706
44,38.8267587,-90.233902
45,38.8269557,-90.2340388
46,38.8271432,-90.2341709
47,38.8273381,-90.2343071
48,38.8275225,-90.2344371
49,38.82771,-90.2345679
50,38.8278934,-90.234696
51,38.8280741,-90.234824
52,38.8282637,-90.2349548
53,38.8284518,-90.2350856
54,38.8286492,-90.235213
55,38.8288524,-90.2353404
56,38.829041,-90.2354544
57,38.8292359,-90.2355657
58,38.8294328,-90.2356723
59,38.8296323,-90.2357782
60,38.8298303,-90.2358748
61,38.8300414,-90.2359747
62,38.830256,-90.2360699
63,38.8304603,-90.2361544
64,38.8306635,-90.2362369
65,38.8308829,-90.2363167
66,38.831085,-90.2363884
67,38.8313013,-90.2364568
68,38.8315165,-90.2365219
69,38.8317427,-90.2365869
70,38.8319537,-90.2366459
71,38.8321653,-90.2367023
72,38.8323878,-90.2367606
73,38.8325946,-90.2368122
74,38.8328161,-90.2368672
75,38.8330318,-90.2369182
76,38.833245,-90.2369678
77,38.8334628,-90.2370201
78,38.8336801,-90.2370717
79,38.8338942,-90.2371234
80,38.8341068,-90.2371717
81,38.8343231,-90.237224
82,38.8346485,-90.2373017
83,38.8349676,-90.2373755
84,38.8352962,-90.2374533
85,38.8356237,-90.2375317
86,38.8360562,-90.237635
87,38.8363805,-90.2377068
88,38.8367143,-90.2377758
89,38.8369206,-90.2378114
90,38.8371421,-90.2378462
91,38.837375,-90.237871
92,38.8375803,-90.2378831
93,38.8378158,-90.2378824
94,38.8380383,-90.237865
95,38.838241,-90.2378362
96,38.8384593,-90.2377939
97,38.8386902,-90.2377336
98,38.8388902,-90.2376672
99,38.8391273,-90.2375706
100,38.8393086,-90.2374848
101,38.839542,-90.2373581
102,38.839798,-90.2372018
103,38.8402113,-90.2369375
104,38.8470384,-90.2325628
105,38.8485347,-90.2316198
106,38.8492904,-90.2312056
107,38.849918,-90.2308417
108,38.8505893,-90.2304101
109,38.8508506,-90.2302422
110,38.8512883,-90.2299491
111,38.853601,-90.2284213
112,38.8544699,-90.2278891
113,38.8567211,-90.2263951
114,38.8592246,-90.2247901
115,38.8613767,-90.2233702
116,38.861559,-90.2232499
117,38.8618017,-90.2230891
118,38.8627899,-90.2224345
119,38.8633071,-90.2220628
120,38.8637799,-90.2216516
121,38.8642371,-90.2211664
122,38.864759,-90.2205712
123,38.8652857,-90.2197757
124,38.8671477,-90.2161045
125,38.8693394,-90.2114911
126,38.8697442,-90.2106512
127,38.8700141,-90.2100913
128,38.8708028,-90.2084425
129,38.8710409,-90.2079447
130,38.8714615,-90.2070414
131,38.8720627,-90.2056335
132,38.8725787,-90.2043468
133,38.8730009,-90.2032986
134,38.8733917,-90.2021833
135,38.8736978,-90.201174
136,38.873769,-90.2008896
137,38.8739227,-90.2002755
138,38.8745851,-90.1973952
139,38.8752315,-90.1945373
140,38.8754974,-90.1933471
141,38.8757225,-90.1923864
142,38.8759632,-90.1915146
143,38.8761691,-90.1909233
144,38.8764145,-90.1903022
145,38.8767454,-90.1895941
146,38.8770217,-90.1889954
147,38.8775011,-90.1879199
148,38.8793127,-90.1843469
149,38.8818308,-90.1792681
