,Latitude,Longitude
0,31.8947447,-98.6225381
1,31.8947411,-98.6224116
2,31.8947882,-98.6222812
3,31.8948528,-98.6221302
4,31.8949307,-98.6219696
5,31.8950066,-98.6218271
6,31.8950968,-98.6216714
7,31.8951953,-98.6215156
8,31.895692,-98.6207055
9,31.8961748,-98.6199345
10,31.8967198,-98.6190921
11,31.8967864,-98.6189834
12,31.8968489,-98.6188771
13,31.8969094,-98.6187551
14,31.8969658,-98.6186453
15,31.897015,-98.6185438
16,31.8970601,-98.61844
17,31.8971063,-98.6183192
18,31.8971503,-98.6182033
19,31.8971872,-98.6181043
20,31.8972242,-98.6179847
21,31.8972559,-98.61787
22,31.8972939,-98.617736
23,31.8973277,-98.6175862
24,31.8973503,-98.61748
25,31.8973738,-98.6173423
26,31.8973933,-98.6172155
27,31.8974118,-98.6170598
28,31.8974261,-98.6169124
29,31.8974333,-98.6167868
30,31.8974364,-98.616689
31,31.8974898,-98.616575
