,Latitude,Longitude
0,31.4273368,-100.5128872
1,31.4273463,-100.5126767
2,31.4273471,-100.5126607
3,31.4275717,-100.512256
4,31.4279658,-100.5115604
5,31.428187,-100.5111699
6,31.4290135,-100.509711
7,31.4296631,-100.5085644
8,31.4299354,-100.5080836
9,31.4302108,-100.5076054
10,31.4302935,-100.5075769
11,31.430701,-100.506836
12,31.4312258,-100.5058669
13,31.4314176,-100.5052024
14,31.4314541,-100.50475
15,31.4313915,-100.5044261
16,31.4312611,-100.5041755
17,31.4310838,-100.5039799
18,31.4308699,-100.5038454
19,31.4306352,-100.5037904
20,31.4304057,-100.5037965
21,31.4301084,-100.5038637
22,31.4298894,-100.5040104
23,31.4296912,-100.5043038
24,31.4295921,-100.50464
25,31.4295712,-100.5050557
26,31.4296547,-100.505398
27,31.4298112,-100.5056241
28,31.4299989,-100.5058381
29,31.4301887,-100.505952
30,31.4305109,-100.5061606
31,31.4306844,-100.5062089
32,31.4313083,-100.5063672
33,31.4321158,-100.5063847
34,31.4327281,-100.5062976
35,31.4332743,-100.5061314
36,31.4336185,-100.505997
37,31.4340788,-100.505783
38,31.4344764,-100.5055385
39,31.4349915,-100.5051336
40,31.4356043,-100.50453
41,31.4365492,-100.5036485
42,31.4377556,-100.5024441
43,31.4417475,-100.4986116
44,31.4423602,-100.4980051
45,31.4438049,-100.4966047
46,31.4451918,-100.4952777
47,31.4456706,-100.4947477
48,31.446216,-100.4942557
49,31.4469534,-100.4935404
50,31.4472646,-100.4932385
51,31.4478974,-100.492638
52,31.4486266,-100.4919175
53,31.4494642,-100.491091
54,31.4500367,-100.4904694
55,31.4503079,-100.4901515
56,31.4505309,-100.4897842
57,31.4509647,-100.4890919
58,31.4512359,-100.4884986
59,31.4515372,-100.4877851
60,31.4518265,-100.4869516
61,31.4519289,-100.4865207
62,31.4520314,-100.485892
63,31.4521338,-100.4850726
64,31.4523929,-100.4830523
65,31.4525918,-100.4814559
66,31.4527906,-100.4798312
67,31.4529413,-100.4787292
68,31.4530799,-100.4778815
69,31.4532366,-100.4772316
70,31.4534354,-100.4765606
71,31.453574,-100.476052
72,31.4538813,-100.4752255
73,31.4546466,-100.4735725
74,31.4557072,-100.4713757
75,31.4566954,-100.4693201
76,31.4579608,-100.4666711
77,31.4595757,-100.4634005
78,31.4605699,-100.4611471
79,31.4607798,-100.4606059
80,31.4614135,-100.4589714
81,31.4621064,-100.4573467
82,31.4627873,-100.4558774
83,31.4639502,-100.4534969
84,31.4643599,-100.4526139
85,31.4647644,-100.4517672
86,31.4656237,-100.4499684
87,31.4661414,-100.4488328
88,31.4670277,-100.4468634
89,31.4674865,-100.4458476
90,31.4684566,-100.4438048
91,31.469505,-100.4416634
92,31.4697288,-100.4411974
93,31.4697619,-100.4411324
94,31.4704,-100.439777
95,31.4709587,-100.4386819
96,31.4711812,-100.4382053
97,31.472857,-100.434643
98,31.473385,-100.4335909
99,31.4740259,-100.4323137
100,31.4745061,-100.4313442
101,31.474711,-100.430894
102,31.4749014,-100.4304171
103,31.475086,-100.429876
104,31.4752745,-100.4291963
105,31.475417,-100.428571
106,31.4754638,-100.4280538
107,31.4755028,-100.4275642
108,31.4755172,-100.4266965
109,31.4755355,-100.4256354
110,31.4755189,-100.424744
111,31.4755233,-100.4215616
112,31.4755306,-100.4209051
113,31.4755417,-100.4196201
114,31.4755324,-100.4185489
115,31.4755321,-100.4181228
116,31.475552,-100.416824
117,31.4755306,-100.4154235
118,31.4755302,-100.4139569
119,31.4755275,-100.4122302
120,31.4755434,-100.4116098
121,31.4755254,-100.4106178
122,31.4755284,-100.4098098
123,31.4755055,-100.4085069
124,31.4755145,-100.4079282
125,31.4755066,-100.4064026
126,31.4755088,-100.4052852
