,Latitude,Longitude
0,40.57517,-93.93992
1,40.57521,-93.93991
2,40.57524,-93.93992
3,40.57565,-93.93961
4,40.57603,-93.93934
5,40.57631,-93.93917
6,40.57651,-93.93907
7,40.57663,-93.93902
8,40.57687,-93.93894
9,40.57701,-93.9389
10,40.57729,-93.93886
11,40.57744,-93.93885
12,40.57767,-93.93886
13,40.60192,-93.93889
14,40.60917,-93.93894
15,40.61611,-93.93892
16,40.61645,-93.93894
17,40.61951,-93.93894
18,40.62013,-93.93895
19,40.62317,-93.93895
20,40.62369,-93.93894
21,40.62369,-93.935
22,40.62368,-93.93474
23,40.62368,-93.93387
24,40.62369,-93.93329
25,40.62367,-93.92752
26,40.62366,-93.92706
27,40.62366,-93.9243
28,40.62367,-93.92397
29,40.62365,-93.92274
30,40.62361,-93.90525
31,40.62362,-93.90455
32,40.62361,-93.90363
33,40.62361,-93.89812
34,40.62362,-93.89724
35,40.62363,-93.89011
36,40.62364,-93.88956
37,40.62371,-93.87178
38,40.62372,-93.87125
39,40.62378,-93.86161
40,40.62377,-93.85688
41,40.62378,-93.85605
42,40.62378,-93.84983
43,40.62373,-93.84574
44,40.62372,-93.84561
45,40.62372,-93.84553
46,40.62373,-93.84545
47,40.62373,-93.84529
48,40.62374,-93.84524
49,40.62377,-93.84496
50,40.62379,-93.84487
51,40.62382,-93.8447
52,40.62389,-93.84439
53,40.62397,-93.84417
54,40.624,-93.84407
55,40.6241,-93.84384
56,40.62415,-93.84375
57,40.6243,-93.84345
58,40.62445,-93.84321
59,40.62478,-93.84278
60,40.62491,-93.8426
61,40.62519,-93.84225
62,40.62531,-93.84208
63,40.62547,-93.84187
64,40.62565,-93.8416
65,40.62607,-93.84106
66,40.62644,-93.84052
67,40.62658,-93.84026
68,40.62668,-93.84009
69,40.62673,-93.83996
70,40.62687,-93.83968
71,40.627,-93.83937
72,40.62703,-93.83927
73,40.62711,-93.83904
74,40.62719,-93.83879
75,40.62735,-93.83815
76,40.62744,-93.83763
77,40.62745,-93.8375
78,40.62757,-93.83651
79,40.62827,-93.82978
80,40.62831,-93.82925
81,40.62857,-93.82675
82,40.62859,-93.82652
83,40.62867,-93.82592
84,40.62869,-93.82585
85,40.62874,-93.8256
86,40.62875,-93.82553
87,40.62879,-93.82541
88,40.62888,-93.82508
89,40.62892,-93.82498
90,40.629,-93.82474
91,40.62906,-93.82459
92,40.62917,-93.82436
93,40.63302,-93.81709
94,40.63332,-93.8165
95,40.63391,-93.81528
96,40.63665,-93.8101
97,40.63672,-93.80998
98,40.63698,-93.80948
99,40.63706,-93.80931
100,40.63729,-93.80895
101,40.63736,-93.80886
102,40.63742,-93.80879
103,40.63756,-93.80864
104,40.63762,-93.80859
105,40.63766,-93.80857
106,40.63773,-93.80853
107,40.6378,-93.80847
108,40.6379,-93.80842
109,40.63797,-93.8084
110,40.63818,-93.8083
111,40.63975,-93.8083
112,40.63981,-93.80829
113,40.63987,-93.80829
114,40.63992,-93.80828
115,40.64008,-93.8082
116,40.64013,-93.80817
117,40.64037,-93.80801
118,40.65072,-93.80136
119,40.65097,-93.80122
120,40.65119,-93.80107
121,40.65775,-93.79686
122,40.6583,-93.79649
123,40.65906,-93.79601
124,40.66048,-93.79513
125,40.6615,-93.79458
126,40.66271,-93.79395
127,40.66439,-93.79317
128,40.66628,-93.79235
129,40.66658,-93.79222
130,40.6669,-93.79206
131,40.66721,-93.79192
132,40.66752,-93.79177
133,40.66844,-93.79134
134,40.66884,-93.79113
135,40.66936,-93.79082
136,40.66955,-93.79069
137,40.66988,-93.79048
138,40.67035,-93.79014
139,40.67062,-93.78995
140,40.67118,-93.78949
141,40.67154,-93.78921
142,40.67186,-93.78895
143,40.6725,-93.78845
144,40.67289,-93.78813
145,40.67304,-93.788
146,40.67398,-93.78722
147,40.67443,-93.78688
148,40.6747,-93.78664
149,40.67496,-93.78643
150,40.67554,-93.78599
151,40.67626,-93.78539
152,40.67659,-93.78515
153,40.67723,-93.78464
154,40.67749,-93.78441
155,40.67797,-93.78402
156,40.67901,-93.78321
157,40.6792,-93.78307
158,40.67946,-93.78285
159,40.68022,-93.78222
160,40.68087,-93.78169
161,40.68202,-93.78079
162,40.68246,-93.7804
163,40.68396,-93.77918
164,40.68563,-93.77784
165,40.68592,-93.77759
166,40.68662,-93.77701
167,40.68723,-93.77654
168,40.68743,-93.77637
169,40.68802,-93.77592
170,40.68821,-93.77579
171,40.68842,-93.77569
172,40.68863,-93.77557
173,40.68892,-93.77545
174,40.68911,-93.77538
175,40.68931,-93.77531
176,40.68962,-93.77524
177,40.68974,-93.77522
178,40.68994,-93.77518
179,40.69049,-93.77509
180,40.6911,-93.77499
181,40.69174,-93.7749
182,40.69398,-93.77455
183,40.69431,-93.77449
184,40.69655,-93.77415
185,40.69666,-93.77413
186,40.69691,-93.77405
187,40.69704,-93.77399
188,40.69727,-93.77387
189,40.69762,-93.7737
190,40.69813,-93.77345
191,40.69848,-93.77328
192,40.69881,-93.7731
193,40.69917,-93.77284
194,40.69947,-93.77258
195,40.69971,-93.77231
196,40.69973,-93.77229
197,40.70005,-93.77189
198,40.70332,-93.76671
199,40.70356,-93.76638
200,40.70375,-93.76617
201,40.70723,-93.76291
202,40.70749,-93.76271
203,40.70763,-93.76261
204,40.70803,-93.76239
205,40.70829,-93.76228
206,40.70855,-93.76222
207,40.70885,-93.76218
208,40.70896,-93.76218
209,40.70919,-93.76217
210,40.71048,-93.76219
211,40.71115,-93.76221
212,40.71157,-93.76221
213,40.71419,-93.76224
214,40.71715,-93.76233
215,40.71755,-93.76233
216,40.71775,-93.76233
217,40.71788,-93.76231
218,40.72187,-93.76148
219,40.72326,-93.76111
220,40.72356,-93.76105
221,40.72387,-93.76101
222,40.72407,-93.76101
223,40.72438,-93.76105
224,40.7245,-93.76109
225,40.72463,-93.76111
226,40.725,-93.76128
227,40.72526,-93.76142
228,40.72553,-93.76152
229,40.7258,-93.76159
230,40.72599,-93.76161
231,40.72619,-93.76161
232,40.72651,-93.76159
233,40.72865,-93.7613
234,40.72911,-93.76125
235,40.72929,-93.76125
236,40.7315,-93.76121
237,40.73179,-93.76121
238,40.73284,-93.76121
239,40.73504,-93.76116
240,40.73599,-93.76115
241,40.73717,-93.76111
242,40.73818,-93.76106
243,40.73965,-93.76103
244,40.73965,-93.75809
245,40.73951,-93.7513
246,40.73953,-93.75048
247,40.73952,-93.7501
248,40.73952,-93.74921
249,40.7395,-93.74794
250,40.74031,-93.74791
251,40.74063,-93.74791
252,40.74224,-93.74787
253,40.74263,-93.74787
254,40.74394,-93.74782
255,40.74659,-93.74777
256,40.74901,-93.74777
257,40.74942,-93.74776
258,40.75203,-93.74775
259,40.75246,-93.74773
260,40.75394,-93.74772
261,40.75769,-93.74776
262,40.75881,-93.74777
263,40.76125,-93.74779
264,40.76843,-93.74787
265,40.77205,-93.74786
266,40.77247,-93.74785
267,40.77507,-93.74782
268,40.78154,-93.74769
269,40.78322,-93.74768
270,40.78964,-93.74804
271,40.79,-93.74805
272,40.79053,-93.74804
273,40.79133,-93.74799
274,40.79217,-93.74794
275,40.79305,-93.74789
276,40.79637,-93.74769
277,40.79665,-93.74769
278,40.79697,-93.74767
279,40.79759,-93.74764
280,40.79817,-93.74766
281,40.80676,-93.74767
282,40.81638,-93.74772
283,40.8169,-93.74773
284,40.82169,-93.74777
285,40.82198,-93.74776
286,40.82499,-93.74777
287,40.82516,-93.7478
288,40.82522,-93.7478
289,40.82535,-93.74782
290,40.82551,-93.74786
291,40.82578,-93.74794
292,40.82588,-93.748
293,40.82597,-93.74804
294,40.82609,-93.74809
295,40.82622,-93.74818
296,40.82631,-93.74823
297,40.82636,-93.74827
298,40.82649,-93.74836
299,40.82666,-93.74852
300,40.82672,-93.74858
301,40.82676,-93.74861
302,40.82683,-93.74869
303,40.8269,-93.74876
304,40.82939,-93.7519
305,40.82983,-93.75247
306,40.83031,-93.75307
307,40.8305,-93.75332
308,40.83074,-93.75362
309,40.83094,-93.75384
310,40.83104,-93.75394
311,40.83128,-93.75415
312,40.83153,-93.75432
313,40.83162,-93.75436
314,40.83202,-93.75456
315,40.83217,-93.75461
316,40.83222,-93.75461
317,40.83231,-93.75465
318,40.83255,-93.75468
319,40.83381,-93.7548
320,40.83528,-93.7549
321,40.83584,-93.75495
322,40.83677,-93.755
323,40.83769,-93.755
324,40.83888,-93.75503
325,40.8391,-93.75506
326,40.83929,-93.7551
327,40.83946,-93.75516
328,40.83971,-93.75526
329,40.83985,-93.75534
330,40.83991,-93.75536
331,40.83997,-93.7554
332,40.84012,-93.7555
333,40.84034,-93.75566
334,40.84056,-93.75587
335,40.84092,-93.75623
336,40.84102,-93.75632
337,40.84138,-93.7567
338,40.84169,-93.757
339,40.84191,-93.75722
340,40.84577,-93.7611
341,40.84605,-93.76139
342,40.84653,-93.76186
343,40.84996,-93.76529
344,40.85034,-93.76567
345,40.85121,-93.76655
346,40.8513,-93.76663
347,40.85137,-93.76671
348,40.85146,-93.76678
349,40.85151,-93.76683
350,40.85162,-93.76691
351,40.85169,-93.76697
352,40.85208,-93.76718
353,40.85212,-93.76721
354,40.85231,-93.76729
355,40.85263,-93.76739
356,40.85272,-93.76739
357,40.85284,-93.76742
358,40.85296,-93.76743
359,40.8534,-93.76745
360,40.85412,-93.76746
361,40.8548,-93.76749
362,40.85527,-93.7675
363,40.85614,-93.76754
364,40.85849,-93.76756
365,40.86325,-93.76756
366,40.86414,-93.76755
367,40.865,-93.76756
368,40.86677,-93.76755
369,40.86706,-93.76756
370,40.86991,-93.76756
371,40.87046,-93.76756
372,40.8711,-93.76756
373,40.87258,-93.76757
374,40.87353,-93.76757
375,40.87398,-93.76759
376,40.87472,-93.76759
377,40.87496,-93.7676
378,40.87967,-93.76761
379,40.88012,-93.76761
380,40.88522,-93.76757
381,40.88626,-93.76759
382,40.89369,-93.76773
383,40.8953,-93.76776
384,40.896,-93.76778
