,Latitude,Longitude
0,29.89893,-93.92885
1,29.89933,-93.92941
2,29.8995,-93.92963
3,29.90096,-93.93171
4,29.90105,-93.93183
5,29.90141,-93.93235
6,29.90178,-93.93286
7,29.90195,-93.93312
8,29.90866,-93.94257
9,29.90873,-93.94269
10,29.90903,-93.94307
11,29.90918,-93.94329
12,29.90964,-93.94393
13,29.90982,-93.94421
14,29.9115,-93.94656
15,29.91233,-93.94764
16,29.91326,-93.94878
17,29.91446,-93.95029
18,29.91456,-93.95034
19,29.9185,-93.95524
20,29.91901,-93.9559
21,29.92033,-93.95774
22,29.92089,-93.95854
23,29.92136,-93.95919
24,29.92138,-93.95923
25,29.92178,-93.95978
26,29.9247,-93.96391
27,29.92489,-93.96415
28,29.9249,-93.96418
29,29.93024,-93.97168
30,29.93086,-93.97257
31,29.93718,-93.98145
32,29.93726,-93.98157
33,29.94133,-93.9873
34,29.94155,-93.98761
35,29.94456,-93.99186
36,29.94523,-93.9929
37,29.94528,-93.99299
38,29.94647,-93.99487
39,29.94676,-93.99532
40,29.94732,-93.9961
41,29.94853,-93.99782
42,29.95249,-94.00339
43,29.95271,-94.00371
44,29.95383,-94.00527
45,29.95528,-94.0072
46,29.95529,-94.00721
47,29.95534,-94.00727
48,29.95547,-94.00744
49,29.95564,-94.00765
50,29.95615,-94.0083
51,29.95699,-94.00935
52,29.9576,-94.01008
53,29.95909,-94.01181
54,29.96046,-94.01331
55,29.96145,-94.01434
56,29.96255,-94.01547
57,29.96293,-94.01584
58,29.96324,-94.01616
59,29.96442,-94.01728
60,29.96529,-94.01807
61,29.96637,-94.01905
62,29.96922,-94.02145
63,29.97072,-94.02262
64,29.97179,-94.02342
65,29.97314,-94.02439
66,29.97428,-94.02518
67,29.975,-94.02566
68,29.97679,-94.0268
69,29.97779,-94.02742
70,29.97946,-94.02838
71,29.98224,-94.0299
72,29.98365,-94.03063
73,29.98391,-94.03075
74,29.98497,-94.03129
75,29.98918,-94.03358
76,29.99198,-94.03523
77,29.99292,-94.03575
78,29.9934,-94.03599
79,29.99502,-94.03688
80,29.99733,-94.03802
81,29.99845,-94.03861
82,29.99964,-94.03927
83,30.00029,-94.03958
84,30.00046,-94.0397
85,30.00205,-94.04056
86,30.00491,-94.0422
87,30.01199,-94.04604
88,30.01217,-94.04613
89,30.01265,-94.04642
90,30.01349,-94.04686
91,30.0149,-94.04765
92,30.01574,-94.04814
93,30.01774,-94.04939
94,30.01886,-94.05014
95,30.02117,-94.0518
96,30.0222,-94.05258
97,30.02369,-94.05379
98,30.02399,-94.05401
99,30.02434,-94.05423
100,30.02451,-94.05432
101,30.02475,-94.05442
102,30.02487,-94.05448
103,30.02551,-94.0547
104,30.02603,-94.05485
105,30.02826,-94.05554
106,30.0291,-94.05579
107,30.0307,-94.05629
108,30.03089,-94.05636
109,30.03119,-94.0565
110,30.03136,-94.05659
111,30.03152,-94.05669
112,30.03172,-94.05683
113,30.03196,-94.05701
114,30.03213,-94.05718
115,30.03231,-94.05736
116,30.03246,-94.05753
117,30.03263,-94.05775
118,30.03274,-94.05791
119,30.03291,-94.05817
120,30.03312,-94.05858
121,30.03318,-94.05874
122,30.03336,-94.05931
123,30.03341,-94.05948
124,30.03347,-94.05974
125,30.03353,-94.06019
126,30.03355,-94.06046
127,30.03355,-94.06098
128,30.03335,-94.06341
129,30.03329,-94.06398
130,30.03298,-94.06774
131,30.03295,-94.06821
132,30.03293,-94.0684
133,30.03276,-94.07057
134,30.03273,-94.0708
135,30.03267,-94.07163
136,30.03239,-94.07459
137,30.03237,-94.07473
138,30.03236,-94.07485
139,30.0323,-94.07522
140,30.03222,-94.0756
141,30.0321,-94.07608
142,30.03203,-94.07632
143,30.03187,-94.07682
144,30.03175,-94.07711
145,30.0316,-94.0775
146,30.03149,-94.07773
147,30.03129,-94.07818
148,30.03119,-94.07841
149,30.03109,-94.07863
150,30.031,-94.07886
151,30.03092,-94.0791
152,30.03085,-94.0793
153,30.03069,-94.07982
154,30.03051,-94.08054
155,30.03049,-94.08068
156,30.03046,-94.08081
157,30.03044,-94.08093
158,30.0304,-94.08112
159,30.03035,-94.08153
160,30.03033,-94.08166
161,30.03029,-94.08207
162,30.03027,-94.08239
163,30.03026,-94.08284
164,30.03026,-94.08334
165,30.03029,-94.08396
166,30.03032,-94.08426
167,30.03035,-94.08448
168,30.03036,-94.08459
169,30.03044,-94.08513
170,30.03055,-94.08565
171,30.03066,-94.0861
172,30.03086,-94.08678
173,30.0309,-94.08695
174,30.03172,-94.0898
175,30.03177,-94.08998
176,30.03189,-94.09041
177,30.03194,-94.09055
178,30.03215,-94.09133
179,30.03476,-94.10046
180,30.03476,-94.10047
181,30.03482,-94.10066
182,30.03905,-94.11553
183,30.03907,-94.11558
184,30.03917,-94.11593
185,30.03919,-94.11597
186,30.03977,-94.11803
187,30.03995,-94.11875
188,30.0401,-94.1194
189,30.04217,-94.13008
190,30.04238,-94.13103
191,30.04248,-94.13142
192,30.04271,-94.13212
193,30.04276,-94.13229
194,30.04287,-94.13262
195,30.04289,-94.13268
196,30.04296,-94.13288
197,30.0434,-94.13424
198,30.04353,-94.13457
199,30.04362,-94.13478
200,30.04374,-94.13507
201,30.04401,-94.13561
202,30.04428,-94.13609
203,30.0444,-94.13625
204,30.04458,-94.13652
205,30.04646,-94.13897
206,30.04651,-94.13903
207,30.04669,-94.13927
208,30.04675,-94.13937
209,30.04712,-94.13985
210,30.04727,-94.14001
211,30.04745,-94.14021
212,30.04761,-94.14037
213,30.04797,-94.14069
214,30.04817,-94.14085
215,30.04832,-94.14095
216,30.04841,-94.14102
217,30.04894,-94.14129
218,30.04914,-94.14138
219,30.04946,-94.14149
220,30.04967,-94.14157
221,30.04989,-94.14162
222,30.05033,-94.14171
223,30.05077,-94.14175
224,30.0511,-94.14175
225,30.05121,-94.14174
226,30.05133,-94.14174
227,30.05144,-94.14173
228,30.05155,-94.14171
229,30.05165,-94.1417
230,30.05197,-94.14163
231,30.0524,-94.14152
232,30.0525,-94.14148
233,30.05262,-94.14144
234,30.05277,-94.14138
235,30.05287,-94.14133
236,30.05301,-94.14127
237,30.05319,-94.14118
238,30.05357,-94.14094
239,30.05373,-94.14082
240,30.05385,-94.14073
241,30.05398,-94.14064
242,30.0541,-94.14052
243,30.05418,-94.14047
244,30.05429,-94.14042
245,30.05595,-94.13871
246,30.05734,-94.13732
247,30.05785,-94.13685
248,30.05841,-94.13642
249,30.05908,-94.13596
250,30.0593,-94.13583
251,30.05968,-94.13562
252,30.06013,-94.13539
253,30.06071,-94.13514
254,30.06106,-94.135
255,30.06144,-94.13489
256,30.06187,-94.13478
257,30.06204,-94.13473
258,30.06226,-94.13468
259,30.06265,-94.13461
260,30.06298,-94.13455
261,30.0635,-94.13451
262,30.06417,-94.13449
263,30.06493,-94.13451
264,30.06758,-94.13452
265,30.06911,-94.13455
266,30.07088,-94.13457
267,30.0714,-94.1346
268,30.07242,-94.13467
269,30.07266,-94.1347
270,30.07469,-94.13503
271,30.07483,-94.13506
272,30.07501,-94.13509
273,30.07655,-94.1354
274,30.0774,-94.13553
275,30.07804,-94.13561
276,30.07876,-94.13567
277,30.07956,-94.1357
278,30.08242,-94.13575
279,30.08361,-94.13579
280,30.08516,-94.13581
281,30.08729,-94.13588
282,30.08739,-94.13584
283,30.08743,-94.13583
284,30.08747,-94.13583
285,30.08786,-94.13584
286,30.08865,-94.13587
287,30.08931,-94.13587
288,30.09111,-94.13579
289,30.09123,-94.13578
290,30.09388,-94.13582
291,30.09625,-94.13591
292,30.09723,-94.13593
293,30.09777,-94.13596
294,30.0983,-94.13603
295,30.09901,-94.13617
296,30.09929,-94.13621
297,30.09972,-94.1363
298,30.10004,-94.13634
299,30.10136,-94.13651
300,30.10223,-94.13657
301,30.1025,-94.13657
302,30.10373,-94.13661
303,30.10436,-94.13661
304,30.10448,-94.13661
305,30.10465,-94.13661
306,30.10498,-94.13663
307,30.10595,-94.13664
308,30.10628,-94.13665
309,30.10698,-94.13673
310,30.10737,-94.13682
311,30.10775,-94.13692
312,30.10812,-94.13705
313,30.10864,-94.13724
314,30.10921,-94.13754
315,30.10952,-94.13772
316,30.10984,-94.13793
317,30.11033,-94.13829
318,30.11081,-94.13871
319,30.11105,-94.13894
320,30.11122,-94.13911
321,30.11138,-94.13928
322,30.1169,-94.14488
323,30.11708,-94.14507
324,30.12335,-94.15143
325,30.12358,-94.15168
326,30.12379,-94.15192
327,30.12405,-94.15225
328,30.12443,-94.15277
329,30.1247,-94.15318
330,30.12497,-94.15362
331,30.12517,-94.15401
332,30.12587,-94.15544
333,30.12607,-94.15588
334,30.12664,-94.15703
335,30.12667,-94.15708
336,30.12673,-94.15723
337,30.12826,-94.16038
338,30.12857,-94.16096
339,30.12892,-94.16155
340,30.1292,-94.162
341,30.12963,-94.16263
342,30.12994,-94.16305
343,30.13654,-94.17121
344,30.137,-94.17176
345,30.13741,-94.17219
346,30.13799,-94.17277
347,30.13841,-94.17314
348,30.13892,-94.17357
349,30.13989,-94.17431
350,30.14009,-94.1745
351,30.14121,-94.17541
352,30.14329,-94.17703
353,30.14403,-94.17753
354,30.14435,-94.17773
355,30.14469,-94.17792
356,30.14484,-94.17801
357,30.14511,-94.17816
358,30.14546,-94.17834
359,30.14602,-94.1786
360,30.14634,-94.17874
361,30.14684,-94.17893
362,30.14755,-94.17918
363,30.14845,-94.17941
364,30.15227,-94.1803
365,30.15263,-94.18039
366,30.15296,-94.18046
367,30.15298,-94.18047
368,30.15393,-94.1807
369,30.16932,-94.18423
370,30.17173,-94.1848
371,30.17217,-94.18489
372,30.1735,-94.18519
373,30.17487,-94.1855
374,30.17577,-94.18567
375,30.1767,-94.18581
376,30.1826,-94.18658
377,30.1844,-94.1868
378,30.18508,-94.18692
379,30.18577,-94.18707
380,30.18628,-94.18723
381,30.1868,-94.1874
382,30.18685,-94.18742
383,30.18706,-94.18748
384,30.18729,-94.18758
385,30.18745,-94.18764
386,30.18766,-94.18773
387,30.18825,-94.18798
388,30.18829,-94.18798
389,30.19202,-94.18948
390,30.19223,-94.18958
391,30.19264,-94.18975
392,30.19295,-94.18987
393,30.19309,-94.18992
394,30.19325,-94.18999
395,30.19436,-94.19033
396,30.19484,-94.19045
397,30.19544,-94.19058
398,30.19566,-94.19061
399,30.19586,-94.19064
400,30.19633,-94.19071
401,30.19707,-94.19078
402,30.19775,-94.1908
403,30.19965,-94.19081
404,30.19994,-94.1908
405,30.20224,-94.1908
406,30.20304,-94.19081
407,30.20636,-94.19083
408,30.20645,-94.19081
409,30.20705,-94.19081
410,30.20733,-94.19083
411,30.20741,-94.19083
412,30.20752,-94.19083
413,30.20797,-94.19088
414,30.20886,-94.19098
415,30.21063,-94.19127
416,30.21091,-94.19131
417,30.2118,-94.19145
418,30.21245,-94.19156
419,30.2132,-94.19167
420,30.21328,-94.19168
421,30.21358,-94.19174
422,30.21395,-94.19179
423,30.21485,-94.19193
424,30.21524,-94.192
425,30.21955,-94.19266
426,30.22032,-94.19274
427,30.22045,-94.1928
428,30.2205,-94.19283
429,30.22062,-94.19286
430,30.22094,-94.19291
431,30.22114,-94.19292
432,30.22133,-94.19296
433,30.22179,-94.19307
434,30.22203,-94.19314
435,30.2223,-94.19325
436,30.22269,-94.19342
437,30.22312,-94.19368
438,30.22346,-94.1939
439,30.22361,-94.19404
440,30.22387,-94.19426
441,30.22396,-94.19436
442,30.22421,-94.19463
443,30.22436,-94.19481
444,30.22456,-94.19507
445,30.22463,-94.19517
446,30.22476,-94.19537
447,30.2249,-94.1956
448,30.22525,-94.1962
449,30.22559,-94.19674
450,30.22572,-94.19691
451,30.2258,-94.197
452,30.22597,-94.1972
453,30.22605,-94.19728
454,30.22616,-94.19741
455,30.22624,-94.19748
456,30.2263,-94.19754
457,30.22661,-94.19781
458,30.22699,-94.19819
459,30.22757,-94.1988
460,30.22779,-94.19906
461,30.22781,-94.19909
462,30.22819,-94.19947
463,30.22831,-94.19956
464,30.22847,-94.19971
465,30.22856,-94.19983
466,30.22886,-94.20012
467,30.23025,-94.20138
468,30.2311,-94.20213
469,30.23132,-94.20229
470,30.23141,-94.20236
471,30.2315,-94.20242
472,30.23155,-94.20246
473,30.23163,-94.20252
474,30.23743,-94.20592
475,30.2377,-94.20607
476,30.23816,-94.20635
477,30.2393,-94.20702
478,30.24083,-94.20798
479,30.24119,-94.20822
480,30.24249,-94.20898
481,30.24287,-94.20919
482,30.2431,-94.20933
483,30.24314,-94.20935
484,30.24346,-94.20953
485,30.24358,-94.20959
486,30.24372,-94.20967
487,30.24402,-94.20981
488,30.24429,-94.20997
489,30.24454,-94.2101
490,30.2454,-94.21059
491,30.24653,-94.21126
492,30.24656,-94.21127
493,30.24685,-94.21144
494,30.24699,-94.21153
495,30.24828,-94.21228
496,30.24834,-94.21232
497,30.24851,-94.21241
498,30.24857,-94.21245
499,30.25532,-94.21641
500,30.25538,-94.21643
501,30.25613,-94.21689
502,30.25995,-94.21912
503,30.26031,-94.21934
504,30.26267,-94.22071
505,30.26293,-94.22087
506,30.27185,-94.2261
507,30.27187,-94.22612
508,30.27195,-94.22615
509,30.27198,-94.22618
510,30.28729,-94.23517
511,30.28746,-94.23527
512,30.2875,-94.2353
513,30.29603,-94.2403
514,30.29607,-94.24033
515,30.29622,-94.24041
516,30.29626,-94.24044
517,30.29935,-94.24226
518,30.29948,-94.24233
519,30.32405,-94.25677
520,30.32491,-94.25729
521,30.32531,-94.25757
522,30.32548,-94.2577
523,30.32586,-94.25803
524,30.32602,-94.25818
525,30.32619,-94.25834
526,30.32633,-94.25851
527,30.3265,-94.25868
528,30.32679,-94.25902
529,30.32689,-94.25917
530,30.32931,-94.2626
531,30.32938,-94.26269
532,30.33449,-94.27002
533,30.33618,-94.27239
534,30.33687,-94.27343
535,30.33896,-94.27639
536,30.33904,-94.27646
537,30.33906,-94.27648
538,30.33906,-94.27649
539,30.33911,-94.27655
540,30.33987,-94.27764
541,30.34012,-94.27799
542,30.34022,-94.27814
543,30.34028,-94.27824
544,30.34101,-94.27929
545,30.3415,-94.27999
546,30.34161,-94.28017
547,30.342,-94.28075
548,30.34322,-94.28246
549,30.34334,-94.28265
550,30.34863,-94.29019
551,30.34906,-94.29076
552,30.34914,-94.29085
553,30.34929,-94.29104
554,30.3495,-94.29129
555,30.34976,-94.29158
556,30.35049,-94.29234
557,30.35665,-94.29846
558,30.35669,-94.29852
559,30.35671,-94.29853
560,30.35672,-94.29855
561,30.35673,-94.29857
562,30.35673,-94.29858
563,30.35675,-94.29868
564,30.35707,-94.29898
565,30.36207,-94.30394
566,30.36288,-94.30475
567,30.36332,-94.30519
568,30.36554,-94.30743
569,30.36583,-94.3077
570,30.36609,-94.30798
571,30.36735,-94.30921
572,30.3685,-94.31036
573,30.36852,-94.31041
574,30.36859,-94.31041
575,30.36861,-94.31041
576,30.36865,-94.31046
577,30.3689,-94.3108
578,30.36898,-94.31092
579,30.36905,-94.31101
580,30.36931,-94.3114
581,30.36952,-94.31169
582,30.36958,-94.31175
583,30.36996,-94.31224
584,30.37007,-94.31235
585,30.37015,-94.31242
586,30.37032,-94.31253
587,30.3704,-94.31264
588,30.37072,-94.3128
589,30.37095,-94.31288
590,30.37123,-94.31296
591,30.37346,-94.31347
592,30.37498,-94.31372
593,30.37599,-94.31393
594,30.37622,-94.31398
595,30.37704,-94.31422
596,30.37997,-94.31515
597,30.38016,-94.31521
598,30.38047,-94.31532
599,30.38082,-94.31546
600,30.38095,-94.31543
601,30.38133,-94.31568
602,30.38141,-94.31574
603,30.38147,-94.31578
604,30.38165,-94.31592
605,30.3819,-94.31615
606,30.38199,-94.31625
607,30.38207,-94.31634
608,30.38222,-94.31653
609,30.3825,-94.31695
610,30.38252,-94.31698
611,30.38261,-94.31713
612,30.38356,-94.31879
613,30.38436,-94.32013
614,30.38438,-94.32019
615,30.38677,-94.32435
616,30.38685,-94.32447
617,30.38709,-94.3249
618,30.38736,-94.32535
619,30.38742,-94.32545
620,30.38756,-94.32566
621,30.38777,-94.32595
622,30.38798,-94.32623
623,30.38807,-94.32632
624,30.38815,-94.32642
625,30.38834,-94.32662
626,30.3884,-94.32669
627,30.39426,-94.33268
628,30.39433,-94.33274
629,30.39476,-94.33319
630,30.39535,-94.33378
631,30.39571,-94.33416
632,30.39576,-94.3342
633,30.39638,-94.33484
634,30.39747,-94.33586
635,30.39771,-94.33607
636,30.40464,-94.34189
637,30.40559,-94.34276
638,30.4061,-94.34325
639,30.4066,-94.34375
640,30.40717,-94.34435
641,30.40765,-94.34488
642,30.4102,-94.34778
643,30.4105,-94.34814
644,30.41061,-94.34824
645,30.41934,-94.35823
646,30.42029,-94.3593
647,30.42042,-94.35943
648,30.42073,-94.35975
649,30.42959,-94.36878
650,30.43005,-94.36927
651,30.4302,-94.36945
652,30.43028,-94.36955
653,30.4315,-94.37119
654,30.43158,-94.37128
655,30.43189,-94.37164
656,30.43206,-94.37182
657,30.43583,-94.37564
658,30.43599,-94.37582
659,30.43691,-94.37674
660,30.43739,-94.37723
661,30.43808,-94.37793
662,30.43865,-94.37852
663,30.44088,-94.38077
664,30.44114,-94.38102
665,30.44132,-94.38118
666,30.44194,-94.3817
667,30.44267,-94.38226
668,30.44283,-94.38239
669,30.44286,-94.3824
670,30.44305,-94.38254
671,30.44343,-94.38278
672,30.44422,-94.38324
673,30.44463,-94.38346
674,30.44554,-94.38388
675,30.44585,-94.38401
676,30.44628,-94.38417
677,30.44891,-94.38507
678,30.45715,-94.38783
679,30.45856,-94.38831
680,30.4587,-94.38836
681,30.46057,-94.38899
682,30.4623,-94.38955
683,30.46258,-94.38965
684,30.47267,-94.39282
685,30.47377,-94.39318
686,30.47554,-94.39371
687,30.4757,-94.39377
688,30.47626,-94.39393
689,30.47638,-94.39396
690,30.47648,-94.39398
691,30.47662,-94.39402
692,30.47683,-94.39406
693,30.47722,-94.39413
694,30.47989,-94.39455
695,30.48081,-94.39466
696,30.48221,-94.39488
697,30.48301,-94.39502
698,30.48321,-94.39506
699,30.48337,-94.39508
700,30.48728,-94.39568
701,30.48849,-94.39596
702,30.48855,-94.39597
703,30.49237,-94.39689
704,30.4957,-94.39754
705,30.49624,-94.39766
706,30.49727,-94.39786
707,30.49735,-94.39782
708,30.49753,-94.39786
709,30.4978,-94.39791
710,30.49848,-94.39807
711,30.4986,-94.39808
712,30.4991,-94.3982
713,30.49918,-94.39824
714,30.49925,-94.39825
715,30.50395,-94.39918
716,30.50409,-94.39922
717,30.50446,-94.39928
718,30.50483,-94.39935
719,30.505,-94.39935
720,30.5056,-94.39941
721,30.50611,-94.39945
722,30.50781,-94.39955
723,30.50798,-94.39958
724,30.50814,-94.39959
725,30.50832,-94.39959
726,30.50838,-94.3996
727,30.50903,-94.39962
728,30.50924,-94.39962
729,30.52188,-94.39995
730,30.54188,-94.39992
731,30.54248,-94.3999
732,30.54288,-94.39992
733,30.55074,-94.39995
734,30.55133,-94.39996
735,30.55148,-94.39994
736,30.55356,-94.3999
737,30.55416,-94.3999
738,30.5544,-94.39994
739,30.55492,-94.39992
740,30.5561,-94.39996
741,30.55639,-94.39996
742,30.55666,-94.39998
743,30.56628,-94.40002
744,30.56719,-94.40007
745,30.56769,-94.40012
746,30.56797,-94.40013
747,30.57053,-94.4003
748,30.57074,-94.40031
749,30.57198,-94.4004
750,30.5726,-94.40045
751,30.57314,-94.40048
752,30.57506,-94.40062
753,30.57517,-94.4006
754,30.57838,-94.4008
755,30.57847,-94.4008
756,30.57987,-94.40093
757,30.58008,-94.40094
758,30.58029,-94.40098
759,30.58043,-94.40103
760,30.5807,-94.40103
761,30.58202,-94.40111
762,30.58219,-94.40108
763,30.58473,-94.40126
764,30.58501,-94.40129
765,30.59635,-94.40208
766,30.5969,-94.40213
767,30.59946,-94.40228
768,30.60242,-94.4025
769,30.60386,-94.40258
770,30.60414,-94.40259
771,30.60456,-94.40259
772,30.60477,-94.40257
773,30.60499,-94.40254
774,30.60534,-94.40246
775,30.60614,-94.40227
776,30.60617,-94.40227
777,30.60663,-94.40218
778,30.60695,-94.40213
779,30.60724,-94.40213
780,30.60739,-94.40213
781,30.60797,-94.40218
782,30.60799,-94.4022
783,30.6084,-94.40228
784,30.60876,-94.40242
785,30.60893,-94.40251
786,30.6092,-94.40263
787,30.60932,-94.40272
788,30.60945,-94.4028
789,30.60984,-94.40308
790,30.61011,-94.40333
791,30.61044,-94.40367
792,30.61063,-94.40391
