,Latitude,Longitude
0,35.918,-82.91304
1,35.91781,-82.91164
2,35.91782,-82.91068
3,35.91794,-82.91013
4,35.91815,-82.90957
5,35.91895,-82.90814
6,35.91913,-82.9077
7,35.91922,-82.90721
8,35.91922,-82.90674
9,35.91915,-82.90628
10,35.91902,-82.9059
11,35.91875,-82.90544
12,35.91852,-82.9052
13,35.91834,-82.90505
14,35.91771,-82.90464
15,35.91739,-82.90437
16,35.91713,-82.90405
17,35.917,-82.90384
18,35.91679,-82.90337
19,35.91606,-82.90149
20,35.91569,-82.90088
21,35.91536,-82.90044
22,35.91124,-82.8963
23,35.91087,-82.89584
24,35.91068,-82.89542
25,35.91057,-82.89485
26,35.91059,-82.89438
27,35.91066,-82.89404
28,35.91085,-82.89343
29,35.91104,-82.89261
30,35.91103,-82.89211
31,35.91095,-82.89169
32,35.91085,-82.89143
33,35.91074,-82.89122
34,35.91037,-82.89075
35,35.90768,-82.88839
36,35.90718,-82.88775
37,35.90464,-82.88292
38,35.90417,-82.88186
39,35.90403,-82.8814
40,35.90387,-82.88056
41,35.90385,-82.88014
42,35.90386,-82.8795
43,35.904,-82.87858
44,35.90423,-82.87786
45,35.90446,-82.87735
46,35.90538,-82.87588
47,35.90565,-82.87517
48,35.90576,-82.8745
49,35.90576,-82.87375
50,35.90547,-82.8703
51,35.90539,-82.86977
52,35.90521,-82.86919
53,35.90496,-82.86874
54,35.90478,-82.86849
55,35.90453,-82.86824
56,35.90351,-82.86738
57,35.90274,-82.86668
58,35.9022,-82.86624
59,35.9015,-82.86578
60,35.901,-82.86537
61,35.90063,-82.86499
62,35.90023,-82.86448
63,35.89973,-82.86361
64,35.89942,-82.86282
65,35.89925,-82.86215
66,35.89913,-82.86123
67,35.89911,-82.8604
68,35.89915,-82.86003
69,35.89938,-82.85894
70,35.90012,-82.8567
71,35.90043,-82.85549
72,35.90052,-82.85494
73,35.90059,-82.85384
74,35.90053,-82.85188
75,35.90058,-82.85092
76,35.90071,-82.85029
77,35.90107,-82.84934
78,35.90141,-82.84811
79,35.90147,-82.84766
80,35.90141,-82.84701
81,35.9013,-82.84664
82,35.90121,-82.84646
83,35.90089,-82.84604
84,35.90072,-82.84589
85,35.89907,-82.84481
86,35.89878,-82.84456
87,35.89853,-82.84424
88,35.89815,-82.84335
89,35.89779,-82.84266
90,35.89738,-82.84195
91,35.89673,-82.84095
92,35.89588,-82.8395
93,35.89566,-82.83894
94,35.89536,-82.83785
95,35.89523,-82.8376
96,35.89502,-82.8373
97,35.89484,-82.83713
98,35.89437,-82.83678
99,35.89406,-82.8365
100,35.89386,-82.8362
101,35.89328,-82.83483
102,35.89315,-82.83459
103,35.89229,-82.8336
104,35.89126,-82.83249
105,35.89115,-82.83232
106,35.89111,-82.83206
107,35.89119,-82.8318
108,35.89131,-82.83162
109,35.89167,-82.83129
110,35.89277,-82.83064
111,35.89293,-82.83048
112,35.89298,-82.83036
113,35.89295,-82.8301
114,35.89279,-82.82992
115,35.89218,-82.82967
116,35.8919,-82.82931
117,35.89327,-82.82622
118,35.89357,-82.82545
119,35.89367,-82.8249
120,35.8937,-82.82441
121,35.89358,-82.82186
122,35.8935,-82.82136
123,35.89326,-82.82069
124,35.89316,-82.82027
125,35.89313,-82.8197
126,35.89325,-82.81875
127,35.89322,-82.81842
128,35.89302,-82.81771
129,35.89243,-82.81592
130,35.89204,-82.81514
131,35.89176,-82.8147
132,35.89058,-82.8132
133,35.89029,-82.81268
134,35.89019,-82.81234
135,35.89014,-82.812
136,35.89016,-82.81091
