,Latitude,Longitude
0,30.5442309,-91.8103454
1,30.5442095,-91.8106267
2,30.5442285,-91.8108914
3,30.5442736,-91.8111506
4,30.5443852,-91.811487
5,30.5445961,-91.8119136
6,30.544865,-91.8123308
7,30.5450549,-91.8125624
8,30.5453043,-91.8128051
9,30.5466516,-91.8139836
10,30.5469147,-91.814217
11,30.5472899,-91.8145499
12,30.547564,-91.8147931
13,30.548061,-91.815234
14,30.548364,-91.815489
15,30.548962,-91.816013
16,30.549251,-91.816273
17,30.549854,-91.816794
18,30.551632,-91.818355
19,30.551922,-91.818615
20,30.552218,-91.818873
21,30.552819,-91.819408
22,30.554609,-91.820977
23,30.554646,-91.821006
24,30.554913,-91.821237
25,30.561217,-91.826783
26,30.56135,-91.8269
27,30.562042,-91.827509
28,30.562641,-91.828028
29,30.563233,-91.828558
30,30.563834,-91.829081
31,30.5652667,-91.8303282
32,30.5658376,-91.8308251
33,30.5661142,-91.8310708
34,30.567401,-91.832214
35,30.567994,-91.832731
36,30.568583,-91.833254
37,30.56978,-91.8343
38,30.571576,-91.835879
39,30.572584,-91.836773
40,30.572752,-91.836921
41,30.57335,-91.837442
42,30.575125,-91.839011
43,30.575728,-91.839535
44,30.576318,-91.840061
45,30.582861,-91.84581
46,30.583451,-91.846322
47,30.585695,-91.848303
48,30.586431,-91.848952
49,30.590588,-91.8526
50,30.591278,-91.853209
51,30.592372,-91.854174
52,30.59297,-91.854693
53,30.593572,-91.855231
54,30.594161,-91.85574
55,30.596537,-91.857831
56,30.597134,-91.858362
57,30.59832,-91.859401
58,30.599515,-91.860459
59,30.59961,-91.8605426
60,30.608737,-91.868572
61,30.611125,-91.870666
62,30.611363,-91.870867
63,30.611874,-91.871305
64,30.612462,-91.871828
65,30.614122,-91.873288
66,30.614731,-91.873808
67,30.615011,-91.874047
68,30.615586,-91.874576
69,30.617973,-91.876667
70,30.6195,-91.878014
71,30.6197668,-91.8782709
72,30.6200868,-91.878569
73,30.6219708,-91.8802257
74,30.6227359,-91.8808955
75,30.6253,-91.883125
76,30.625898,-91.88366
77,30.628867,-91.886265
78,30.62946,-91.886792
79,30.630652,-91.887838
80,30.63124,-91.888365
81,30.631835,-91.888888
82,30.632436,-91.889406
83,30.633034,-91.88994
84,30.636608,-91.89308
85,30.637205,-91.893614
86,30.637793,-91.894126
87,30.638394,-91.894658
88,30.638984,-91.895168
89,30.640153,-91.896208
90,30.640423,-91.896439
91,30.640721,-91.896694
92,30.642242,-91.898047
93,30.656173,-91.910313
94,30.66482,-91.917926
95,30.66541,-91.918451
96,30.666,-91.918963
97,30.668977,-91.921589
98,30.669247,-91.921833
99,30.669574,-91.922112
100,30.670106,-91.92258
101,30.670964,-91.923332
102,30.67134,-91.923663
103,30.671822,-91.92409
104,30.672196,-91.924423
105,30.672827,-91.924982
106,30.673056,-91.925176
107,30.673258,-91.925367
108,30.673848,-91.925884
109,30.674435,-91.926408
110,30.675022,-91.926916
111,30.676217,-91.927974
112,30.676359,-91.928095
113,30.677123,-91.928746
114,30.679052,-91.930447
115,30.68339,-91.934272
116,30.68356,-91.934426
117,30.684279,-91.935053
118,30.684338,-91.935102
119,30.684971,-91.935665
120,30.692218,-91.942057
121,30.692354,-91.942186
122,30.692519,-91.942323
123,30.693616,-91.94329
124,30.693823,-91.943478
125,30.694831,-91.944371
126,30.696619,-91.945944
127,30.697219,-91.946463
128,30.698141,-91.947284
129,30.698292,-91.947419
130,30.702323,-91.950973
131,30.704025,-91.95248
132,30.704093,-91.952532
133,30.704149,-91.952567
134,30.704332,-91.952743
135,30.707593,-91.955623
136,30.708798,-91.956677
137,30.712311,-91.959784
138,30.713315,-91.960669
139,30.715286,-91.962406
140,30.715951,-91.962988
141,30.724969,-91.970952
142,30.725702,-91.971602
143,30.725843,-91.971717
144,30.726064,-91.971899
145,30.727074,-91.972792
146,30.727677,-91.973317
147,30.729334,-91.974777
148,30.729451,-91.97488
149,30.730082,-91.975408
150,30.730379,-91.975689
151,30.730559,-91.975825
152,30.730605,-91.975866
153,30.730766,-91.976034
154,30.730975,-91.976283
155,30.731077,-91.976415
156,30.731203,-91.976591
157,30.731288,-91.976731
158,30.731841,-91.977852
159,30.731951,-91.978167
160,30.732324,-91.979093
161,30.732389,-91.979247
162,30.732452,-91.979414
163,30.732526,-91.979574
164,30.732593,-91.979736
165,30.732881,-91.980345
166,30.733181,-91.980943
167,30.733528,-91.981606
168,30.734137,-91.982704
169,30.734286,-91.982963
170,30.734399,-91.983153
171,30.734571,-91.983443
172,30.734638,-91.983552
173,30.734788,-91.983795
174,30.735233,-91.984491
175,30.735696,-91.985174
176,30.735932,-91.985512
177,30.736415,-91.986177
178,30.736915,-91.986828
179,30.737166,-91.987146
180,30.737679,-91.987769
181,30.737943,-91.988081
182,30.738481,-91.988692
183,30.73881,-91.989062
184,30.741707,-91.992312
185,30.743938,-91.994815
186,30.745477,-91.996541
187,30.7462671,-91.9974417
188,30.747918,-91.999271
189,30.749529,-92.001079
190,30.750817,-92.002514
191,30.750949,-92.002656
192,30.75309,-92.005056
193,30.7533,-92.005304
194,30.753436,-92.005453
195,30.753633,-92.005667
196,30.75439,-92.006535
197,30.754698,-92.006906
198,30.755075,-92.007385
199,30.755218,-92.007591
200,30.755523,-92.007966
201,30.755892,-92.008393
202,30.756218,-92.008749
203,30.756609,-92.009148
204,30.757242,-92.009753
205,30.757692,-92.010214
206,30.758393,-92.010993
207,30.760534,-92.013402
208,30.761794,-92.014812
209,30.76214,-92.0152
210,30.762666,-92.01581
211,30.763495,-92.0168
212,30.763702,-92.017048
213,30.765835,-92.019462
214,30.766909,-92.020661
215,30.769044,-92.023065
216,30.769413,-92.023477
217,30.770061,-92.024199
218,30.770538,-92.02475
219,30.770734,-92.024951
220,30.771699,-92.026036
221,30.772231,-92.026641
222,30.772778,-92.027202
223,30.773155,-92.027617
224,30.773211,-92.027671
225,30.773597,-92.028076
226,30.773863,-92.028381
227,30.774023,-92.028556
228,30.774157,-92.028711
229,30.774256,-92.028814
230,30.775371,-92.030076
231,30.77562,-92.030367
232,30.775758,-92.030515
233,30.777093,-92.032014
234,30.777231,-92.032193
235,30.777442,-92.032435
236,30.777553,-92.032547
237,30.777824,-92.032841
238,30.779437,-92.034646
239,30.779969,-92.035253
240,30.780508,-92.035851
241,30.781579,-92.037055
242,30.782113,-92.037662
243,30.782135,-92.037686
244,30.782837,-92.038461
245,30.784168,-92.03993
246,30.784486,-92.040288
247,30.784584,-92.040403
248,30.784643,-92.040472
249,30.784705,-92.040537
250,30.784959,-92.040854
251,30.7851421,-92.041047
252,30.785464,-92.04144
253,30.785997,-92.042043
254,30.786533,-92.042636
255,30.787759,-92.044015
256,30.787892,-92.044173
257,30.788057,-92.044353
258,30.788966,-92.045378
259,30.792189,-92.04899
260,30.793793,-92.050796
261,30.795352,-92.052544
262,30.797338,-92.054774
263,30.800213,-92.058007
264,30.800266,-92.058072
265,30.800452,-92.058278
266,30.803587,-92.061804
267,30.806223,-92.06477
268,30.808398,-92.067216
269,30.809258,-92.06816
270,30.809494,-92.068419
271,30.809813,-92.06876
272,30.810319,-92.069302
273,30.810598,-92.069587
274,30.81088,-92.069867
275,30.81145,-92.070421
276,30.811742,-92.070695
277,30.812335,-92.071228
278,30.812633,-92.071488
279,30.813245,-92.071997
280,30.813549,-92.072242
281,30.816214,-92.074346
282,30.819131,-92.07665
283,30.82006,-92.077399
284,30.820488,-92.077753
285,30.820668,-92.077907
286,30.820839,-92.078071
287,30.821002,-92.078249
288,30.821155,-92.078438
289,30.821298,-92.078636
290,30.82139,-92.078771
291,30.821838,-92.079469
292,30.821931,-92.079607
293,30.822028,-92.07974
294,30.82213,-92.07987
295,30.822236,-92.079994
296,30.822347,-92.080111
297,30.822461,-92.080222
298,30.82264,-92.080378
299,30.822689,-92.080417
300,30.823099,-92.08074
301,30.824219,-92.081621
302,30.824836,-92.082099
303,30.825464,-92.082567
304,30.825964,-92.082932
305,30.826489,-92.083314
306,30.827169,-92.083807
307,30.827427,-92.083997
308,30.827682,-92.084176
309,30.827946,-92.084337
310,30.828223,-92.084466
311,30.828509,-92.084565
312,30.828942,-92.084687
313,30.829226,-92.084793
314,30.829433,-92.084891
315,30.829697,-92.085049
316,30.830072,-92.085331
317,30.830321,-92.085524
318,30.830581,-92.085718
319,30.831937,-92.086791
320,30.832015,-92.086862
321,30.832127,-92.086939
322,30.832245,-92.087037
323,30.834465,-92.088787
324,30.835153,-92.08933
325,30.841182,-92.094107
326,30.84173,-92.09455
327,30.841878,-92.094674
328,30.842083,-92.094829
329,30.842711,-92.095323
330,30.843299,-92.095787
