,Latitude,Longitude
0,32.5008203,-93.6934784
1,32.5004486,-93.6932442
2,32.5003048,-93.6931458
3,32.4997836,-93.6927894
4,32.4993406,-93.692502
5,32.4989712,-93.6922452
6,32.4988134,-93.6921213
7,32.4985869,-93.6919434
8,32.4985213,-93.6918918
9,32.4984316,-93.6918214
10,32.4979323,-93.6914292
11,32.4978083,-93.6913265
12,32.4975315,-93.6911115
13,32.4967661,-93.6905172
14,32.496307,-93.6901369
15,32.4960853,-93.6899365
16,32.4960164,-93.6898705
17,32.4959601,-93.689798
18,32.4959314,-93.6897125
