,Latitude,Longitude
0,44.9351756,-95.0438109
1,44.9352102,-95.0437732
2,44.9352492,-95.0437449
3,44.935291,-95.0437269
4,44.9353345,-95.0437197
5,44.9353782,-95.0437237
6,44.9354206,-95.0437386
7,44.9354605,-95.043764
8,44.9354966,-95.0437991
9,44.9355138,-95.0438214
10,44.9355412,-95.0438682
11,44.9355625,-95.043921
12,44.9355768,-95.0439783
13,44.9355837,-95.0440382
14,44.9355831,-95.0440989
15,44.9355749,-95.0441586
16,44.9355595,-95.0442153
17,44.9355372,-95.0442672
18,44.935502,-95.0443217
19,44.9354635,-95.0443609
20,44.9354204,-95.0443889
21,44.9353743,-95.0444045
22,44.9353269,-95.0444072
23,44.93528,-95.0443969
24,44.9352355,-95.0443739
25,44.9351949,-95.0443392
26,44.9351599,-95.044294
27,44.9351317,-95.0442402
28,44.9351115,-95.0441797
29,44.9351,-95.0441148
30,44.9350975,-95.044048
31,44.9351043,-95.0439817
32,44.93512,-95.0439186
33,44.9351351,-95.0438794
34,44.9351538,-95.0438433
35,44.9351756,-95.0438109
