,Latitude,Longitude
0,47.4963159,-94.9138702
1,47.496539,-94.9137414
2,47.4967545,-94.9136147
3,47.4972411,-94.9133658
4,47.4975074,-94.913211
5,47.4977148,-94.9130789
6,47.4979221,-94.9129336
7,47.4981806,-94.9127276
8,47.4984208,-94.9124939
9,47.4986627,-94.9122339
10,47.4989149,-94.9119247
11,47.4990551,-94.9117473
12,47.4992158,-94.9115244
13,47.500069,-94.9103438
14,47.5006283,-94.9095676
15,47.5008848,-94.9092199
16,47.5010998,-94.9089329
17,47.5013559,-94.9086268
18,47.5019054,-94.9080414
19,47.5022112,-94.9077973
20,47.5024799,-94.9075874
21,47.5027781,-94.9073779
22,47.5030154,-94.90721
23,47.5033415,-94.9069975
24,47.5035822,-94.9068471
25,47.503833,-94.906724
26,47.5040339,-94.9066524
27,47.5042713,-94.906584
28,47.5044963,-94.9065415
