,Latitude,Longitude
0,39.09677,-94.88171
1,39.09856,-94.88171
2,39.0999,-94.88176
3,39.1015,-94.88176
4,39.10276,-94.88176
5,39.10327,-94.88182
6,39.10373,-94.88196
7,39.10416,-94.88215
8,39.10462,-94.88243
9,39.10501,-94.88277
10,39.10545,-94.88323
11,39.11002,-94.88829
12,39.1117,-94.89018
13,39.11958,-94.89892
14,39.12063,-94.89996
15,39.1217,-94.9007
16,39.12282,-94.90114
17,39.12381,-94.90128
18,39.13209,-94.90107
19,39.13332,-94.90094
20,39.13476,-94.90066
21,39.13688,-94.90018
22,39.13802,-94.89999
23,39.13929,-94.89993
24,39.14062,-94.89999
25,39.1421,-94.90023
26,39.14502,-94.90073
27,39.14657,-94.90082
28,39.15787,-94.90066
29,39.18693,-94.90039
30,39.23452,-94.9001
31,39.23829,-94.90017
32,39.24166,-94.90026
33,39.24388,-94.90023
34,39.24574,-94.90015
35,39.2478,-94.90005
36,39.24946,-94.90004
37,39.2562,-94.89998
38,39.26089,-94.89989
39,39.26695,-94.89984
40,39.27686,-94.89971
41,39.27754,-94.89973
42,39.27798,-94.89984
43,39.27848,-94.90009
44,39.27902,-94.90043
45,39.28131,-94.90195
46,39.28833,-94.9064
47,39.2889,-94.90671
48,39.28972,-94.90707
49,39.29416,-94.90884
50,39.29457,-94.90893
51,39.29492,-94.90896
52,39.30054,-94.90886
53,39.30235,-94.90886
54,39.30269,-94.90888
55,39.30304,-94.90897
56,39.3034,-94.90912
57,39.30545,-94.90997
58,39.30615,-94.91034
59,39.30702,-94.91076
60,39.30852,-94.91133
61,39.30982,-94.9119
62,39.31022,-94.91202
63,39.3164,-94.91341
64,39.32862,-94.91599
65,39.32852,-94.91712
66,39.32846,-94.91828
67,39.32771,-94.93547
68,39.32762,-94.93728
69,39.32758,-94.9384
70,39.32757,-94.93934
71,39.32759,-94.94017
72,39.32767,-94.94111
73,39.32848,-94.94971
74,39.3286,-94.95056
75,39.32887,-94.95151
76,39.32926,-94.95238
77,39.32974,-94.95321
78,39.33026,-94.95389
79,39.33071,-94.95435
80,39.33123,-94.95476
81,39.33257,-94.95577
82,39.33337,-94.95638
83,39.33445,-94.9571
84,39.33548,-94.95773
85,39.33662,-94.95848
86,39.33895,-94.96008
87,39.33968,-94.96053
88,39.34034,-94.96088
89,39.34103,-94.96113
90,39.34381,-94.96198
91,39.34441,-94.96222
92,39.34498,-94.96256
93,39.34552,-94.96298
94,39.34601,-94.96347
95,39.34656,-94.9642
96,39.34697,-94.96495
97,39.3474,-94.96592
98,39.35273,-94.9781
99,39.3531,-94.97906
100,39.35335,-94.97996
101,39.35353,-94.98082
102,39.35365,-94.98174
103,39.3537,-94.98261
104,39.35371,-94.98358
105,39.35366,-94.99028
106,39.35357,-95.00212
107,39.35362,-95.00308
108,39.35378,-95.00406
109,39.35401,-95.00491
110,39.35432,-95.00567
111,39.35475,-95.00643
112,39.3552,-95.00711
113,39.36091,-95.01463
114,39.36172,-95.01582
115,39.3621,-95.01661
116,39.36241,-95.0175
117,39.36261,-95.0185
118,39.36268,-95.0193
119,39.36271,-95.02025
120,39.36282,-95.0268
121,39.36287,-95.02786
122,39.36301,-95.02903
123,39.36318,-95.02998
124,39.36343,-95.03103
125,39.36476,-95.03603
126,39.36507,-95.03748
127,39.36526,-95.03865
128,39.36541,-95.03978
129,39.36572,-95.04246
130,39.36589,-95.04357
131,39.36614,-95.04474
132,39.36647,-95.04577
133,39.36688,-95.04681
134,39.36732,-95.04776
135,39.36794,-95.04887
136,39.36848,-95.04966
137,39.36926,-95.05059
138,39.37009,-95.05142
139,39.37081,-95.05203
140,39.37158,-95.05257
