,Latitude,Longitude
0,35.0376,-85.31125
1,35.03736,-85.31058
2,35.03723,-85.31025
3,35.03686,-85.30925
4,35.03663,-85.30864
5,35.03649,-85.30827
6,35.03629,-85.30773
7,35.03614,-85.30735
8,35.03611,-85.30726
9,35.03591,-85.30671
10,35.03581,-85.30646
11,35.03574,-85.30628
12,35.03559,-85.30592
13,35.03551,-85.30568
14,35.03538,-85.30532
15,35.03503,-85.30439
16,35.03482,-85.30385
17,35.03468,-85.30346
18,35.03433,-85.30256
19,35.03403,-85.30176
20,35.03399,-85.30165
21,35.03386,-85.30134
22,35.03377,-85.30109
23,35.03349,-85.30037
24,35.03338,-85.30008
25,35.03322,-85.29965
26,35.03296,-85.29896
27,35.03291,-85.29884
28,35.03288,-85.29875
29,35.03282,-85.29869
30,35.03275,-85.2985
31,35.03266,-85.29829
32,35.03258,-85.29809
33,35.03252,-85.29794
34,35.0325,-85.29789
35,35.03243,-85.29772
36,35.03242,-85.29769
37,35.0323,-85.29736
38,35.03222,-85.29717
39,35.03216,-85.29702
40,35.03211,-85.2969
41,35.03207,-85.29678
42,35.03191,-85.29635
43,35.03174,-85.29589
44,35.03165,-85.29564
45,35.03157,-85.2954
46,35.03154,-85.29519
47,35.03144,-85.29493
48,35.03126,-85.29446
49,35.03083,-85.29327
50,35.03064,-85.29277
51,35.03022,-85.2916
52,35.02964,-85.29
53,35.02955,-85.28976
54,35.02949,-85.28964
55,35.02946,-85.28958
56,35.02942,-85.28951
57,35.02919,-85.28891
58,35.02906,-85.28854
59,35.02893,-85.28818
60,35.02854,-85.28713
61,35.02846,-85.28688
62,35.02845,-85.28683
63,35.02839,-85.28657
64,35.02821,-85.28609
65,35.02804,-85.28563
66,35.02784,-85.28507
67,35.02763,-85.2845
68,35.02754,-85.28422
69,35.02733,-85.28362
70,35.02732,-85.28358
71,35.02714,-85.2831
72,35.02705,-85.28283
73,35.02697,-85.2826
74,35.02666,-85.28172
75,35.02656,-85.28146
76,35.02638,-85.28095
77,35.02627,-85.28062
78,35.02607,-85.28007
79,35.02583,-85.27938
80,35.02568,-85.27896
81,35.02544,-85.27828
82,35.02505,-85.27716
83,35.02464,-85.27608
84,35.02452,-85.27576
85,35.02401,-85.2744
86,35.02385,-85.27395
87,35.02351,-85.27304
88,35.02335,-85.27261
89,35.02301,-85.27169
90,35.02285,-85.27127
91,35.02242,-85.2701
92,35.02219,-85.2695
93,35.02076,-85.27048
94,35.02029,-85.2708
95,35.01986,-85.2711
96,35.01919,-85.27157
97,35.01803,-85.27222
98,35.01702,-85.27277
99,35.01681,-85.27289
100,35.01678,-85.27293
101,35.01654,-85.2731
102,35.01636,-85.27323
103,35.01627,-85.2733
104,35.01615,-85.27336
105,35.01594,-85.27348
106,35.01577,-85.27359
107,35.01569,-85.27363
108,35.01559,-85.27356
109,35.01542,-85.2734
110,35.01531,-85.2733
111,35.01522,-85.27322
112,35.01504,-85.27309
113,35.01486,-85.27296
114,35.01469,-85.27283
115,35.01451,-85.27271
116,35.01436,-85.27261
117,35.01433,-85.27258
118,35.01423,-85.27252
119,35.0142,-85.2725
120,35.01414,-85.27246
121,35.01402,-85.27241
122,35.01394,-85.27238
123,35.01382,-85.27235
124,35.01364,-85.27233
125,35.0135,-85.27236
126,35.01338,-85.27235
127,35.01318,-85.27234
128,35.01298,-85.27232
129,35.01281,-85.27234
130,35.01274,-85.27236
131,35.01264,-85.27236
132,35.01255,-85.27237
133,35.01247,-85.27237
134,35.01241,-85.27236
135,35.01216,-85.27231
136,35.01202,-85.27228
137,35.01189,-85.2722
138,35.01178,-85.27215
139,35.01162,-85.27207
140,35.01149,-85.272
141,35.01137,-85.27193
142,35.01125,-85.27184
143,35.01111,-85.27174
144,35.01098,-85.27166
145,35.01089,-85.27161
146,35.0108,-85.27157
147,35.0107,-85.27155
148,35.01061,-85.27154
149,35.01047,-85.27153
150,35.01031,-85.27154
151,35.01015,-85.27155
152,35.01002,-85.27158
153,35.00987,-85.2716
154,35.00979,-85.27165
155,35.00953,-85.2717
156,35.00952,-85.27171
157,35.00952,-85.27172
158,35.00951,-85.27174
159,35.00949,-85.27175
160,35.00948,-85.27175
161,35.00947,-85.27175
162,35.00944,-85.27175
163,35.00943,-85.27174
164,35.00941,-85.27174
165,35.00939,-85.27173
166,35.00939,-85.27172
167,35.00938,-85.27171
168,35.00937,-85.2717
169,35.00936,-85.27169
170,35.00935,-85.27167
171,35.00934,-85.27165
172,35.00934,-85.27163
173,35.00934,-85.27161
174,35.00934,-85.27159
175,35.00935,-85.27158
176,35.00937,-85.27155
177,35.00933,-85.27144
178,35.0093,-85.27131
179,35.00928,-85.27118
180,35.00926,-85.27107
181,35.00923,-85.26993
182,35.00922,-85.26979
183,35.00921,-85.26953
184,35.00916,-85.26901
185,35.00915,-85.26888
186,35.00898,-85.26759
187,35.00895,-85.26737
188,35.00893,-85.26722
189,35.00891,-85.26716
190,35.0089,-85.26711
191,35.00886,-85.26701
192,35.00878,-85.26687
193,35.00853,-85.26649
194,35.00849,-85.26643
195,35.00844,-85.26634
196,35.00843,-85.26631
197,35.00841,-85.26627
198,35.00838,-85.26621
199,35.00834,-85.2661
200,35.00831,-85.26601
201,35.00829,-85.26595
202,35.00825,-85.26576
203,35.00823,-85.26566
204,35.00822,-85.26558
205,35.00821,-85.26549
206,35.00819,-85.2651
207,35.00817,-85.26466
208,35.00813,-85.26432
209,35.00806,-85.26403
210,35.00807,-85.26402
211,35.00808,-85.26395
212,35.00805,-85.26387
213,35.00801,-85.26375
214,35.00796,-85.26363
215,35.00793,-85.26355
216,35.00792,-85.26355
217,35.00789,-85.26346
218,35.00782,-85.26334
219,35.00776,-85.26324
220,35.0077,-85.26314
221,35.00751,-85.26285
222,35.00734,-85.26266
223,35.00724,-85.26257
224,35.00716,-85.26249
225,35.00708,-85.26243
226,35.00701,-85.26237
227,35.00687,-85.26226
228,35.00673,-85.26215
229,35.00658,-85.26205
230,35.00627,-85.26184
231,35.00564,-85.26141
232,35.00548,-85.2613
233,35.00472,-85.26077
234,35.00444,-85.26057
235,35.00429,-85.26051
236,35.00393,-85.26027
237,35.00374,-85.26012
238,35.00342,-85.2599
239,35.00331,-85.25983
240,35.00316,-85.25973
241,35.00291,-85.25955
242,35.00287,-85.25952
243,35.00286,-85.25951
244,35.00279,-85.25942
245,35.00266,-85.25933
246,35.00224,-85.25903
247,35.00183,-85.25874
248,35.00179,-85.25874
249,35.00176,-85.25873
250,35.00122,-85.25836
251,35.00108,-85.25827
252,35.00078,-85.25802
253,35.00048,-85.25772
254,35.00046,-85.25771
255,35.00018,-85.25741
256,35.00013,-85.25731
257,35.00012,-85.25729
258,35.00011,-85.25728
259,35.00011,-85.25726
260,35.0001,-85.25724
261,34.99993,-85.25704
262,34.99974,-85.25682
263,34.9996,-85.25665
264,34.99954,-85.25656
265,34.99947,-85.25647
266,34.99945,-85.25644
267,34.99926,-85.25615
268,34.99907,-85.25583
269,34.9988,-85.25536
270,34.99859,-85.25493
