,Latitude,Longitude
0,25.8837,-97.4764
1,25.88614,-97.47638
2,25.88652,-97.47638
3,25.88761,-97.47638
4,25.88819,-97.47601
5,25.8885,-97.47579
6,25.88855,-97.47576
7,25.88859,-97.47574
8,25.88873,-97.47569
9,25.88883,-97.47566
10,25.88896,-97.47566
11,25.88913,-97.47566
12,25.88952,-97.47563
13,25.88967,-97.47562
14,25.88985,-97.4756
15,25.88993,-97.47561
16,25.88998,-97.47564
17,25.89004,-97.47569
18,25.89009,-97.47576
19,25.89013,-97.47584
20,25.89014,-97.47593
21,25.89014,-97.47648
22,25.89015,-97.47658
23,25.89017,-97.47667
24,25.89024,-97.4768
25,25.89036,-97.47694
26,25.89049,-97.47703
27,25.89072,-97.47718
28,25.89101,-97.47732
29,25.89135,-97.47744
30,25.89142,-97.47747
31,25.89166,-97.4775
32,25.89193,-97.47752
33,25.89202,-97.47752
34,25.8922,-97.47751
35,25.8925,-97.47751
36,25.89366,-97.47754
37,25.89477,-97.47754
38,25.89492,-97.47754
39,25.89506,-97.47754
40,25.89521,-97.47756
41,25.89543,-97.47754
42,25.89583,-97.47754
43,25.89629,-97.47757
44,25.89662,-97.47763
45,25.89683,-97.47766
46,25.89705,-97.47771
47,25.89758,-97.47786
48,25.89778,-97.47794
49,25.8979,-97.47797
50,25.898,-97.47802
51,25.8981,-97.47808
52,25.89818,-97.47812
53,25.89831,-97.4782
54,25.89839,-97.47824
55,25.89849,-97.4783
56,25.89858,-97.47836
57,25.89878,-97.47847
58,25.89886,-97.47854
59,25.89896,-97.4786
60,25.89914,-97.47874
61,25.89941,-97.47897
62,25.89953,-97.47909
63,25.9003,-97.47984
64,25.90067,-97.48023
65,25.90081,-97.48037
66,25.90095,-97.48051
67,25.90147,-97.48103
68,25.90182,-97.48136
69,25.90205,-97.48159
70,25.90216,-97.48171
71,25.90244,-97.48197
72,25.90288,-97.48231
73,25.90381,-97.48299
74,25.90453,-97.48353
75,25.90483,-97.4838
76,25.90552,-97.4845
77,25.90821,-97.48736
78,25.90847,-97.48759
79,25.90899,-97.48812
80,25.90961,-97.48865
81,25.91041,-97.48925
82,25.91078,-97.4895
83,25.91107,-97.48968
84,25.9113,-97.48981
85,25.91196,-97.49012
86,25.91222,-97.49024
87,25.91277,-97.49044
88,25.91306,-97.49053
89,25.91307,-97.49053
90,25.91324,-97.49057
91,25.91326,-97.49057
92,25.91343,-97.49061
93,25.91358,-97.49065
94,25.91417,-97.49078
95,25.91439,-97.49082
96,25.91515,-97.4909
97,25.91549,-97.49092
98,25.91585,-97.49092
99,25.91633,-97.4909
100,25.91739,-97.49081
101,25.91751,-97.49081
102,25.92026,-97.49057
103,25.92065,-97.49056
104,25.92159,-97.49057
105,25.92588,-97.49066
106,25.9264,-97.49073
107,25.92668,-97.49076
108,25.92693,-97.49082
109,25.92748,-97.49095
110,25.92796,-97.49112
111,25.92829,-97.49124
112,25.92893,-97.49154
113,25.9292,-97.49171
114,25.92942,-97.49184
115,25.92991,-97.49218
116,25.93053,-97.49269
117,25.93069,-97.49282
118,25.93072,-97.49285
119,25.93438,-97.49616
120,25.93477,-97.49648
121,25.94197,-97.50296
122,25.94233,-97.50321
123,25.9429,-97.50358
124,25.94355,-97.50391
125,25.94413,-97.50413
126,25.94475,-97.50431
127,25.94491,-97.50435
128,25.94525,-97.50442
129,25.94588,-97.50451
130,25.94766,-97.50469
131,25.94956,-97.50491
132,25.95161,-97.5051
133,25.95264,-97.50522
134,25.95306,-97.5053
135,25.95342,-97.50539
136,25.95383,-97.50552
137,25.95425,-97.50568
138,25.95457,-97.50582
139,25.95487,-97.50597
140,25.95581,-97.50649
141,25.96322,-97.51038
142,25.96406,-97.51079
143,25.96467,-97.5111
144,25.96515,-97.51132
145,25.9663,-97.51194
146,25.96686,-97.51224
147,25.96689,-97.51226
148,25.96826,-97.51297
149,25.9715,-97.51477
150,25.97187,-97.51496
151,25.97305,-97.51557
152,25.97342,-97.51575
153,25.979,-97.5181
154,25.98112,-97.51902
155,25.98185,-97.51928
156,25.98207,-97.51935
157,25.9827,-97.51952
158,25.98335,-97.51967
159,25.98403,-97.5198
160,25.98443,-97.51985
161,25.98466,-97.51988
162,25.98509,-97.51993
163,25.98633,-97.52
164,25.98692,-97.52005
165,25.98758,-97.52014
166,25.9884,-97.52027
167,25.98934,-97.52052
168,25.99001,-97.52074
169,25.99052,-97.52093
170,25.99102,-97.52114
171,25.9916,-97.5214
172,25.99212,-97.52166
173,25.99283,-97.52204
174,25.9931,-97.52221
175,25.99353,-97.52249
176,25.99424,-97.523
177,25.9965,-97.52473
178,25.99688,-97.52504
179,26.00124,-97.52845
180,26.00177,-97.52883
181,26.00204,-97.52898
182,26.00227,-97.52911
183,26.00237,-97.52916
184,26.00247,-97.52922
185,26.00255,-97.52927
186,26.00257,-97.52928
187,26.00306,-97.52948
188,26.0036,-97.52967
189,26.00425,-97.52984
190,26.00478,-97.52992
191,26.00525,-97.52996
192,26.00819,-97.53005
193,26.00905,-97.53006
194,26.00966,-97.5301
195,26.01518,-97.53021
196,26.01598,-97.53024
197,26.0166,-97.5303
198,26.01734,-97.53039
199,26.02027,-97.53093
200,26.02412,-97.53158
201,26.02439,-97.53163
202,26.02612,-97.53193
203,26.02696,-97.53216
204,26.02739,-97.53232
205,26.0279,-97.53255
206,26.028,-97.5326
207,26.02836,-97.53279
208,26.02889,-97.53308
209,26.02966,-97.53351
210,26.03054,-97.53398
211,26.03082,-97.53415
212,26.03121,-97.53442
213,26.03176,-97.53485
214,26.03208,-97.53515
215,26.03241,-97.5355
216,26.03288,-97.53601
217,26.0332,-97.53637
218,26.0338,-97.53703
219,26.03646,-97.54001
220,26.03663,-97.54021
221,26.0384,-97.54217
222,26.03857,-97.54236
223,26.03892,-97.54276
224,26.03907,-97.54291
225,26.03925,-97.54311
226,26.0399,-97.54376
227,26.04173,-97.54567
228,26.04307,-97.5472
229,26.04329,-97.54743
230,26.04423,-97.5485
231,26.04707,-97.55189
232,26.05244,-97.55791
233,26.05295,-97.55846
234,26.05466,-97.56023
235,26.05526,-97.56091
236,26.05608,-97.56179
237,26.05631,-97.56201
238,26.05635,-97.56204
239,26.05654,-97.56225
240,26.05686,-97.56256
241,26.05804,-97.56366
242,26.05882,-97.56433
243,26.05954,-97.56491
244,26.06084,-97.56587
245,26.06236,-97.56691
246,26.06537,-97.56883
247,26.06648,-97.56957
248,26.0672,-97.57007
249,26.06744,-97.57022
250,26.06834,-97.57083
251,26.06901,-97.5713
252,26.07002,-97.57204
253,26.07101,-97.57279
254,26.07261,-97.57395
255,26.0769,-97.57689
256,26.07941,-97.5785
257,26.0806,-97.57935
258,26.0811,-97.57973
259,26.08479,-97.58268
260,26.08932,-97.58619
261,26.09022,-97.58687
262,26.09207,-97.58819
263,26.09288,-97.58879
264,26.09392,-97.5896
265,26.09438,-97.58994
266,26.09446,-97.59001
267,26.09501,-97.59044
268,26.09537,-97.59071
269,26.09754,-97.5924
270,26.09791,-97.5927
271,26.09852,-97.59323
272,26.0997,-97.59434
273,26.09989,-97.59452
274,26.10567,-97.60003
275,26.1063,-97.60064
276,26.10668,-97.601
277,26.1079,-97.60218
278,26.10803,-97.60232
279,26.10848,-97.6029
280,26.10854,-97.60299
281,26.10861,-97.60308
282,26.10879,-97.60339
283,26.10891,-97.60361
284,26.10897,-97.60371
285,26.10908,-97.60393
286,26.10912,-97.60404
287,26.10922,-97.60426
288,26.10931,-97.60451
289,26.10938,-97.60469
290,26.10945,-97.60494
291,26.10955,-97.60523
292,26.10958,-97.6053
293,26.11022,-97.60718
294,26.11024,-97.60723
295,26.11043,-97.60778
296,26.11052,-97.60802
297,26.11109,-97.60966
298,26.11168,-97.61124
299,26.11183,-97.61169
300,26.11323,-97.61564
301,26.11358,-97.61654
302,26.11399,-97.61743
303,26.11449,-97.61837
304,26.11488,-97.61904
305,26.11536,-97.61978
306,26.11788,-97.62318
307,26.11944,-97.62535
308,26.11983,-97.62599
309,26.11995,-97.62622
310,26.12018,-97.62669
311,26.12034,-97.62708
312,26.12082,-97.62806
313,26.12097,-97.62838
314,26.12113,-97.62871
315,26.12135,-97.62913
316,26.12147,-97.62933
317,26.12173,-97.62973
318,26.12195,-97.63003
319,26.12225,-97.63044
320,26.12234,-97.63057
321,26.12654,-97.63629
322,26.12654,-97.6363
323,26.12662,-97.63641
324,26.12663,-97.63642
325,26.12667,-97.63647
326,26.12672,-97.63654
327,26.12672,-97.63655
328,26.12681,-97.63665
329,26.12687,-97.63675
330,26.13051,-97.64171
331,26.13096,-97.64239
332,26.13156,-97.64333
333,26.13182,-97.64377
334,26.13208,-97.64416
335,26.13238,-97.64458
336,26.13439,-97.64731
337,26.13504,-97.64822
338,26.13858,-97.65303
339,26.13879,-97.6533
340,26.13912,-97.65369
341,26.1427,-97.65758
342,26.14322,-97.65819
343,26.14456,-97.65998
344,26.14698,-97.6633
345,26.14946,-97.66664
346,26.1523,-97.67055
347,26.15954,-97.68041
348,26.16004,-97.68112
349,26.16131,-97.68301
350,26.16369,-97.68682
351,26.16388,-97.6871
352,26.1639,-97.68714
353,26.16437,-97.68788
354,26.16447,-97.68805
355,26.16847,-97.69447
356,26.16849,-97.6945
357,26.16864,-97.69474
358,26.17058,-97.69785
359,26.17093,-97.69836
360,26.17106,-97.69853
361,26.17127,-97.6988
362,26.17162,-97.6992
363,26.17188,-97.69946
364,26.17217,-97.69972
365,26.17276,-97.70021
366,26.17291,-97.70032
367,26.17305,-97.70044
368,26.17489,-97.70187
369,26.17553,-97.70238
370,26.1763,-97.70299
371,26.17638,-97.70305
372,26.17645,-97.70311
373,26.17674,-97.70338
374,26.17718,-97.70385
375,26.17735,-97.70407
376,26.17746,-97.70423
377,26.17757,-97.70436
378,26.1777,-97.70457
379,26.1778,-97.70474
380,26.17792,-97.70493
381,26.17797,-97.70504
382,26.17803,-97.70513
383,26.17809,-97.70528
384,26.17819,-97.70546
385,26.17838,-97.70594
386,26.17843,-97.70609
387,26.17848,-97.70622
388,26.17862,-97.70671
389,26.17934,-97.70968
390,26.17942,-97.71006
391,26.17956,-97.71052
392,26.17967,-97.71084
393,26.17989,-97.7114
394,26.1801,-97.71184
395,26.18038,-97.71232
396,26.18059,-97.71267
397,26.18086,-97.71306
398,26.18099,-97.71323
399,26.18109,-97.71335
400,26.18118,-97.71347
401,26.18132,-97.71362
402,26.18137,-97.71369
403,26.18143,-97.71376
404,26.18158,-97.71391
405,26.18168,-97.71402
406,26.18175,-97.71408
407,26.18185,-97.71419
408,26.18236,-97.71464
409,26.18264,-97.71484
410,26.18323,-97.71522
411,26.18335,-97.71529
412,26.18412,-97.71567
