,Latitude,Longitude
0,33.8272914,-92.4101901
1,33.8272257,-92.4104995
2,33.8269745,-92.4115761
3,33.826917,-92.4119466
4,33.8268636,-92.4128509
5,33.8269109,-92.4143371
6,33.8269259,-92.4148844
7,33.8269698,-92.4162584
8,33.8270173,-92.4178535
9,33.8270857,-92.4200549
10,33.827111,-92.4212757
11,33.8270864,-92.4218336
12,33.8270325,-92.4223577
13,33.826955,-92.4227536
14,33.8268286,-92.4232965
15,33.8266805,-92.4237281
16,33.8262952,-92.4247079
17,33.8260913,-92.4252186
18,33.8252694,-92.4272549
19,33.8237472,-92.4309959
20,33.8224762,-92.4341851
21,33.8220027,-92.4353664
22,33.8215367,-92.4364999
23,33.8212226,-92.4372853
24,33.8204165,-92.4393143
25,33.8198279,-92.4407531
26,33.8187159,-92.4434748
27,33.8180375,-92.4447863
28,33.817592,-92.445576
29,33.8172343,-92.4460936
30,33.8164614,-92.4472014
31,33.8158736,-92.4479023
32,33.8154571,-92.4483953
33,33.8148734,-92.4489905
34,33.814136,-92.449668
35,33.8132451,-92.4503664
36,33.8130479,-92.4505011
37,33.8121495,-92.451115
38,33.811275,-92.45167
39,33.809975,-92.452623
40,33.8081885,-92.4536705
41,33.8077465,-92.4539525
42,33.807191,-92.454284
43,33.8069337,-92.4544622
44,33.8060605,-92.4550506
45,33.8042691,-92.4562522
46,33.804107,-92.456361
47,33.8027387,-92.4571629
48,33.7990052,-92.4595722
49,33.7965662,-92.4612323
50,33.7958715,-92.4618709
51,33.79546,-92.462401
52,33.7951203,-92.4627816
53,33.7945779,-92.4635091
54,33.7939448,-92.4645934
55,33.7933841,-92.465741
56,33.7929818,-92.4669447
57,33.792771,-92.4674568
58,33.791441,-92.4709756
59,33.7909566,-92.4725143
60,33.7905884,-92.4741665
61,33.7902674,-92.4757544
62,33.7900519,-92.4768434
63,33.7899107,-92.4775568
64,33.7895006,-92.4796811
65,33.7888583,-92.4827708
66,33.7882475,-92.4858124
67,33.7881049,-92.4864132
68,33.7879622,-92.4869818
69,33.7877949,-92.487428
70,33.7875387,-92.487985
71,33.7872622,-92.4885107
72,33.7869903,-92.488913
73,33.7866425,-92.4893475
74,33.7862903,-92.489707
75,33.7847967,-92.4911768
76,33.7838426,-92.4921209
77,33.7830133,-92.4929417
78,33.780229,-92.4957137
79,33.7796113,-92.4962998
80,33.7775067,-92.4983812
81,33.775839,-92.5000174
82,33.7757675,-92.5000918
83,33.7753129,-92.5005645
84,33.7750676,-92.5008435
85,33.7747778,-92.5011761
86,33.7745504,-92.5014765
87,33.774158,-92.5021149
88,33.7738458,-92.5026835
89,33.7735783,-92.5032843
90,33.7733716,-92.5038371
91,33.7731756,-92.5044602
92,33.7725393,-92.5067283
93,33.7718689,-92.5091157
94,33.7708626,-92.5127149
95,33.7707066,-92.5133319
96,33.7705817,-92.5138146
97,33.7700332,-92.5156976
98,33.769128,-92.5189538
99,33.7682004,-92.522269
100,33.7680354,-92.5227357
101,33.7677456,-92.5234384
102,33.7674156,-92.5241036
103,33.7658012,-92.5270594
104,33.7640575,-92.5302029
105,33.7627774,-92.5325314
106,33.7612479,-92.5353528
107,33.7594328,-92.5386573
108,33.7588262,-92.5397838
109,33.7585542,-92.5403417
110,33.7582598,-92.5410283
