,Latitude,Longitude
0,30.5168725,-97.6889328
1,30.516881,-97.688733
2,30.5168962,-97.68857
3,30.5170344,-97.6878426
4,30.5171049,-97.6874718
5,30.5171263,-97.6873436
6,30.517199,-97.6869119
7,30.517279,-97.686437
8,30.5173109,-97.6862606
9,30.5173901,-97.6858219
10,30.5174243,-97.6856328
11,30.5175145,-97.6851593
12,30.5175322,-97.6850667
13,30.5176297,-97.684471
14,30.5176513,-97.684351
15,30.5177384,-97.6838938
16,30.5177968,-97.6836447
17,30.517828,-97.6835165
18,30.5179259,-97.6829562
19,30.5179443,-97.6828172
20,30.5182559,-97.6808809
21,30.5183528,-97.6802789
22,30.5184411,-97.6798705
23,30.5186213,-97.6790107
24,30.518684,-97.6787079
25,30.5188161,-97.6783848
26,30.5188829,-97.6779745
27,30.5189166,-97.6776896
28,30.5189359,-97.677527
29,30.5189688,-97.6771546
30,30.5189737,-97.677099
31,30.5189904,-97.6767098
32,30.5189942,-97.6765031
33,30.5189964,-97.6763855
34,30.5189894,-97.6761516
35,30.5189862,-97.6760434
36,30.5189723,-97.6757159
37,30.5189415,-97.6754029
38,30.5189267,-97.6752282
39,30.5189074,-97.6750347
40,30.5188943,-97.6749413
41,30.5188667,-97.6747232
42,30.5187962,-97.6741687
43,30.5187392,-97.673697
44,30.5186972,-97.6733817
45,30.5186044,-97.672591
46,30.5185667,-97.6722703
47,30.5185266,-97.6719293
48,30.5184885,-97.6716052
49,30.5184586,-97.6713503
50,30.5184389,-97.671183
51,30.5183857,-97.6707476
52,30.5183318,-97.6702485
53,30.5182625,-97.6696697
54,30.5181878,-97.6690462
55,30.5181801,-97.6689817
56,30.5181123,-97.6684149
57,30.5181068,-97.6683717
58,30.5180388,-97.6677966
59,30.5179668,-97.6671956
60,30.517894,-97.666583
61,30.5178582,-97.6662813
62,30.5177821,-97.6656549
63,30.5177611,-97.6654815
64,30.5176832,-97.6648401
65,30.5176543,-97.6646024
66,30.5176497,-97.6645644
67,30.5176068,-97.6642111
68,30.5175112,-97.6634234
69,30.5174053,-97.6625514
70,30.5173481,-97.6620288
71,30.5173417,-97.6619708
72,30.5172988,-97.6615794
73,30.5172712,-97.6612263
74,30.5172603,-97.6608572
75,30.5172543,-97.6606845
76,30.5173199,-97.6604723
77,30.5173277,-97.6601741
78,30.5173528,-97.6597979
79,30.5174432,-97.6592698
80,30.517474,-97.6590818
81,30.5175438,-97.6587802
82,30.5176681,-97.6581673
83,30.5177987,-97.6574338
84,30.5179362,-97.6566337
85,30.5179373,-97.6566274
86,30.5180959,-97.6556105
87,30.5181152,-97.6554609
88,30.5181411,-97.65526
89,30.5182534,-97.6543907
90,30.5184919,-97.6526923
91,30.5186595,-97.6516116
92,30.5188676,-97.6502538
93,30.5189295,-97.6498992
94,30.5189732,-97.6496484
95,30.5190303,-97.6493212
96,30.5191181,-97.6488759
97,30.5193034,-97.6479364
98,30.5195802,-97.6466168
99,30.5198194,-97.6458188
100,30.5201145,-97.6448931
101,30.5201893,-97.6446713
102,30.5202803,-97.6444087
103,30.5204523,-97.6439359
104,30.5207259,-97.6432294
105,30.5211332,-97.6422107
106,30.5218591,-97.6403574
107,30.5221685,-97.639592
108,30.5226402,-97.6383721
109,30.5230781,-97.6373323
110,30.5231326,-97.6371945
111,30.5235752,-97.6360759
112,30.5237702,-97.6356047
113,30.5239737,-97.6351129
114,30.5243558,-97.6341731
115,30.5246309,-97.6334793
116,30.5246835,-97.6333459
117,30.5249359,-97.6327256
118,30.5253575,-97.6317024
119,30.5256093,-97.6310911
120,30.5256646,-97.6309517
121,30.5263,-97.62935
122,30.5263354,-97.6292616
