,Latitude,Longitude
0,30.5481696,-97.5165044
1,30.549006,-97.511583
2,30.5496549,-97.5078999
3,30.550135,-97.504983
4,30.5501818,-97.5047175
5,30.5504405,-97.5032157
6,30.550608,-97.502191
7,30.551338,-97.497995
8,30.5515583,-97.496732
9,30.5517731,-97.4954387
10,30.5520884,-97.493626
11,30.5530647,-97.4879434
12,30.553684,-97.484268
13,30.553747,-97.483899
14,30.55389,-97.483092
15,30.5552707,-97.4751016
16,30.555926,-97.471295
17,30.5560383,-97.4706456
18,30.5561779,-97.4698758
19,30.5563236,-97.4692558
20,30.5564728,-97.4686743
21,30.5565895,-97.4682983
22,30.5570032,-97.4670446
23,30.5577138,-97.4649542
24,30.5580761,-97.4639134
25,30.5583975,-97.4629643
26,30.5588321,-97.461702
27,30.5592148,-97.4605884
28,30.56006,-97.4581
29,30.5600669,-97.4580796
30,30.5603401,-97.4572733
31,30.5603535,-97.4572349
32,30.5610838,-97.4551396
33,30.5617462,-97.4531524
34,30.5623467,-97.4514147
35,30.5628815,-97.4498801
36,30.5631644,-97.4489845
37,30.5634049,-97.4482887
38,30.5636268,-97.447643
39,30.5645874,-97.4448394
40,30.564872,-97.4440186
41,30.5650009,-97.443647
42,30.5655407,-97.4421452
43,30.5660784,-97.4408031
44,30.5662405,-97.4403307
45,30.5665239,-97.4395268
46,30.5667975,-97.4387287
47,30.5669556,-97.4382252
48,30.5670232,-97.4380231
49,30.5670586,-97.4377406
50,30.5670905,-97.4375399
51,30.5671178,-97.4373446
52,30.5671576,-97.4370059
53,30.5671691,-97.4368079
54,30.5671759,-97.4366185
55,30.5671735,-97.436449
56,30.567161,-97.436285
57,30.5671315,-97.436083
58,30.5670955,-97.4358959
59,30.5670501,-97.4357485
60,30.5669795,-97.4355725
61,30.5669011,-97.4353957
62,30.566812,-97.4352367
63,30.5667162,-97.4350893
64,30.5666175,-97.4349608
65,30.5664364,-97.43476
66,30.5662238,-97.4345517
67,30.5653738,-97.4339169
68,30.5631549,-97.4322025
69,30.56281,-97.431951
70,30.562434,-97.43168
71,30.562132,-97.431491
72,30.561822,-97.431321
73,30.5614637,-97.4311483
74,30.560501,-97.4307784
75,30.5598098,-97.4305081
76,30.556689,-97.42929
77,30.556336,-97.429131
78,30.55599,-97.428953
79,30.555652,-97.428755
80,30.555284,-97.428501
81,30.55499,-97.428282
82,30.554706,-97.428047
83,30.554433,-97.427794
84,30.554171,-97.427526
85,30.5539641,-97.4272921
86,30.5535913,-97.4268546
87,30.5532742,-97.426441
88,30.553152,-97.426269
89,30.5528759,-97.4258277
90,30.552685,-97.425496
91,30.552497,-97.425135
92,30.552325,-97.424763
93,30.552168,-97.424382
94,30.5520744,-97.424122
95,30.552028,-97.423993
96,30.551891,-97.423552
97,30.551733,-97.422941
98,30.55165,-97.422565
99,30.551584,-97.422185
100,30.551534,-97.421802
101,30.5515104,-97.4215109
102,30.551483,-97.420986
103,30.551488,-97.420349
104,30.551506,-97.419901
105,30.55154,-97.419455
106,30.551591,-97.419011
107,30.551736,-97.418056
108,30.551824,-97.417484
109,30.551948,-97.416825
110,30.552074,-97.416282
111,30.552218,-97.415746
112,30.552394,-97.415141
113,30.552553,-97.414664
114,30.5529069,-97.4136845
115,30.552953,-97.413557
116,30.553172,-97.412953
117,30.553774,-97.411321
118,30.554473,-97.409389
119,30.554595,-97.409
120,30.554715,-97.408534
121,30.554762,-97.4083137
122,30.554908,-97.40763
123,30.555015,-97.407018
124,30.5550297,-97.4069387
125,30.555156,-97.406091
126,30.555305,-97.405044
127,30.5555939,-97.4031216
128,30.556116,-97.399538
129,30.556366,-97.397766
130,30.556447,-97.397335
131,30.55653,-97.396983
132,30.5566543,-97.3965191
133,30.5567841,-97.3960824
134,30.556946,-97.395643
135,30.557085,-97.395316
136,30.557238,-97.395004
137,30.557405,-97.394703
138,30.557606,-97.394383
139,30.557846,-97.394035
140,30.558068,-97.393748
141,30.5582185,-97.3935752
142,30.558493,-97.39326
143,30.559762,-97.391904
144,30.5613987,-97.3901244
145,30.561865,-97.389622
146,30.5623945,-97.3890595
147,30.562593,-97.388853
148,30.562791,-97.388655
149,30.563171,-97.388248
150,30.563518,-97.387861
151,30.564299,-97.387007
152,30.5662939,-97.384863
153,30.566588,-97.384539
154,30.566899,-97.384224
155,30.567221,-97.383925
156,30.567422,-97.383758
157,30.567686,-97.383563
158,30.567958,-97.383386
159,30.568291,-97.383198
160,30.568643,-97.38302
161,30.569002,-97.382861
162,30.569418,-97.382733
163,30.569843,-97.382627
164,30.570377,-97.38253
165,30.5712643,-97.3824073
166,30.571579,-97.382377
167,30.5719324,-97.382304
168,30.5721106,-97.3822672
169,30.5724,-97.382184
170,30.572565,-97.38212
171,30.572675,-97.382063
172,30.572781,-97.381997
173,30.572883,-97.381924
174,30.572981,-97.381843
175,30.573075,-97.381756
176,30.573203,-97.381616
177,30.573294,-97.381503
178,30.573374,-97.381389
179,30.573448,-97.38127
180,30.573515,-97.381147
181,30.573576,-97.381018
182,30.573629,-97.380886
183,30.573677,-97.380749
184,30.573717,-97.380609
185,30.573748,-97.380465
186,30.573771,-97.38032
187,30.573786,-97.380174
188,30.573793,-97.380026
189,30.5738254,-97.3797341
190,30.5738242,-97.3789066
191,30.5738443,-97.3785314
192,30.5738965,-97.3781358
193,30.5739868,-97.377521
194,30.5740782,-97.3770334
195,30.574175,-97.3766217
196,30.5742632,-97.3763089
197,30.5744154,-97.3758084
198,30.574587,-97.375345
199,30.574787,-97.374835
200,30.575891,-97.371886
201,30.576788,-97.369558
202,30.5769266,-97.3691896
203,30.576996,-97.369005
204,30.577187,-97.368443
205,30.577391,-97.367785
206,30.577567,-97.367147
207,30.577683,-97.366659
208,30.5778087,-97.3660562
209,30.577843,-97.365892
210,30.578046,-97.364825
211,30.578427,-97.362866
212,30.578707,-97.361422
213,30.579262,-97.358477
214,30.5798592,-97.3553343
215,30.579936,-97.35493
216,30.580177,-97.353715
217,30.580448,-97.352238
218,30.580775,-97.350546
219,30.580835,-97.350237
220,30.581256,-97.347954
221,30.58156,-97.346351
222,30.58176,-97.345261
223,30.5819975,-97.3440071
224,30.5826113,-97.3407119
225,30.5836223,-97.3352847
226,30.584243,-97.332142
227,30.5846655,-97.3298317
228,30.5858445,-97.3235707
229,30.5867196,-97.3189025
230,30.587531,-97.314627
