,Latitude,Longitude
0,45.3999311,-91.7354503
1,45.4006301,-91.7354561
2,45.4014953,-91.7354584
3,45.4019818,-91.7354468
4,45.4021089,-91.7354474
5,45.4027599,-91.7354501
6,45.4028438,-91.7354505
7,45.4033835,-91.7354445
8,45.403466,-91.7354437
9,45.4037545,-91.7354407
10,45.4039658,-91.7354385
11,45.4045732,-91.7354322
12,45.4049365,-91.7354296
13,45.4058626,-91.7354227
14,45.4064455,-91.7354186
15,45.4067935,-91.7354161
16,45.4072919,-91.7354125
17,45.4076512,-91.7354098
18,45.4082468,-91.7354055
19,45.4085496,-91.7354066
20,45.4085445,-91.7349459
21,45.4085424,-91.7343964
22,45.408539,-91.7335542
23,45.4085356,-91.7327258
24,45.40847,-91.7250949
25,45.4084516,-91.7231926
26,45.4083927,-91.7159149
27,45.4083821,-91.7146998
28,45.4082978,-91.7060464
29,45.4082992,-91.7044924
30,45.4083064,-91.7039413
31,45.4083867,-91.6961265
32,45.4083376,-91.6925041
33,45.4081418,-91.6842315
34,45.4081954,-91.6739841
35,45.4082444,-91.6679599
36,45.4082147,-91.6654389
37,45.4082001,-91.6643227
38,45.4081869,-91.6635872
39,45.4081744,-91.6621082
40,45.4081572,-91.6606977
41,45.408147,-91.660171
42,45.4081082,-91.6561538
43,45.4080847,-91.654757
44,45.4080915,-91.6541053
45,45.4080842,-91.6531656
46,45.4080511,-91.6436642
47,45.4080462,-91.6396636
48,45.4081443,-91.6332084
49,45.4082044,-91.6302919
50,45.408221,-91.628054
51,45.408267,-91.625166
52,45.4082722,-91.6229373
53,45.4082619,-91.6192109
54,45.4082593,-91.613039
55,45.4082175,-91.6026253
56,45.4081965,-91.5976531
57,45.4081559,-91.5866694
58,45.4081258,-91.5821418
59,45.408107,-91.5770564
60,45.4081053,-91.5716579
61,45.408061,-91.5608826
62,45.4080393,-91.5576029
63,45.4080298,-91.5544959
64,45.4080148,-91.5503958
65,45.407996,-91.5463081
66,45.4079657,-91.541181
67,45.4079616,-91.5405337
68,45.407946,-91.5394218
69,45.4076689,-91.5247526
70,45.4076276,-91.5208916
71,45.4075979,-91.5182495
72,45.4075535,-91.5129485
73,45.4074967,-91.5059262
74,45.4074397,-91.5007328
75,45.4074451,-91.4982975
76,45.4074219,-91.4959906
77,45.4074074,-91.4939454
78,45.4073889,-91.4915211
79,45.4073557,-91.4876787
80,45.4073423,-91.4864187
81,45.407345,-91.4845167
82,45.407341,-91.4802116
83,45.4073466,-91.4773036
84,45.4073546,-91.472819
85,45.4073439,-91.4720509
86,45.407304,-91.465786
87,45.4072487,-91.4598184
88,45.4072406,-91.4572963
89,45.4072259,-91.4560691
90,45.4072409,-91.4554575
91,45.4072778,-91.4548943
92,45.4073229,-91.4544678
93,45.4073793,-91.4540547
94,45.4074603,-91.4536403
95,45.4075467,-91.4532407
96,45.4113564,-91.4400387
97,45.4117406,-91.4387419
98,45.4129541,-91.4345213
99,45.413019,-91.4342965
100,45.4143915,-91.4296065
101,45.4144381,-91.4294474
102,45.4147109,-91.4284968
103,45.4148976,-91.4278098
104,45.415465,-91.425911
105,45.4157299,-91.4251018
106,45.4159374,-91.4245751
107,45.4160771,-91.4242581
108,45.4161206,-91.4241554
109,45.416264,-91.4238556
110,45.4168989,-91.4225697
111,45.417987,-91.4203593
112,45.418,-91.420333
113,45.4187041,-91.4188965
114,45.4188189,-91.4186634
115,45.4196146,-91.4170586
116,45.419807,-91.4166708
117,45.4200345,-91.4162042
118,45.4210693,-91.4141416
119,45.4226016,-91.4110039
120,45.4234338,-91.4093029
121,45.4282076,-91.3996018
122,45.4309424,-91.3940615
123,45.4310757,-91.3937627
124,45.4312023,-91.3934665
125,45.4313441,-91.3930894
126,45.4314593,-91.3927717
127,45.4315425,-91.392532
128,45.4316331,-91.3922481
129,45.4323776,-91.3895961
130,45.4338839,-91.3842105
131,45.4343058,-91.3827042
132,45.4344282,-91.3822451
133,45.4345154,-91.3818665
134,45.4345907,-91.3815189
135,45.4346502,-91.3811714
136,45.4347112,-91.3807762
137,45.4347708,-91.3803201
138,45.4348168,-91.3798915
139,45.4348651,-91.3791634
140,45.4348723,-91.3787529
141,45.4348743,-91.3783517
142,45.4348619,-91.3779379
143,45.4348346,-91.37749
144,45.434795,-91.3770436
145,45.4347533,-91.3766226
146,45.4343798,-91.3733544
147,45.4341449,-91.3713418
148,45.434101,-91.3708504
149,45.4340713,-91.3704266
150,45.4340475,-91.370017
151,45.4340336,-91.3695508
152,45.4340316,-91.3692033
153,45.4340297,-91.3688247
154,45.4340449,-91.3683285
155,45.4340639,-91.3679155
156,45.4340891,-91.3675222
157,45.4341328,-91.3670278
158,45.4341782,-91.3666499
159,45.4342279,-91.3662395
160,45.4343231,-91.3656405
161,45.4344436,-91.3649685
162,45.4345694,-91.3643854
163,45.4347355,-91.363756
164,45.434908,-91.3631599
165,45.4358949,-91.3600872
166,45.4363189,-91.3588034
167,45.4367796,-91.3573799
168,45.4405283,-91.3457952
169,45.4409436,-91.3444477
170,45.4410464,-91.3441182
171,45.4411585,-91.3437226
172,45.441273,-91.3433021
173,45.4445301,-91.3295929
174,45.4455135,-91.3254624
175,45.4456977,-91.3246889
176,45.446665,-91.3205951
177,45.4468762,-91.3197013
178,45.4492783,-91.3096173
179,45.4501004,-91.3061251
180,45.4504876,-91.304226
181,45.4505073,-91.3041061
182,45.4508932,-91.3019521
183,45.4512008,-91.3001731
184,45.4526172,-91.2920181
185,45.4534673,-91.2870978
186,45.453518,-91.2867879
187,45.453683,-91.2858496
188,45.4537696,-91.2853484
189,45.4540197,-91.2839265
190,45.454162,-91.2831173
191,45.4543004,-91.2823301
192,45.454316,-91.2822409
193,45.4544311,-91.2815809
194,45.4545052,-91.2811555
195,45.4545414,-91.2809482
196,45.4547629,-91.2796453
197,45.4548584,-91.2790905
198,45.4549502,-91.2784849
199,45.4550038,-91.2780517
200,45.4550448,-91.2776761
201,45.4550766,-91.2773003
202,45.4550816,-91.2772409
203,45.4551078,-91.276809
204,45.455114,-91.2766339
205,45.4551218,-91.2764114
206,45.455133,-91.27598
207,45.45513,-91.2753798
208,45.4551218,-91.2747278
209,45.4551145,-91.2741366
210,45.4551051,-91.2734698
211,45.4550981,-91.2729501
212,45.4550976,-91.2728362
213,45.4550827,-91.2722081
214,45.4550676,-91.2715562
215,45.4550578,-91.2709331
216,45.4550494,-91.2703011
217,45.4550416,-91.2697049
218,45.4550294,-91.2690548
219,45.4550237,-91.2687538
220,45.4550085,-91.2684291
221,45.4549876,-91.2682549
222,45.4549621,-91.2680945
223,45.4549321,-91.2678902
224,45.4549116,-91.2677789
225,45.45485,-91.2674712
226,45.4547743,-91.2671675
227,45.4546991,-91.266905
228,45.4546117,-91.2666281
229,45.454508,-91.2663484
230,45.4543819,-91.2660527
231,45.4534438,-91.2639741
232,45.4533266,-91.2637073
233,45.453184,-91.2633828
234,45.4530719,-91.2631031
235,45.4529584,-91.2627895
236,45.4528645,-91.2624838
237,45.4527692,-91.2621741
238,45.4526739,-91.2618345
239,45.4525962,-91.2615359
240,45.4524802,-91.2610139
241,45.4524174,-91.2606658
242,45.4523445,-91.2602203
243,45.4522941,-91.2598727
244,45.4522475,-91.2594779
245,45.4522095,-91.259019
246,45.452192,-91.2587005
247,45.4521761,-91.2583643
248,45.4521662,-91.2580507
249,45.4521682,-91.2576269
250,45.4521801,-91.2572766
251,45.4521979,-91.2569064
252,45.4522362,-91.2564409
253,45.4522812,-91.2559797
254,45.4523327,-91.2555814
255,45.4523882,-91.2552649
256,45.4524677,-91.2548216
