,Latitude,Longitude
0,31.8915636,-85.135207
1,31.8915733,-85.1353468
2,31.8915843,-85.1355981
3,31.8915877,-85.1364138
4,31.891576,-85.137026
5,31.891575,-85.137166
6,31.89157,-85.1375699
7,31.891572,-85.1388166
8,31.891573,-85.1389647
9,31.8915666,-85.1394071
10,31.8915597,-85.1403375
11,31.8915626,-85.140419
12,31.891561,-85.1407656
13,31.8915522,-85.1412088
14,31.8915429,-85.141718
15,31.891544,-85.141897
16,31.891545,-85.142039
17,31.891546,-85.142191
18,31.8915412,-85.1424869
19,31.8915332,-85.1429885
20,31.89152,-85.143809
21,31.891518,-85.143981
22,31.8915079,-85.1447989
23,31.8915013,-85.1452952
24,31.891495,-85.145637
25,31.89165,-85.145641
26,31.891797,-85.145651
27,31.892936,-85.145663
28,31.893137,-85.145663
29,31.8938548,-85.1456621
30,31.893916,-85.145662
31,31.8945,-85.145651
32,31.894578,-85.145656
33,31.8948,-85.145648
34,31.89529,-85.145654
35,31.895625,-85.145662
36,31.896552,-85.145678
37,31.897067,-85.145691
38,31.898291,-85.145718
39,31.89875,-85.145735
40,31.8993785,-85.1457529
41,31.901214,-85.145805
42,31.901875,-85.14582
43,31.902019,-85.145843
44,31.902081,-85.145857
45,31.902217,-85.145906
46,31.902331,-85.14596
47,31.902609,-85.146104
48,31.903005,-85.146323
49,31.90338,-85.146568
50,31.903556,-85.146709
51,31.903746,-85.146885
52,31.90384,-85.146982
53,31.903946,-85.147101
54,31.904048,-85.147225
55,31.904146,-85.147353
56,31.904286,-85.147547
57,31.904432,-85.147741
58,31.90463,-85.147972
59,31.904755,-85.148102
60,31.905042,-85.148366
61,31.905224,-85.14851
62,31.905473,-85.148689
63,31.905667,-85.14881
64,31.905855,-85.148911
65,31.9059303,-85.1489507
66,31.906072,-85.149019
67,31.906279,-85.149101
68,31.906491,-85.149172
69,31.9065716,-85.1492084
70,31.9067801,-85.1492639
71,31.9069042,-85.1492904
72,31.9071706,-85.1493363
73,31.9073311,-85.1493511
74,31.9074624,-85.1493568
75,31.907792,-85.149341
76,31.90801,-85.149322
77,31.9091976,-85.1491403
78,31.9096132,-85.1490694
79,31.910772,-85.148807
80,31.911314,-85.148729
81,31.911649,-85.148668
82,31.91176,-85.148649
83,31.911909,-85.148617
84,31.911956,-85.148795
85,31.911993,-85.148951
86,31.912021,-85.149036
87,31.912054,-85.149117
88,31.912098,-85.14919
89,31.912207,-85.149316
90,31.912684,-85.149738
91,31.912974,-85.150002
92,31.913309,-85.150292
93,31.913493,-85.150431
94,31.913752,-85.150589
95,31.913957,-85.150684
96,31.914232,-85.150801
97,31.914921,-85.151072
98,31.915134,-85.151148
99,31.915498,-85.151291
100,31.916505,-85.151695
101,31.917086,-85.151933
102,31.9218,-85.153807
103,31.922356,-85.154023
104,31.923738,-85.154578
105,31.924016,-85.154686
106,31.924359,-85.154832
107,31.924628,-85.154962
108,31.92476,-85.155034
109,31.925016,-85.155194
110,31.925953,-85.155859
111,31.927196,-85.15676
112,31.927696,-85.157119
113,31.928197,-85.157472
114,31.930183,-85.15891
115,31.931162,-85.159613
116,31.931256,-85.159686
117,31.931559,-85.1599
118,31.931813,-85.160107
119,31.931933,-85.160215
120,31.932103,-85.160388
121,31.93221,-85.160511
122,31.932305,-85.16064
123,31.932393,-85.160777
124,31.932475,-85.160918
125,31.932551,-85.161065
126,31.932622,-85.161216
127,31.932787,-85.161599
128,31.93449,-85.165784
129,31.935842,-85.169111
130,31.936106,-85.169726
131,31.936403,-85.170319
132,31.936729,-85.170893
133,31.937255,-85.171793
134,31.93739,-85.172024
135,31.937713,-85.172595
136,31.937998,-85.173092
137,31.93823,-85.173488
138,31.938662,-85.174225
139,31.93899,-85.174799
140,31.939476,-85.17565
141,31.939781,-85.176228
