,Latitude,Longitude
0,33.3278265,-87.8914147
1,33.3282766,-87.8918699
2,33.3287013,-87.8923554
3,33.3295227,-87.8933995
4,33.3296204,-87.8935237
5,33.3303968,-87.8946019
6,33.3315602,-87.8962178
7,33.3327725,-87.8978838
8,33.33365,-87.89909
9,33.3351047,-87.9011112
10,33.3356605,-87.9020767
11,33.3362162,-87.9031282
12,33.3366106,-87.9043727
13,33.3367942,-87.9050985
14,33.3369064,-87.9055422
15,33.3370992,-87.9066355
16,33.3372247,-87.9076762
17,33.3372606,-87.9087116
18,33.3372642,-87.9097193
19,33.3371842,-87.9107655
20,33.3370343,-87.9116287
21,33.336987,-87.9119015
22,33.3366017,-87.9134979
23,33.3362594,-87.9144974
24,33.3349036,-87.9180496
25,33.3346247,-87.918831
26,33.3344187,-87.9194986
27,33.334318,-87.9200778
28,33.3342806,-87.9203555
29,33.3342347,-87.920838
30,33.3342012,-87.9213792
31,33.3341855,-87.9219864
32,33.3342255,-87.9230287
33,33.3343609,-87.9239387
34,33.3348549,-87.9259266
35,33.335063,-87.9267617
36,33.3356666,-87.9290122
37,33.3359708,-87.9300864
38,33.3359874,-87.9301395
39,33.3360827,-87.930419
40,33.3366063,-87.9317163
41,33.3372908,-87.9333322
42,33.3387512,-87.9359207
