,Latitude,Longitude
0,33.4940118,-88.2793975
1,33.492905,-88.277633
2,33.492516,-88.276997
3,33.492336,-88.276719
4,33.491444,-88.275312
5,33.489674,-88.272522
6,33.489534,-88.272315
7,33.489213,-88.271824
8,33.489033,-88.271535
9,33.488664,-88.270961
10,33.488371,-88.270454
11,33.487752,-88.269496
12,33.48724,-88.268694
13,33.4863733,-88.2673236
14,33.485743,-88.266326
15,33.483558,-88.262898
16,33.482934,-88.2619
17,33.482562,-88.261324
18,33.482225,-88.260792
19,33.4821999,-88.2607554
20,33.48217,-88.260714
21,33.48203,-88.260485
22,33.481684,-88.259941
23,33.4814612,-88.2595842
24,33.481139,-88.259068
25,33.4799832,-88.257024
26,33.4790751,-88.2554524
27,33.478397,-88.254152
28,33.47802,-88.253479
29,33.477565,-88.252589
30,33.477308,-88.252121
31,33.477082,-88.25169
32,33.476847,-88.251263
33,33.4768014,-88.2511677
34,33.476768,-88.251098
35,33.476655,-88.250893
36,33.4762609,-88.2501751
37,33.476111,-88.249902
38,33.475651,-88.249027
39,33.475067,-88.247942
40,33.4745864,-88.2470554
41,33.4728126,-88.2437835
42,33.472415,-88.2429865
43,33.4719826,-88.24223
44,33.471582,-88.2414921
45,33.4710616,-88.2405343
46,33.4708014,-88.2400599
47,33.470474,-88.239408
48,33.47034,-88.239187
49,33.470264,-88.239056
50,33.47019,-88.238907
51,33.469913,-88.238401
52,33.469717,-88.238034
53,33.469642,-88.237884
54,33.469597,-88.237813
55,33.468913,-88.236503
56,33.468564,-88.235859
57,33.468224,-88.23523
58,33.467785,-88.234414
59,33.467413,-88.23375
60,33.467315,-88.23359
61,33.467272,-88.233507
62,33.466837,-88.232799
63,33.46674,-88.232641
64,33.4664472,-88.2321772
65,33.466348,-88.23202
66,33.465949,-88.23142
67,33.465635,-88.230968
68,33.465001,-88.230095
69,33.464976,-88.230064
70,33.46473,-88.229737
71,33.464174,-88.229034
72,33.463715,-88.228476
73,33.4635539,-88.2282825
74,33.46208,-88.226555
75,33.461753,-88.226167
76,33.460358,-88.224518
77,33.459493,-88.223503
78,33.4581591,-88.2219187
79,33.457994,-88.22173
80,33.457872,-88.221595
81,33.457555,-88.221221
82,33.456775,-88.220296
83,33.4542496,-88.21732
84,33.452526,-88.215289
85,33.451186,-88.21371
86,33.450471,-88.212868
87,33.449703,-88.21197
88,33.44924,-88.211414
89,33.447397,-88.209244
90,33.4466415,-88.2083542
91,33.446536,-88.20823
92,33.44585,-88.207421
93,33.444822,-88.206206
94,33.44429,-88.205577
95,33.443931,-88.205138
96,33.443331,-88.20437
97,33.442891,-88.203786
98,33.442511,-88.203253
99,33.442084,-88.202632
100,33.4418,-88.202204
101,33.4417167,-88.2020662
102,33.44142,-88.201623
103,33.441122,-88.201136
104,33.440702,-88.200423
105,33.440251,-88.199622
106,33.439729,-88.198677
107,33.4389876,-88.1973341
108,33.438605,-88.196641
109,33.437533,-88.194713
110,33.437044,-88.193822
111,33.436255,-88.192423
112,33.436175,-88.192273
113,33.435946,-88.191813
114,33.4359066,-88.1917392
115,33.435374,-88.190798
116,33.435259,-88.190607
117,33.435221,-88.190534
118,33.435167,-88.19044
119,33.435088,-88.190303
120,33.435007,-88.19015
121,33.434922,-88.190002
122,33.434845,-88.189852
123,33.434734,-88.189622
124,33.434581,-88.189319
125,33.434125,-88.188513
126,33.433802,-88.187922
127,33.433389,-88.187192
128,33.4321773,-88.1850053
129,33.431506,-88.183794
130,33.430892,-88.182686
131,33.43021,-88.181441
132,33.429836,-88.180773
133,33.4291179,-88.1794673
134,33.428977,-88.179211
135,33.4286035,-88.1785376
136,33.428272,-88.17794
137,33.427768,-88.17702
138,33.427394,-88.176364
139,33.427033,-88.175703
140,33.426785,-88.175259
141,33.426367,-88.174496
142,33.4243162,-88.170791
143,33.4242427,-88.1706582
144,33.423668,-88.16962
145,33.422823,-88.168083
146,33.421809,-88.166264
147,33.421689,-88.166042
148,33.421467,-88.165638
149,33.421041,-88.164867
150,33.420796,-88.164431
151,33.4204731,-88.1638397
152,33.420434,-88.163768
153,33.41957,-88.162211
154,33.4172422,-88.1580024
155,33.415342,-88.154567
156,33.41491,-88.153763
157,33.414734,-88.153427
158,33.414195,-88.152398
159,33.4140906,-88.1521921
160,33.413704,-88.15143
161,33.413075,-88.150144
162,33.412571,-88.149071
163,33.411614,-88.146995
164,33.411237,-88.146158
165,33.4110331,-88.1457159
166,33.410575,-88.144723
167,33.410215,-88.143916
168,33.410117,-88.143688
169,33.40981,-88.143005
170,33.4096784,-88.1427084
171,33.409526,-88.142365
172,33.4093627,-88.1420264
173,33.409334,-88.141967
174,33.409042,-88.14133
175,33.408676,-88.140559
176,33.408341,-88.139843
177,33.407885,-88.138837
178,33.407629,-88.138299
179,33.406971,-88.136894
180,33.4063512,-88.1355446
181,33.40617,-88.13515
182,33.405948,-88.134658
183,33.405673,-88.134064
184,33.405337,-88.133314
185,33.404985,-88.132541
186,33.404597,-88.131667
187,33.404317,-88.131015
188,33.404103,-88.130473
189,33.403911,-88.129944
190,33.403748,-88.129468
191,33.40359,-88.128965
192,33.40338,-88.128251
193,33.40321,-88.12762
194,33.403035,-88.1268264
195,33.4028755,-88.1260379
196,33.4027785,-88.1255028
197,33.4027227,-88.1251889
198,33.402671,-88.1248197
199,33.4026192,-88.124538
200,33.402579,-88.124244
201,33.402493,-88.123451
202,33.40243,-88.122702
203,33.402409,-88.122142
204,33.40241,-88.121935
205,33.402412,-88.121694
206,33.40243,-88.121087
207,33.402457,-88.120638
208,33.4024807,-88.1203787
209,33.402524,-88.119933
210,33.402631,-88.119103
211,33.402757,-88.118428
212,33.402853,-88.117988
213,33.40303,-88.117314
214,33.40305,-88.117237
215,33.403252,-88.116564
216,33.403717,-88.115088
217,33.40376,-88.114949
218,33.404108,-88.113808
219,33.404201,-88.113466
220,33.404262,-88.113243
221,33.404412,-88.112598
222,33.404604,-88.111628
223,33.404694,-88.11112
224,33.40477,-88.110591
225,33.404832,-88.110052
226,33.404877,-88.109505
227,33.404924,-88.108777
228,33.40494,-88.108047
229,33.404936,-88.107272
230,33.40489,-88.105365
231,33.4048798,-88.1042904
232,33.404867,-88.1038379
233,33.404826,-88.1026877
234,33.404795,-88.101799
235,33.404775,-88.100799
236,33.404759,-88.099145
237,33.404769,-88.0969762
238,33.4047634,-88.0958723
239,33.4047591,-88.0946564
240,33.4047619,-88.0930103
241,33.4047643,-88.0923382
242,33.404753,-88.091152
243,33.40475,-88.089275
244,33.404755,-88.087196
245,33.404747,-88.085895
246,33.404738,-88.085306
247,33.404739,-88.084569
248,33.404732,-88.082296
249,33.404725,-88.081893
250,33.404714,-88.081433
251,33.40469,-88.08104
252,33.404671,-88.080631
253,33.40464,-88.080216
254,33.404559,-88.079399
255,33.404471,-88.078686
256,33.404366,-88.078026
257,33.40424,-88.07735
258,33.4042193,-88.0772474
259,33.40419,-88.077102
260,33.404133,-88.076851
261,33.404086,-88.076614
262,33.403931,-88.075968
263,33.403765,-88.075338
264,33.40363,-88.074854
265,33.403357,-88.073989
266,33.403276,-88.073764
267,33.403207,-88.07361
268,33.403061,-88.073215
269,33.402476,-88.07179
270,33.401955,-88.070492
271,33.401718,-88.06996
