,Latitude,Longitude
0,33.6200389,-100.8529715
1,33.6200563,-100.853367
2,33.620019,-100.853807
3,33.619991,-100.854343
4,33.61998,-100.85508
5,33.620022,-100.856
6,33.620124,-100.856672
7,33.620267,-100.857321
8,33.620441,-100.857971
9,33.620545,-100.858291
10,33.620757,-100.85894
11,33.621242,-100.859919
12,33.621395,-100.860195
13,33.621664,-100.860683
14,33.622273,-100.861618
15,33.622579,-100.862124
16,33.622781,-100.862457
17,33.623489,-100.863625
18,33.625155,-100.866333
19,33.627885,-100.870741
20,33.628205,-100.871257
21,33.629577,-100.873627
22,33.630682,-100.875356
23,33.631235,-100.87625
24,33.631342,-100.876423
25,33.632039,-100.877587
26,33.632543,-100.878415
27,33.632827,-100.879057
28,33.632904,-100.879282
29,33.6330734,-100.8797787
30,33.633108,-100.87988
31,33.633416,-100.881021
32,33.634283,-100.885272
33,33.634872,-100.88816
34,33.635531,-100.891425
35,33.636068,-100.894082
36,33.636385,-100.895616
37,33.637011,-100.898654
38,33.637148,-100.899317
39,33.63745,-100.900782
40,33.63847,-100.905728
41,33.638619,-100.906468
42,33.6390478,-100.9086183
43,33.639651,-100.911585
44,33.640861,-100.917536
45,33.642087,-100.92346
46,33.643335,-100.929527
47,33.643557,-100.930558
48,33.643994,-100.932068
49,33.644282,-100.932977
50,33.644445,-100.933375
51,33.644676,-100.933942
52,33.644901,-100.934491
53,33.645464,-100.935595
54,33.645742,-100.936114
55,33.646097,-100.93673
56,33.6466549,-100.937575
57,33.647922,-100.939392
58,33.651853,-100.94496
59,33.652738,-100.94629
60,33.6535549,-100.9474146
61,33.654331,-100.948482
62,33.655341,-100.949939
63,33.655977,-100.950874
64,33.657702,-100.953316
65,33.658198,-100.954115
66,33.658784,-100.955173
67,33.65933,-100.956316
68,33.659957,-100.95784
69,33.661212,-100.96086
70,33.661237,-100.960929
71,33.663039,-100.96586
72,33.663365,-100.966788
73,33.663555,-100.967344
74,33.663813,-100.968081
75,33.664072,-100.96878
76,33.664254,-100.969316
77,33.664475,-100.969929
78,33.664643,-100.970351
79,33.664873,-100.970869
80,33.665134,-100.971426
81,33.665358,-100.97182
82,33.6654545,-100.9719703
83,33.665541,-100.972105
84,33.666009,-100.972851
85,33.66808,-100.975425
86,33.671619,-100.979784
87,33.6716999,-100.9798851
88,33.671779,-100.979984
89,33.67292,-100.981401
90,33.674692,-100.983603
91,33.677511,-100.987069
92,33.677799,-100.987436
93,33.679185,-100.989159
94,33.679706,-100.989817
95,33.680548,-100.990834
96,33.6808748,-100.9912294
97,33.6809017,-100.9912912
98,33.681171,-100.991608
99,33.681404,-100.991899
100,33.682228,-100.993001
101,33.682437,-100.993338
102,33.68297,-100.994262
103,33.683236,-100.994832
104,33.683293,-100.994954
105,33.683338,-100.995071
106,33.68359,-100.99573
107,33.683923,-100.996726
108,33.68408,-100.997337
109,33.684236,-100.998044
110,33.684285,-100.998397
111,33.684322,-100.998581
112,33.684344,-100.998692
113,33.6844,-100.999169
114,33.684469,-101.000329
115,33.684461,-101.001145
116,33.6843957,-101.0062347
117,33.684361,-101.008581
118,33.68424,-101.018502
119,33.684197,-101.021581
120,33.684077,-101.030156
121,33.683998,-101.035628
122,33.683984,-101.036571
123,33.68395,-101.040272
124,33.68395,-101.040379
125,33.6839132,-101.0435239
126,33.6838272,-101.0508625
127,33.6838249,-101.0511809
128,33.6837629,-101.0598489
129,33.6836915,-101.0636282
130,33.6836915,-101.0644151
131,33.6836558,-101.0652391
132,33.6835487,-101.0660888
133,33.6832773,-101.0677196
134,33.6824729,-101.0725364
135,33.6823672,-101.0731974
136,33.6823036,-101.073595
137,33.6817595,-101.0769994
138,33.6816346,-101.077779
139,33.6799633,-101.0876667
140,33.6797873,-101.0887378
141,33.6782098,-101.0983438
142,33.6778491,-101.1002924
143,33.6776562,-101.1016056
144,33.6775062,-101.102215
145,33.6772603,-101.1031179
146,33.6770563,-101.1036569
147,33.6766777,-101.104541
148,33.6756134,-101.106867
149,33.6725649,-101.1136325
150,33.6712277,-101.1166002
151,33.6707919,-101.1177332
152,33.6705348,-101.1185743
153,33.6703348,-101.1194755
154,33.6702634,-101.1201107
155,33.6702276,-101.1211321
156,33.6701772,-101.1242058
157,33.6701188,-101.1283815
158,33.6700999,-101.1297362
159,33.6700848,-101.1308223
160,33.6699517,-101.1393176
161,33.6699491,-101.1394827
162,33.6699276,-101.1402294
163,33.6698335,-101.141065
164,33.669599,-101.1423237
165,33.6691919,-101.1443149
166,33.6688133,-101.1462375
167,33.6685275,-101.1476537
168,33.6683347,-101.1487524
169,33.6682347,-101.1495935
170,33.6681704,-101.1505033
171,33.6680775,-101.1513101
172,33.6679846,-101.1521341
173,33.667256,-101.1558763
174,33.6671449,-101.1563786
175,33.667106,-101.1565544
176,33.6667417,-101.1577131
177,33.6662702,-101.1595499
178,33.6661557,-101.1600471
179,33.6660219,-101.1606278
180,33.6659559,-101.1609146
181,33.665713,-101.1620905
182,33.6654645,-101.163605
183,33.6654273,-101.1638328
184,33.6648344,-101.166382
185,33.6645915,-101.1674205
186,33.6643557,-101.1684076
187,33.6642414,-101.1690599
188,33.6641843,-101.1699611
189,33.6641986,-101.1715147
190,33.6642737,-101.1757315
191,33.6642766,-101.1760674
192,33.6642939,-101.1780895
193,33.6642834,-101.1784498
194,33.6642722,-101.1788083
195,33.6642383,-101.179192
196,33.6642098,-101.1794857
197,33.6641556,-101.1798521
198,33.6641031,-101.1801747
199,33.6640268,-101.1805377
200,33.6639523,-101.1808276
201,33.6638459,-101.1812185
202,33.6637375,-101.1815868
203,33.6628802,-101.1841762
204,33.6612695,-101.1890434
205,33.6600973,-101.1925759
206,33.6584867,-101.1972395
207,33.6584668,-101.1972977
208,33.6581026,-101.1983849
209,33.6578756,-101.1990362
210,33.6577431,-101.1994237
211,33.6576388,-101.1997809
212,33.6575467,-101.2001235
213,33.6574819,-101.2004318
214,33.6574251,-101.2007826
215,33.6573949,-101.2010877
216,33.6573851,-101.201349
217,33.6573508,-101.2015978
