,Latitude,Longitude
0,33.5976959,-95.8560612
1,33.5976773,-95.8564974
2,33.5976259,-95.8570808
3,33.5975718,-95.8578796
4,33.5974137,-95.858953
5,33.597293,-95.8595366
6,33.5971847,-95.8599119
7,33.5966947,-95.8612286
8,33.5963931,-95.861986
9,33.5958135,-95.863603
10,33.5954536,-95.8645989
11,33.59527,-95.8653359
12,33.5951531,-95.8662283
13,33.5951395,-95.8668383
14,33.5952011,-95.8676026
15,33.5952563,-95.8682173
16,33.5953492,-95.86917
17,33.5954297,-95.8699855
18,33.595477,-95.8705566
19,33.5954875,-95.8712226
20,33.5954614,-95.8716762
21,33.5953826,-95.8722688
22,33.5951728,-95.873482
23,33.5949315,-95.8750718
24,33.5948533,-95.8758615
25,33.5947519,-95.8772039
26,33.5947211,-95.8783315
27,33.5947159,-95.8792065
28,33.5947997,-95.8843599
29,33.5948903,-95.8899288
30,33.5948982,-95.8904153
31,33.5949465,-95.8924033
32,33.5949876,-95.8933893
33,33.5950897,-95.8943968
34,33.5952904,-95.8959034
35,33.5954854,-95.8971173
36,33.595793,-95.8986626
37,33.5964812,-95.902466
38,33.5966249,-95.9032116
39,33.5967481,-95.9040743
40,33.596907,-95.90525
41,33.5971515,-95.9075091
42,33.5973384,-95.9092443
43,33.5975231,-95.9111238
44,33.5976104,-95.911968
45,33.5978106,-95.913983
46,33.5979469,-95.9152185
47,33.5981134,-95.9166327
48,33.5983999,-95.9196929
49,33.5985698,-95.9213191
50,33.5987186,-95.9233807
51,33.5988133,-95.9247121
52,33.598875,-95.9267062
53,33.598956,-95.9287064
54,33.5991514,-95.9342494
55,33.5993454,-95.939837
56,33.5993581,-95.940094
57,33.5993711,-95.9403751
58,33.5995844,-95.9460869
59,33.5996374,-95.9470071
60,33.5997271,-95.94786
61,33.5998362,-95.9486033
62,33.59998,-95.9493626
63,33.6001091,-95.9499447
64,33.600339,-95.9508578
65,33.6007399,-95.952231
66,33.6019304,-95.9563006
67,33.6036528,-95.962182
68,33.6042419,-95.9641935
69,33.6044895,-95.9650853
70,33.6047194,-95.9660692
71,33.6049081,-95.966954
72,33.6049852,-95.9673291
73,33.6051144,-95.9680795
74,33.6052205,-95.9690351
75,33.6052913,-95.9702384
76,33.6053502,-95.9713993
77,33.6054343,-95.9740398
78,33.6056065,-95.9794168
79,33.6056891,-95.9817627
80,33.6057775,-95.9830297
81,33.6058718,-95.9840419
82,33.6060133,-95.9850612
83,33.6060666,-95.9853524
84,33.6061843,-95.9859956
85,33.6068708,-95.9892095
86,33.6086859,-95.9979572
87,33.6088784,-95.9988853
88,33.6089879,-95.9995316
89,33.6090906,-96.0001382
90,33.609238,-96.0011929
91,33.6093559,-96.0022829
92,33.6094742,-96.0037224
93,33.6095563,-96.0048453
94,33.609667,-96.010357
95,33.6097193,-96.0129309
96,33.6098217,-96.0180162
97,33.6099145,-96.0226244
98,33.6099513,-96.0244525
99,33.60991,-96.0256275
100,33.6098275,-96.0265052
101,33.609745,-96.027298
102,33.6097037,-96.0275457
103,33.6095445,-96.0285579
104,33.6093854,-96.0293295
105,33.6087165,-96.0323654
106,33.6077285,-96.0368497
107,33.6072277,-96.0392605
108,33.606874,-96.0408885
109,33.6060751,-96.0448217
110,33.605908,-96.0457207
111,33.6057711,-96.0470174
112,33.6057399,-96.0479225
113,33.6057268,-96.0489132
114,33.6057495,-96.0534356
115,33.6057563,-96.0575832
116,33.6057569,-96.0579211
117,33.6057584,-96.0582344
118,33.6057784,-96.0622166
119,33.6057817,-96.0685546
120,33.6058185,-96.0745313
121,33.6058276,-96.0800567
122,33.6058485,-96.0813583
123,33.6059166,-96.0834054
124,33.6061933,-96.0900861
125,33.6064082,-96.0952437
126,33.606668,-96.1011574
127,33.6069094,-96.1066508
128,33.6069131,-96.108195
129,33.6068828,-96.1090973
130,33.6068482,-96.1097486
131,33.6067276,-96.1110047
132,33.6066177,-96.1117404
133,33.6064663,-96.1127204
134,33.6057007,-96.1172724
135,33.6048411,-96.1226213
136,33.6039556,-96.1281525
137,33.6036482,-96.1301449
138,33.603382,-96.1317564
139,33.6032262,-96.1326671
140,33.6030772,-96.1337323
141,33.6029738,-96.1348504
142,33.6029477,-96.1356288
143,33.6029343,-96.1364875
144,33.6029594,-96.1373528
145,33.6030358,-96.1388132
146,33.6031742,-96.1420593
147,33.6032837,-96.144795
148,33.6033709,-96.1470616
149,33.6035372,-96.1509785
150,33.6035609,-96.1515362
151,33.603712,-96.155244
152,33.6041067,-96.163876
153,33.6044991,-96.1740349
154,33.6045438,-96.1750686
155,33.6047565,-96.180085
156,33.6050563,-96.1870435
157,33.6052328,-96.1914307
158,33.6052759,-96.1925173
159,33.6053913,-96.1950004
160,33.6054369,-96.196915
161,33.6054296,-96.197386
162,33.6054199,-96.1979539
163,33.6053721,-96.1991308
164,33.6053217,-96.2000054
165,33.6050872,-96.2036945
166,33.6050132,-96.2050486
167,33.6049227,-96.2067067
168,33.6047798,-96.2092738
169,33.6047101,-96.2104696
170,33.6044298,-96.2152798
171,33.6044151,-96.2155314
172,33.6041153,-96.2206901
173,33.6040941,-96.2218633
