,Latitude,Longitude
0,31.12315,-85.055733
1,31.121861,-85.049942
2,31.12145,-85.048424
3,31.120649,-85.046288
4,31.120081,-85.045158
5,31.116079,-85.038658
6,31.11517,-85.037079
7,31.102579,-85.01252
8,31.101179,-85.010231
9,31.100599,-85.009369
10,31.09659,-85.003769
11,31.094481,-85.000931
12,31.093241,-84.999153
13,31.092779,-84.998398
14,31.09059,-84.993782
15,31.086189,-84.985222
16,31.085819,-84.984337
17,31.08341,-84.977737
18,31.080379,-84.971077
19,31.074169,-84.957649
20,31.06955,-84.947403
21,31.065689,-84.939056
22,31.06291,-84.931908
23,31.06208,-84.929588
24,31.05942,-84.922836
25,31.055771,-84.913162
26,31.05468,-84.910568
27,31.05356,-84.907669
28,31.05254,-84.905319
29,31.05105,-84.901649
30,31.050341,-84.9002
31,31.049931,-84.899078
32,31.049259,-84.896812
33,31.04924,-84.896591
34,31.048441,-84.894737
35,31.047979,-84.893967
36,31.047319,-84.893173
37,31.041451,-84.887878
38,31.041201,-84.887581
39,31.04081,-84.886902
40,31.040661,-84.886482
41,31.040581,-84.886093
42,31.04044,-84.87925
43,31.040319,-84.875877
44,31.040251,-84.875359
45,31.04006,-84.874763
46,31.03886,-84.872063
47,31.034691,-84.862267
48,31.03393,-84.86087
49,31.033859,-84.86084
50,31.03318,-84.859543
51,31.03084,-84.85421
52,31.02903,-84.849907
53,31.027189,-84.845734
54,31.02352,-84.837059
55,31.019581,-84.827911
56,31.01819,-84.824188
57,31.01778,-84.823196
58,31.017509,-84.82267
59,31.01656,-84.821167
60,31.015181,-84.819443
61,31.014549,-84.818558
62,31.01199,-84.815361
63,31.011101,-84.814056
64,31.010599,-84.813072
65,31.01021,-84.81208
66,31.009899,-84.811096
67,31.0096,-84.8097
68,31.00898,-84.805931
69,31.008551,-84.802948
70,31.00819,-84.801369
71,31.00766,-84.799843
72,31.00152,-84.78582
73,30.998199,-84.777924
74,30.992081,-84.763763
75,30.99157,-84.762863
76,30.98872,-84.759148
77,30.98774,-84.758163
78,30.986799,-84.757507
79,30.981899,-84.754662
80,30.981119,-84.754143
81,30.97945,-84.752586
82,30.97831,-84.751373
83,30.97768,-84.750511
84,30.976959,-84.749443
85,30.976509,-84.748528
86,30.97563,-84.745956
87,30.974899,-84.744019
88,30.97057,-84.733383
89,30.969931,-84.732162
90,30.96085,-84.718948
91,30.95715,-84.713997
92,30.95628,-84.712761
93,30.954691,-84.710342
94,30.953369,-84.708488
95,30.951571,-84.705833
96,30.94932,-84.702721
97,30.9464,-84.698357
98,30.94561,-84.69677
99,30.94533,-84.6959
100,30.945049,-84.694771
101,30.942579,-84.684097
102,30.93972,-84.6726
103,30.937559,-84.663597
104,30.936239,-84.658333
105,30.93273,-84.643738
106,30.931841,-84.639809
107,30.929529,-84.630463
108,30.92886,-84.627449
109,30.92761,-84.622269
110,30.92695,-84.62014
111,30.926189,-84.61805
112,30.922661,-84.609138
113,30.921471,-84.606247
114,30.921089,-84.605148
115,30.91987,-84.602127
116,30.91987,-84.602127
117,30.91951,-84.602211
118,30.91918,-84.602081
119,30.917839,-84.600731
120,30.91691,-84.599892
121,30.9121,-84.594856
122,30.91161,-84.59449
123,30.91078,-84.593643
124,30.90893,-84.591591
125,30.906759,-84.589317
126,30.90523,-84.587769
127,30.904869,-84.587471
128,30.904659,-84.587334
129,30.903999,-84.587044
130,30.90317,-84.586967
131,30.90262,-84.587044
132,30.900881,-84.587677
133,30.9004,-84.587753
134,30.90007,-84.58773
135,30.89946,-84.587593
136,30.89924,-84.587486
137,30.898569,-84.586998
138,30.89826,-84.586662
139,30.89642,-84.584221
140,30.89469,-84.58213
141,30.89344,-84.58049
142,30.892929,-84.579712
143,30.89267,-84.579201
144,30.89245,-84.578613
145,30.89225,-84.577698
146,30.892191,-84.577019
147,30.89213,-84.573807
148,30.89205,-84.572823
149,30.891729,-84.571129
150,30.890659,-84.5672
151,30.89031,-84.565132
152,30.89019,-84.563812
153,30.89015,-84.563087
154,30.89036,-84.560944
155,30.89053,-84.560051
156,30.890949,-84.558472
157,30.891251,-84.557617
158,30.891979,-84.556007
159,30.892469,-84.555138
160,30.89467,-84.551552
161,30.895531,-84.550293
162,30.896391,-84.54921
163,30.896851,-84.548721
164,30.89817,-84.547432
165,30.90053,-84.54525
166,30.901569,-84.544128
