,Latitude,Longitude
0,36.04178,-106.10231
1,36.04167,-106.10226
2,36.04155,-106.10211
3,36.04131,-106.10183
4,36.04018,-106.1004
5,36.03967,-106.09978
6,36.03949,-106.09955
7,36.03905,-106.09903
8,36.03849,-106.0983
9,36.03769,-106.09729
10,36.03715,-106.09663
11,36.03712,-106.09658
12,36.03692,-106.09634
13,36.03667,-106.09607
14,36.03642,-106.09582
15,36.03616,-106.0956
16,36.03596,-106.09544
17,36.03577,-106.09531
18,36.03547,-106.09512
19,36.03534,-106.09506
20,36.03516,-106.09496
21,36.03488,-106.09483
22,36.03466,-106.09476
23,36.03455,-106.09472
24,36.03401,-106.09456
25,36.03273,-106.09422
26,36.03081,-106.09375
27,36.02889,-106.09323
28,36.02768,-106.09295
29,36.02719,-106.09281
30,36.02575,-106.09246
31,36.01884,-106.09065
32,36.01796,-106.0904
33,36.01583,-106.08984
34,36.01543,-106.08975
35,36.01427,-106.08944
36,36.0138,-106.08933
37,36.01265,-106.08901
38,36.01074,-106.08853
39,36.0103,-106.08844
40,36.00984,-106.08836
41,36.00963,-106.08831
42,36.00962,-106.08831
43,36.00845,-106.088
44,36.00826,-106.08794
45,36.00816,-106.08792
46,36.00741,-106.08773
47,36.00679,-106.08756
48,36.00651,-106.08749
49,36.00631,-106.08743
50,36.00614,-106.08739
51,36.0056,-106.08724
52,36.00392,-106.08681
53,36.00387,-106.08679
54,36.00383,-106.08677
55,36.00361,-106.08672
56,36.00345,-106.08669
57,36.0026,-106.08647
58,36.00236,-106.0864
59,36.00204,-106.08633
60,36.00149,-106.08618
61,36.00077,-106.086
62,36.00022,-106.08585
63,35.99983,-106.08573
64,35.99936,-106.08557
65,35.99883,-106.08536
66,35.9978,-106.08488
67,35.99761,-106.08478
68,35.99747,-106.0847
69,35.9972,-106.08456
70,35.99688,-106.08438
71,35.99641,-106.08413
72,35.99598,-106.08388
73,35.99514,-106.08342
74,35.99484,-106.08324
75,35.99418,-106.08289
76,35.99342,-106.08244
77,35.99318,-106.08229
78,35.99298,-106.08215
79,35.99292,-106.08212
80,35.99218,-106.08157
81,35.99132,-106.08089
82,35.99092,-106.08054
83,35.99083,-106.08054
84,35.99063,-106.08052
85,35.99055,-106.0805
86,35.99046,-106.08045
87,35.99019,-106.08043
88,35.98918,-106.08043
89,35.98899,-106.08042
90,35.98878,-106.08043
91,35.98867,-106.08046
92,35.98854,-106.08049
93,35.98797,-106.08051
94,35.98785,-106.08052
95,35.9879,-106.08035
96,35.98797,-106.07879
97,35.98801,-106.07817
98,35.98806,-106.07681
99,35.98814,-106.07538
100,35.98817,-106.07444
101,35.98826,-106.0724
102,35.98831,-106.07169
103,35.98849,-106.07009
104,35.98856,-106.06888
105,35.98856,-106.06853
106,35.98854,-106.06804
107,35.98854,-106.06744
108,35.98855,-106.06723
109,35.98855,-106.06686
110,35.98858,-106.06653
111,35.9886,-106.06619
112,35.98863,-106.06603
113,35.98867,-106.06577
114,35.98867,-106.0657
115,35.98865,-106.06561
116,35.98864,-106.06554
117,35.98861,-106.0655
118,35.98849,-106.0653
119,35.98837,-106.06506
120,35.98831,-106.06491
121,35.98828,-106.06482
122,35.98825,-106.06468
123,35.98821,-106.06454
124,35.98781,-106.06238
125,35.98768,-106.06173
126,35.98756,-106.06106
127,35.98731,-106.05996
128,35.9873,-106.05995
129,35.98688,-106.0582
130,35.98685,-106.05809
131,35.98665,-106.05724
132,35.9866,-106.05705
133,35.98659,-106.05699
134,35.98603,-106.05466
135,35.98588,-106.0541
136,35.98578,-106.05377
137,35.98565,-106.0534
138,35.98548,-106.05299
139,35.98534,-106.0527
140,35.98516,-106.05236
141,35.98498,-106.05207
142,35.98471,-106.05167
143,35.98456,-106.05147
144,35.98439,-106.05127
145,35.9842,-106.05106
146,35.98395,-106.05082
147,35.98203,-106.0492
148,35.98182,-106.04901
149,35.98135,-106.04862
150,35.98133,-106.04861
151,35.98103,-106.04835
152,35.98052,-106.04794
153,35.98044,-106.04786
154,35.98035,-106.04779
155,35.97934,-106.04694
156,35.97852,-106.04628
157,35.97795,-106.04579
158,35.97769,-106.04558
159,35.97749,-106.04539
160,35.97722,-106.04518
161,35.97658,-106.04463
162,35.97634,-106.04444
163,35.97591,-106.04407
164,35.97367,-106.0422
165,35.97342,-106.04198
166,35.97134,-106.04023
167,35.97069,-106.03963
168,35.97017,-106.03913
169,35.96977,-106.03871
