,Latitude,Longitude
0,31.406975,-86.0410664
1,31.407257,-86.0412404
2,31.4086672,-86.0421615
3,31.4100136,-86.0431947
4,31.4114675,-86.0444531
5,31.4129174,-86.0457255
6,31.4130538,-86.0458225
7,31.4142629,-86.0466825
8,31.4189603,-86.0498648
9,31.4192944,-86.0501144
10,31.4205703,-86.0510675
11,31.4211698,-86.0516967
12,31.4216928,-86.0523148
13,31.422188,-86.0530606
14,31.4225308,-86.053668
15,31.4228121,-86.0542637
16,31.4231678,-86.0551728
17,31.423256,-86.0554295
18,31.4233259,-86.0556948
19,31.4234475,-86.0562495
20,31.4235757,-86.056803
