,Latitude,Longitude
0,31.3069937,-85.8282988
1,31.3071374,-85.8285118
2,31.3071996,-85.8286164
3,31.3072696,-85.8287075
4,31.3073551,-85.828778
5,31.3074348,-85.8288326
6,31.3075281,-85.8288781
7,31.3076916,-85.828962
8,31.3089122,-85.8291214
9,31.3089663,-85.8291283
10,31.309956,-85.829284
11,31.3104241,-85.8293482
12,31.3116035,-85.8295101
13,31.312164,-85.829587
14,31.3132551,-85.8297267
15,31.313367,-85.829741
16,31.313755,-85.829801
17,31.314194,-85.829855
18,31.314321,-85.82987
19,31.3144962,-85.829895
20,31.314686,-85.829922
21,31.314951,-85.82996
22,31.315076,-85.829983
23,31.315479,-85.8300378
24,31.315734,-85.830072
25,31.315801,-85.830078
26,31.316099,-85.8301181
27,31.316767,-85.830208
28,31.317125,-85.830259
29,31.317321,-85.830287
30,31.318882,-85.830507
31,31.319249,-85.830552
32,31.320208,-85.830683
33,31.3209384,-85.8307835
34,31.321146,-85.830812
35,31.32192,-85.830906
36,31.322065,-85.830927
37,31.3221179,-85.830932
38,31.322202,-85.83094
39,31.3223538,-85.8309657
40,31.322491,-85.830989
41,31.3225532,-85.8310034
42,31.3230698,-85.8311598
43,31.323522,-85.8313269
44,31.32363,-85.831367
45,31.3237497,-85.8314141
46,31.324103,-85.831596
47,31.324367,-85.831749
48,31.324494,-85.831832
49,31.324558,-85.831881
50,31.324685,-85.831965
51,31.324778,-85.832033
52,31.325033,-85.832266
53,31.325156,-85.832366
54,31.325382,-85.832572
55,31.32561,-85.832772
56,31.32582,-85.832985
57,31.3259282,-85.8330875
58,31.326117,-85.8333
59,31.32622,-85.833422
60,31.326413,-85.833679
61,31.326459,-85.833747
62,31.32671,-85.834168
63,31.3268155,-85.8343604
64,31.326908,-85.834529
65,31.327211,-85.835115
66,31.3272477,-85.835173
67,31.3279066,-85.8364457
68,31.3283749,-85.8373431
69,31.3285316,-85.8376433
70,31.32871,-85.8379852
71,31.3288815,-85.8383173
72,31.3290651,-85.8386852
73,31.3296461,-85.839805
74,31.3320888,-85.8445262
75,31.332311,-85.844934
76,31.3324095,-85.8451293
77,31.3332556,-85.8468053
78,31.3335237,-85.8473366
79,31.3337132,-85.8477269
80,31.3338748,-85.8480809
81,31.3340019,-85.8483854
82,31.3341336,-85.848722
83,31.3342533,-85.8490532
84,31.3344469,-85.8496722
85,31.3345832,-85.8501731
86,31.3346496,-85.8504507
87,31.3346989,-85.8506572
88,31.33477,-85.8509985
89,31.3348375,-85.8514203
90,31.3349049,-85.8518859
91,31.3349624,-85.8524163
92,31.3349928,-85.8528848
93,31.3350113,-85.853382
94,31.3350101,-85.8537535
95,31.3350038,-85.8541639
96,31.3349831,-85.8545267
97,31.3349577,-85.8549505
98,31.3349491,-85.8550868
99,31.334905,-85.8554761
100,31.334821,-85.8560768
101,31.3346514,-85.8571098
102,31.3345137,-85.8579488
103,31.3344276,-85.8585096
104,31.3343782,-85.858819
105,31.3343219,-85.8592095
106,31.3343184,-85.8592338
107,31.3342715,-85.8595175
108,31.3341879,-85.8600754
109,31.334106,-85.8606154
110,31.3339218,-85.8618025
111,31.333665,-85.863422
112,31.3335778,-85.8639473
113,31.3335889,-85.8642364
114,31.3334988,-85.8648953
115,31.3335175,-85.8650252
116,31.3335917,-85.8651637
117,31.3339575,-85.8655277
