,Latitude,Longitude
0,31.781659,-88.468242
1,31.782459,-88.466607
2,31.782803,-88.465904
3,31.783008,-88.465463
4,31.783198,-88.465013
5,31.783329,-88.464652
6,31.783422,-88.464304
7,31.783524,-88.463815
8,31.783595,-88.463316
9,31.783633,-88.462811
10,31.783629,-88.462305
11,31.783614,-88.462052
12,31.783554,-88.461551
13,31.783367,-88.460457
14,31.783017,-88.458601
15,31.782936,-88.458207
16,31.782752,-88.457206
17,31.782545,-88.456142
18,31.782444,-88.455627
19,31.782307,-88.454893
20,31.781989,-88.453198
21,31.78164,-88.451407
22,31.781547,-88.451003
23,31.78149,-88.450756
24,31.781308,-88.450118
25,31.781119,-88.449573
26,31.781015,-88.449313
27,31.780845,-88.448888
28,31.780294,-88.447596
29,31.780212,-88.447405
30,31.779962,-88.446784
31,31.779907,-88.446635
32,31.779763,-88.446246
33,31.77948,-88.445386
34,31.778933,-88.443537
35,31.778706,-88.442757
36,31.778641,-88.442532
37,31.778575,-88.442315
38,31.778389,-88.441707
39,31.778026,-88.440474
40,31.777821,-88.43976
41,31.77683,-88.436436
42,31.773593,-88.425495
43,31.773399,-88.42478
44,31.773227,-88.424057
45,31.773108,-88.42349
46,31.772969,-88.422669
47,31.772897,-88.42217
48,31.772807,-88.421335
49,31.772756,-88.420581
50,31.77264,-88.41782
51,31.772336,-88.409292
52,31.772221,-88.406247
53,31.772215,-88.406009
54,31.772199,-88.405118
55,31.772199,-88.404783
56,31.772217,-88.404199
57,31.772278,-88.403538
58,31.772333,-88.403142
59,31.77237,-88.402873
60,31.77238,-88.402805
61,31.772381,-88.402794
62,31.772518,-88.402062
63,31.772554,-88.401895
64,31.772579,-88.401798
65,31.772743,-88.401173
66,31.772869,-88.400781
67,31.773111,-88.400086
68,31.773428,-88.399247
69,31.774259,-88.397109
70,31.774433,-88.396648
71,31.774615,-88.396194
72,31.777791,-88.387973
73,31.778227,-88.386862
74,31.780113,-88.381959
75,31.780334,-88.381344
76,31.780472,-88.380867
77,31.780569,-88.380462
78,31.78065,-88.380052
79,31.780716,-88.379637
80,31.780785,-88.379053
81,31.780806,-88.378802
82,31.780806,-88.378722
83,31.780825,-88.378466
84,31.780832,-88.378213
85,31.780831,-88.378125
