,Latitude,Longitude
0,31.5673531,-91.4294725
1,31.567578,-91.4301686
2,31.5676077,-91.4302678
3,31.5676997,-91.4305479
4,31.5678203,-91.4309203
5,31.5680337,-91.4316393
6,31.5683232,-91.4325228
7,31.568384,-91.4327303
8,31.5690358,-91.4347653
9,31.5691325,-91.4350863
10,31.569177,-91.435229
11,31.5692109,-91.4353305
12,31.569229,-91.4353899
13,31.5692434,-91.4354344
14,31.5693368,-91.4357121
15,31.569414,-91.4359871
16,31.5695268,-91.436329
17,31.5696914,-91.4368594
18,31.5699522,-91.4377187
19,31.5700791,-91.4381261
20,31.5702378,-91.4386241
21,31.5703441,-91.4389428
22,31.5705203,-91.4395136
23,31.5707719,-91.4403002
24,31.5710005,-91.4410264
25,31.5710596,-91.4412448
26,31.571188,-91.4416355
27,31.5712524,-91.4418738
28,31.5713365,-91.4421849
29,31.5714285,-91.4425254
30,31.571487,-91.4427418
31,31.5716934,-91.4436271
32,31.5718181,-91.4442305
33,31.5719419,-91.444909
34,31.5720018,-91.4452837
35,31.57214,-91.4462129
36,31.5722241,-91.4466775
37,31.5723017,-91.44723
38,31.5724692,-91.4483301
39,31.5726369,-91.4494099
40,31.5729602,-91.4514963
41,31.5733061,-91.4534111
42,31.5733831,-91.4539269
43,31.5734237,-91.4541569
44,31.5734967,-91.4545256
45,31.5735768,-91.4550085
46,31.5736588,-91.4554612
47,31.573793,-91.4563248
48,31.5739468,-91.4573054
49,31.5740732,-91.4581347
50,31.5740918,-91.4582522
51,31.5743565,-91.4599901
52,31.5746945,-91.4622385
53,31.5748684,-91.4634575
54,31.5749249,-91.4638012
55,31.5749298,-91.4638393
56,31.5750311,-91.4646198
57,31.5751135,-91.4651379
58,31.5752174,-91.4657477
59,31.5753525,-91.4666686
60,31.575466,-91.4674672
61,31.5755934,-91.4683606
62,31.5757797,-91.4694613
63,31.5758151,-91.4696703
64,31.5758387,-91.4698093
65,31.575976,-91.470612
66,31.5759876,-91.4710736
67,31.5760588,-91.4715339
68,31.5761633,-91.4722114
69,31.5762641,-91.4728463
70,31.5763953,-91.4734627
71,31.5764829,-91.4737982
72,31.576537,-91.4740011
73,31.5765727,-91.4741191
74,31.5767887,-91.4747921
75,31.5768607,-91.4749994
76,31.5769631,-91.4753235
77,31.5775481,-91.4771438
78,31.577879,-91.4781701
79,31.5779983,-91.4785303
80,31.5782921,-91.4794428
81,31.578742,-91.4808302
82,31.5788745,-91.4812457
83,31.5790954,-91.4819322
84,31.5795297,-91.4832867
85,31.5797543,-91.4839687
86,31.5808874,-91.487488
87,31.5810971,-91.4880893
88,31.5813626,-91.4887626
89,31.5814123,-91.4888921
90,31.5815176,-91.4891108
91,31.5817707,-91.4896274
92,31.5818566,-91.4897759
93,31.582288,-91.4905624
94,31.5826748,-91.49125
95,31.5829171,-91.4916923
96,31.5831667,-91.4921343
97,31.5836817,-91.4930537
98,31.5839803,-91.493588
99,31.5846221,-91.4947414
100,31.5847462,-91.4949598
101,31.5849686,-91.4953538
102,31.5854384,-91.4961983
103,31.5859676,-91.497096
104,31.5862153,-91.4974742
105,31.5865319,-91.4979136
106,31.5869735,-91.4984644
107,31.5872781,-91.4988411
108,31.5877322,-91.4993937
109,31.5883102,-91.5000924
110,31.5889562,-91.5008775
111,31.590747,-91.5030617
112,31.5917927,-91.5043341
113,31.5921993,-91.5048287
114,31.592566,-91.5052656
115,31.5929057,-91.5056691
116,31.594206,-91.5071574
117,31.5955511,-91.508702
118,31.5962208,-91.5094644
119,31.5978363,-91.5113147
120,31.5992287,-91.5129084
121,31.6002139,-91.5140433
122,31.600337,-91.5141815
123,31.601075,-91.515028
124,31.6013869,-91.5153858
125,31.6025175,-91.5166688
126,31.6029524,-91.5171674
127,31.6034024,-91.5176894
128,31.6040493,-91.5184284
129,31.6043686,-91.5187928
130,31.6047864,-91.5192723
131,31.6050015,-91.5195452
132,31.6052966,-91.5199371
133,31.6054584,-91.5201756
134,31.6056233,-91.520428
135,31.6057807,-91.5207003
136,31.606005,-91.5211071
