,Latitude,Longitude
0,32.0643092,-93.5557351
1,32.0642529,-93.5561005
2,32.0640293,-93.5572355
3,32.0639055,-93.5578967
4,32.063854,-93.5581649
5,32.0637818,-93.5585848
6,32.063718,-93.5589614
7,32.0636702,-93.5593249
8,32.0636208,-93.5597141
9,32.0635704,-93.5601748
10,32.0635382,-93.5605437
11,32.0634867,-93.5611729
12,32.0634166,-93.5622007
13,32.0633298,-93.5633837
14,32.0632831,-93.5640098
15,32.063263,-93.5643482
16,32.0631992,-93.5651567
17,32.0631737,-93.5655289
18,32.0631079,-93.566484
19,32.0630314,-93.567211
20,32.0629114,-93.5680408
21,32.0628391,-93.5684243
22,32.0627658,-93.5687339
23,32.0626246,-93.5692102
