,Latitude,Longitude
0,31.7423379,-88.5294641
1,31.7422171,-88.5315786
2,31.7421975,-88.5320651
3,31.742087,-88.5329116
4,31.7420071,-88.5333011
5,31.7419119,-88.5337404
6,31.7416956,-88.5344748
7,31.7414105,-88.5352259
8,31.7409648,-88.5362762
9,31.7404552,-88.5374237
10,31.7381394,-88.5428219
11,31.7357547,-88.5483451
12,31.7334206,-88.553812
13,31.7329493,-88.5549235
14,31.732764,-88.5554025
15,31.7325615,-88.5559808
16,31.7323784,-88.5565263
17,31.7322541,-88.556944
18,31.7320951,-88.5574668
19,31.7316268,-88.5595058
20,31.7306233,-88.5646969
21,31.7299935,-88.5677903
22,31.7295917,-88.5697861
23,31.7287201,-88.574238
24,31.7285916,-88.5748946
25,31.7284858,-88.5754373
26,31.7276652,-88.5796479
27,31.7271887,-88.5820747
28,31.7263335,-88.5863482
29,31.7252939,-88.5916649
30,31.7249986,-88.5931371
31,31.7248187,-88.5940344
32,31.7244623,-88.595447
33,31.724002,-88.5970267
34,31.7236099,-88.5981805
35,31.7230487,-88.5996868
36,31.7225805,-88.6007877
37,31.7220821,-88.601836
38,31.7214904,-88.6029726
39,31.7211951,-88.603516
40,31.7207855,-88.6042221
41,31.7198915,-88.6056234
42,31.7187917,-88.6071282
43,31.7179087,-88.6082782
44,31.7172857,-88.6090085
45,31.7163172,-88.6100257
46,31.7151037,-88.6111799
47,31.7148388,-88.6114202
48,31.7144035,-88.6118352
49,31.7134603,-88.612724
50,31.7125028,-88.613661
51,31.7120347,-88.6140733
52,31.7116832,-88.6144559
53,31.7114212,-88.6147705
54,31.7109362,-88.6154503
55,31.7105335,-88.6161332
56,31.7102935,-88.6166388
57,31.7101687,-88.616914
58,31.71005,-88.6171997
59,31.7099515,-88.6174718
60,31.709856,-88.6177581
61,31.7097673,-88.6180673
62,31.7096816,-88.6183943
63,31.7096167,-88.6186685
64,31.7095458,-88.6189693
65,31.7091218,-88.6210631
66,31.7081052,-88.6262334
67,31.7075297,-88.6290968
68,31.7065427,-88.6341868
69,31.7063487,-88.6351936
70,31.7053825,-88.6400867
71,31.7046583,-88.6437073
72,31.7037372,-88.6482353
73,31.7035041,-88.6492416
74,31.7032108,-88.6502333
75,31.7028111,-88.6513097
76,31.702349,-88.6523763
77,31.7019539,-88.6531686
78,31.7014204,-88.6541169
79,31.7008828,-88.6549817
80,31.7002582,-88.65585
81,31.6996017,-88.6566676
82,31.6981982,-88.6582256
83,31.6961982,-88.6605741
84,31.6957352,-88.6611059
85,31.694996,-88.6619397
86,31.6935069,-88.6636434
87,31.692933,-88.6642916
88,31.6913065,-88.6661704
89,31.6877951,-88.6701825
90,31.6869112,-88.6712002
91,31.6862889,-88.6719083
92,31.6856251,-88.6726737
93,31.6852169,-88.6731969
94,31.6848131,-88.6737739
95,31.6845001,-88.6742791
96,31.6841413,-88.6749396
97,31.6837887,-88.6757047
98,31.6834659,-88.6765175
99,31.6832581,-88.6771378
100,31.68317,-88.6774602
101,31.6830342,-88.6780118
102,31.6829002,-88.6786491
103,31.6827878,-88.6793678
104,31.6827194,-88.6800314
105,31.6826897,-88.680544
106,31.6826709,-88.6810756
107,31.6826673,-88.6824379
108,31.6826716,-88.6841321
109,31.6826805,-88.6873978
110,31.6827047,-88.6881556
111,31.6827696,-88.6892691
112,31.6828739,-88.6903796
113,31.6829718,-88.6913211
114,31.6831092,-88.6922583
115,31.683133,-88.692397
116,31.6832624,-88.6931492
117,31.6833995,-88.6938436
118,31.6836745,-88.6950319
119,31.6840628,-88.6964924
120,31.6845618,-88.6982001
121,31.684992,-88.6994082
122,31.6855339,-88.700695
123,31.6863831,-88.7024546
124,31.6876181,-88.7049004
125,31.6894875,-88.7085661
126,31.6907029,-88.7110574
127,31.6910497,-88.711683
128,31.6914014,-88.7122436
129,31.6925191,-88.7139631
130,31.6928446,-88.7144744
131,31.693167,-88.7150364
132,31.6934251,-88.7155212
133,31.6936967,-88.7160414
134,31.6943678,-88.7174206
135,31.6949986,-88.7186941
136,31.6954691,-88.7196505
137,31.6955008,-88.719715
138,31.6958666,-88.7206656
139,31.6961411,-88.7216672
140,31.6962762,-88.7224337
141,31.6963484,-88.7231093
142,31.6963859,-88.723812
143,31.6963858,-88.7245506
144,31.6963209,-88.7273341
145,31.696266,-88.7296413
146,31.696236,-88.7309073
147,31.6962334,-88.7311042
148,31.6961351,-88.7354287
149,31.6960624,-88.738679
150,31.6960304,-88.7400325
151,31.6959681,-88.7422298
152,31.695925,-88.7446417
153,31.6958521,-88.7477236
154,31.6958015,-88.7500563
155,31.6957478,-88.7525239
156,31.6957285,-88.7534097
157,31.6956218,-88.7579277
158,31.6955983,-88.7588829
159,31.6954329,-88.7664726
160,31.6952803,-88.7728428
161,31.6952448,-88.7749778
162,31.695177,-88.777892
163,31.6951705,-88.778126
164,31.695161,-88.778468
165,31.695148,-88.778908
166,31.6951153,-88.7803195
167,31.6948843,-88.7908105
168,31.6948329,-88.793261
169,31.6948179,-88.7941876
170,31.6948739,-88.7953712
171,31.694968,-88.7964554
172,31.6950132,-88.7968179
173,31.6950836,-88.7973818
174,31.6958599,-88.8032903
175,31.696059,-88.8048057
176,31.6962284,-88.8060919
177,31.6964083,-88.8074963
178,31.6965401,-88.8084681
179,31.6966655,-88.8094089
180,31.697107,-88.812721
181,31.697137,-88.812947
182,31.6972862,-88.8142692
183,31.6973472,-88.8150758
184,31.6973703,-88.8157441
185,31.6973796,-88.8163965
186,31.6973701,-88.8172921
187,31.6972023,-88.8258478
188,31.6972014,-88.8258922
189,31.697124,-88.8293348
190,31.6970425,-88.8334643
191,31.6969186,-88.8397397
192,31.6968476,-88.843231
193,31.696812,-88.846546
194,31.696822,-88.84893
195,31.6968239,-88.8494297
196,31.6968391,-88.8534025
197,31.6968997,-88.8603547
198,31.696886,-88.864848
199,31.6969552,-88.8673283
200,31.6969551,-88.8684004
201,31.6969648,-88.8693315
202,31.6969781,-88.8723474
203,31.69701,-88.876329
204,31.6970354,-88.8785946
205,31.697056,-88.880431
206,31.697078,-88.882385
207,31.6970664,-88.8847982
208,31.6970947,-88.8876514
209,31.6971009,-88.8905606
210,31.6971445,-88.8911613
211,31.6972442,-88.8918999
212,31.697386,-88.892652
213,31.6975901,-88.8933789
214,31.6997843,-88.8998515
