,Latitude,Longitude
0,33.5415594,-101.8489489
1,33.5413946,-101.848881
2,33.5410364,-101.8485066
3,33.5407384,-101.8481705
4,33.5400576,-101.8474524
5,33.5395852,-101.8469476
6,33.539167,-101.8465078
7,33.539007,-101.8463404
8,33.5389261,-101.8462509
9,33.5387281,-101.8460374
10,33.538086,-101.8452257
11,33.5378636,-101.844893
12,33.5376251,-101.8445029
13,33.5373886,-101.8440586
14,33.5372018,-101.8436716
15,33.5370182,-101.8432402
16,33.536922,-101.8429901
17,33.5367607,-101.8425213
18,33.5365937,-101.842002
19,33.5363189,-101.8411447
20,33.535827,-101.8395638
21,33.5355926,-101.8388037
22,33.5346905,-101.835782
23,33.5343803,-101.834766
24,33.5341281,-101.8339221
25,33.5340094,-101.8335251
26,33.5339978,-101.8334861
27,33.5338314,-101.832995
28,33.533538,-101.832129
29,33.5333194,-101.8314191
30,33.5329655,-101.8302708
31,33.532863,-101.8299382
32,33.532659,-101.829276
33,33.5326186,-101.829144
34,33.532462,-101.828632
35,33.5322205,-101.8278589
36,33.5321388,-101.8274541
37,33.5320539,-101.8272033
38,33.5319946,-101.8270062
39,33.5318184,-101.8264236
40,33.5317196,-101.8260969
41,33.5315731,-101.8256257
42,33.5314893,-101.8253633
43,33.5312322,-101.8245292
44,33.5309762,-101.8237084
45,33.5306978,-101.8227938
46,33.530557,-101.8223405
47,33.5304737,-101.8220938
48,33.5303529,-101.8216798
49,33.5302352,-101.821296
50,33.5301124,-101.8208931
51,33.5300564,-101.8207241
52,33.5299648,-101.8204261
53,33.5297536,-101.819695
54,33.5296162,-101.819172
55,33.5294895,-101.8186664
56,33.5293681,-101.8181659
57,33.529224,-101.8175719
58,33.5287423,-101.8156247
59,33.5285351,-101.814828
60,33.5284204,-101.8143604
61,33.528263,-101.8137184
62,33.5281629,-101.8133104
63,33.5281362,-101.8132013
64,33.5279805,-101.8125664
65,33.5272821,-101.8097187
66,33.5269877,-101.8085383
67,33.5267839,-101.8077213
68,33.5264752,-101.8064648
69,33.5263576,-101.8059865
70,33.5261581,-101.8051742
71,33.5260248,-101.804632
72,33.5256343,-101.8030426
73,33.5255647,-101.802744
74,33.5254758,-101.802417
75,33.5254013,-101.8020894
76,33.5251487,-101.8010754
77,33.523901,-101.7960272
78,33.5236576,-101.7950594
79,33.5235121,-101.7944812
80,33.523402,-101.7940435
81,33.5232949,-101.7936179
82,33.5231933,-101.7932144
83,33.5230839,-101.7927717
84,33.5230013,-101.792438
85,33.5229813,-101.7923576
86,33.5227609,-101.791467
87,33.5224946,-101.7903905
88,33.5219801,-101.7883107
89,33.521607,-101.7868028
